timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
133064.4728785,-1595.2873082801473,-3385.851330486099,-2994.2442274310265,-3019.24674908033,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2095.2893706942345
133064.4768785,-1711.853052598602,-3367.323829808692,-2885.489544684684,-3006.6270938592666,-3289.7856282932316,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.48087849998,-1741.617368931904,-3486.1188113905564,-2869.1303378424454,-2899.7029840592127,-3286.023899550605,-3502.2410548169682,-1652.2404262672874,-1974.310204583878
133064.48487849996,-1711.3592187445427,-3516.110312251486,-2982.2165441920215,-2892.1212024907713,-3178.746702037359,-3502.6280193928505,-1793.814454794163,-1996.0168916640453
133064.48887849995,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-3004.5616529731933,-3162.5193355628057,-3373.6472780135014,-1796.890962870832,-2097.9301943770283
133064.49287849994,-1609.6427161565682,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3273.888997787416,-3348.973047610885,-1664.1071070970127,-2082.686304658509
133064.49687849992,-1728.8843833815317,-3382.192280069564,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3482.303298762834,-1635.7638727666586,-1985.3512678527854
133064.5008784999,-1727.4505538993246,-3503.3341948192356,-2883.3437772169746,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1772.9171453354832,-1982.396472009596
133064.5048784999,-1614.6894955823716,-3500.5021589475464,-2998.3793001552585,-2907.277955330516,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2084.9396398964095
133064.4732125,-1595.2873082801473,-3385.851330486099,-2994.2442274310265,-3019.24674908033,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.47721249997,-1627.6590953025634,-3367.323829808692,-2885.489544684684,-3006.6270938592666,-3289.7856282932316,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.48121249996,-1741.617368931904,-3400.6771727341024,-2869.1303378424454,-2899.7029840592127,-3286.023899550605,-3502.2410548169682,-1652.2404262672874,-1974.310204583878
