'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:08:00.000 20/01/2026]',-14.11046,25.03099,6.49716,13.56165,4.610755E-10,4.610755E-10,-2.855111,1.360322
'[19:08:00.004 20/01/2026]',11.2148,-2.589546,-5.407115,-37.64365,4.610755E-10,4.610755E-10,-1.838855,-20.92699
'[19:08:00.012 20/01/2026]',-8.169209,-8.830463,-0.7435216,25.04138,4.610755E-10,4.610755E-10,-3.956224,15.65382
'[19:08:00.020 20/01/2026]',18.64932,14.75039,16.10991,13.42247,4.610755E-10,4.610755E-10,19.01066,16.1907
'[19:08:00.028 20/01/2026]',-23.26916,-9.615922,-17.99506,-33.33176,4.610755E-10,4.610755E-10,-22.15895,-34.29398
'[19:08:00.036 20/01/2026]',10.04257,-1.495319,2.174783,23.31652,4.610755E-10,4.610755E-10,5.54108,18.25854
'[19:08:00.044 20/01/2026]',19.34291,3.576787,7.215394,2.501428,4.610755E-10,4.610755E-10,10.87063,12.99799
'[19:08:00.052 20/01/2026]',-28.38981,-5.312944,-8.13896,-18.63848,4.610755E-10,4.610755E-10,-10.09376,-22.38414
'[19:08:00.060 20/01/2026]',-2.711253,-0.4725809,1.66489,11.86396,4.610755E-10,4.610755E-10,-3.993846,-0.5844319
'[19:08:00.068 20/01/2026]',-2.14916,-9.567011,-9.430707,-6.825014,4.610755E-10,4.610755E-10,10.20599,16.79102
'[19:08:00.076 20/01/2026]',25.65598,29.36885,17.85337,6.940598,4.610755E-10,4.610755E-10,-0.7511229,-3.720456
'[19:08:00.084 20/01/2026]',23.73945,5.768266,8.674726,24.16512,4.610755E-10,4.610755E-10,0.1133808,5.95195
'[19:08:00.092 20/01/2026]',-31.25899,-33.246,-20.80424,-38.95099,4.610755E-10,4.610755E-10,-6.629235,-18.40675
'[19:08:00.100 20/01/2026]',-18.22406,10.74092,3.178127,7.932683,4.610755E-10,4.610755E-10,3.817122,5.131663
'[19:08:00.108 20/01/2026]',13.44119,8.689752,6.700342,19.74823,4.610755E-10,4.610755E-10,0.5885689,14.8251
'[19:08:00.116 20/01/2026]',16.95932,-6.035615,-3.990269,-18.02728,4.610755E-10,4.610755E-10,-0.7958226,-17.86901
'[19:08:00.124 20/01/2026]',-3.887122,-1.905559,1.080943,6.922236,4.610755E-10,4.610755E-10,1.238893,7.813717
'[19:08:00.132 20/01/2026]',-26.78429,-2.538992,-3.817663,-3.766116,4.610755E-10,4.610755E-10,-4.871534,3.309821
'[19:08:00.140 20/01/2026]',22.47584,2.961211,0.8658803,-3.13671,4.610755E-10,4.610755E-10,1.449765,-7.807966
'[19:08:00.148 20/01/2026]',-5.963611,3.88133,3.476749,5.551145,4.610755E-10,4.610755E-10,3.790148,4.189588
'[19:08:00.156 20/01/2026]',-3.042967,-6.473552,-3.998765,-2.997036,4.610755E-10,4.610755E-10,-5.765724,-3.560174
'[19:08:00.164 20/01/2026]',4.781883,-2.196312,-2.339806,3.553903,4.610755E-10,4.610755E-10,-3.583305,7.256974
'[19:08:00.172 20/01/2026]',-4.256578,12.66006,8.19231,-5.409602,4.610755E-10,4.610755E-10,15.28624,-7.890642
'[19:08:00.180 20/01/2026]',10.91428,-6.008444,-3.742501,9.195815,4.610755E-10,4.610755E-10,-8.94458,9.088169
'[19:08:00.188 20/01/2026]',-21.32444,-9.783607,-5.063837,-10.18108,4.610755E-10,4.610755E-10,-6.463726,-9.435476
'[19:08:00.196 20/01/2026]',9.413153,2.770226,0.8134606,-0.5041724,4.610755E-10,4.610755E-10,6.603327,-0.6616703
'[19:08:00.204 20/01/2026]',19.31719,9.448493,6.064404,12.69529,4.610755E-10,4.610755E-10,1.702058,14.59659
'[19:08:00.212 20/01/2026]',1.287674,3.767781,5.749482,-1.091167,4.610755E-10,4.610755E-10,6.35443,-3.760264
'[19:08:00.220 20/01/2026]',-46.84121,-20.80676,-19.73786,-19.40422,4.610755E-10,4.610755E-10,-20.62729,-22.37588
'[19:08:00.228 20/01/2026]',29.32248,9.989028,8.996183,14.53082,4.610755E-10,4.610755E-10,12.36077,22.16045
'[19:08:00.236 20/01/2026]',14.8607,5.540857,4.418061,3.364353,4.610755E-10,4.610755E-10,5.748749,0.1513372
'[19:08:00.244 20/01/2026]',-24.27308,-2.640223,-1.967262,-9.307666,4.610755E-10,4.610755E-10,-6.840728,-10.58706
'[19:08:00.252 20/01/2026]',7.992023,-5.179247,-3.892916,1.831617,4.610755E-10,4.610755E-10,-3.032275,0.7883476
'[19:08:00.260 20/01/2026]',-6.450714,-0.5417103,0.07624882,-2.058311,4.610755E-10,4.610755E-10,1.102888,-1.450525
'[19:08:00.268 20/01/2026]',-3.807623,3.102641,1.748031,-0.3830589,4.610755E-10,4.610755E-10,3.492878,4.859328
'[19:08:00.276 20/01/2026]',-3.807623,3.102641,1.748031,-0.3830589,4.610755E-10,4.610755E-10,3.492878,4.859328
'[19:08:00.284 20/01/2026]',-3.807623,3.102641,1.748031,-0.3830589,4.610755E-10,4.610755E-10,3.492878,4.859328
'[19:08:00.292 20/01/2026]',20.03485,6.177565,7.017354,9.780568,4.610755E-10,4.610755E-10,4.912678,4.709717
'[19:08:00.300 20/01/2026]',-7.693103,-9.546498,-8.813939,-8.038162,4.610755E-10,4.610755E-10,-10.91398,-11.06833
'[19:08:00.308 20/01/2026]',0.5272374,6.490362,5.106322,5.928698,4.610755E-10,4.610755E-10,9.991202,11.292
'[19:08:00.316 20/01/2026]',-2.426773,-2.597116,-3.105319,-5.769044,4.610755E-10,4.610755E-10,-4.188645,-4.75884
'[19:08:00.324 20/01/2026]',-8.611022,-10.5246,-9.39462,-6.443427,4.610755E-10,4.610755E-10,-12.80574,-9.052871
'[19:08:00.332 20/01/2026]',-8.611022,-10.5246,-9.39462,-6.443427,4.610755E-10,4.610755E-10,-12.80574,-9.052871
'[19:08:00.340 20/01/2026]',7.867386,20.66843,19.76879,15.88375,4.610755E-10,4.610755E-10,22.75405,12.72197
'[19:08:00.348 20/01/2026]',7.867386,20.66843,19.76879,15.88375,4.610755E-10,4.610755E-10,22.75405,12.72197
'[19:08:00.356 20/01/2026]',9.504023,-11.96751,-10.07623,-10.80216,4.610755E-10,4.610755E-10,-12.28046,-5.178513
'[19:08:00.364 20/01/2026]',9.504023,-11.96751,-10.07623,-10.80216,4.610755E-10,4.610755E-10,-12.28046,-5.178513
'[19:08:00.372 20/01/2026]',9.504023,-11.96751,-10.07623,-10.80216,4.610755E-10,4.610755E-10,-12.28046,-5.178513
'[19:08:00.380 20/01/2026]',-10.72188,-1.53888,-0.3121222,12.41673,4.610755E-10,4.610755E-10,-1.471369,11.71933
'[19:08:00.388 20/01/2026]',-10.72188,-1.53888,-0.3121222,12.41673,4.610755E-10,4.610755E-10,-1.471369,11.71933
'[19:08:00.396 20/01/2026]',-10.72188,-1.53888,-0.3121222,12.41673,4.610755E-10,4.610755E-10,-1.471369,11.71933
'[19:08:00.404 20/01/2026]',-10.72188,-1.53888,-0.3121222,12.41673,4.610755E-10,4.610755E-10,-1.471369,11.71933
'[19:08:00.412 20/01/2026]',-10.59825,2.242693,-1.143637,-24.57943,4.610755E-10,4.610755E-10,5.287566,-27.24925
'[19:08:00.420 20/01/2026]',14.82825,2.44061,3.000947,21.52359,4.610755E-10,4.610755E-10,-2.627811,19.10077
'[19:08:00.428 20/01/2026]',-4.44838,-2.752038,-3.018429,-4.995009,4.610755E-10,4.610755E-10,0.8609736,4.891023
'[19:08:00.436 20/01/2026]',-4.44838,-2.752038,-3.018429,-4.995009,4.610755E-10,4.610755E-10,0.8609736,4.891023
'[19:08:00.444 20/01/2026]',-4.44838,-2.752038,-3.018429,-4.995009,4.610755E-10,4.610755E-10,0.8609736,4.891023
'[19:08:00.452 20/01/2026]',-4.44838,-2.752038,-3.018429,-4.995009,4.610755E-10,4.610755E-10,0.8609736,4.891023
'[19:08:00.460 20/01/2026]',-14.96344,-4.494504,-3.777915,-16.72198,4.610755E-10,4.610755E-10,-3.351114,-18.44462
'[19:08:00.468 20/01/2026]',30.75031,4.665517,7.71563,25.0623,4.610755E-10,4.610755E-10,1.427257,13.49344
'[19:08:00.476 20/01/2026]',30.75031,4.665517,7.71563,25.0623,4.610755E-10,4.610755E-10,1.427257,13.49344
'[19:08:00.484 20/01/2026]',-7.245431,-3.392488,-6.024945,-11.40952,4.610755E-10,4.610755E-10,-0.6793938,-0.6003554
'[19:08:00.492 20/01/2026]',-7.245431,-3.392488,-6.024945,-11.40952,4.610755E-10,4.610755E-10,-0.6793938,-0.6003554
'[19:08:00.500 20/01/2026]',-17.29925,0.9260467,0.8019575,-8.927427,4.610755E-10,4.610755E-10,1.180206,-7.887268
'[19:08:00.508 20/01/2026]',-17.29925,0.9260467,0.8019575,-8.927427,4.610755E-10,4.610755E-10,1.180206,-7.887268
'[19:08:00.516 20/01/2026]',14.47468,2.519342,5.207726,19.49018,4.610755E-10,4.610755E-10,1.210979,7.135023
'[19:08:00.524 20/01/2026]',14.47468,2.519342,5.207726,19.49018,4.610755E-10,4.610755E-10,1.210979,7.135023
'[19:08:00.532 20/01/2026]',-6.663272,0.8081234,-0.8031248,-4.988342,4.610755E-10,4.610755E-10,1.072117,-0.1152276
'[19:08:00.540 20/01/2026]',6.109467,-2.80458,-2.414806,-11.14026,4.610755E-10,4.610755E-10,-0.4023883,-5.103991
'[19:08:00.548 20/01/2026]',6.259795,8.291508,6.957593,18.60314,4.610755E-10,4.610755E-10,3.933652,15.22012
