'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:13:00.000 20/01/2026]',-125481.9,-189169.8,-101618.5,-133598.4,-375000,-375000,-157707.7,-151562.6,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.004 20/01/2026]',-127298,-188247.9,-100801.1,-133405,-375000,-375000,-156861.1,-150926.8,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.008 20/01/2026]',-125738.5,-190559.7,-102927.1,-134184.3,-375000,-375000,-158452.6,-152322.2,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.012 20/01/2026]',-123119.4,-192617.9,-104804,-134731.2,-375000,-375000,-160035.5,-153601,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.016 20/01/2026]',-124875.2,-189798.3,-102193.5,-133756.9,-375000,-375000,-158181.1,-151951,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.020 20/01/2026]',-127285.4,-188125.6,-100678.1,-133319.8,-375000,-375000,-156815.2,-150878.1,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.024 20/01/2026]',-126225.4,-190085.8,-102491.4,-134013.9,-375000,-375000,-158125.4,-152054.9,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.028 20/01/2026]',-123448.5,-192577.2,-104767.5,-134727,-375000,-375000,-159987.4,-153588.9,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.032 20/01/2026]',-124330.1,-190489.5,-102826.3,-133971.1,-375000,-375000,-158691,-152395.8,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.036 20/01/2026]',-127180.5,-188112,-100670.4,-133304.6,-375000,-375000,-156857.5,-150899.3,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.040 20/01/2026]',-126641.9,-189640.5,-102106.7,-133895.6,-375000,-375000,-157828.8,-151798.6,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.044 20/01/2026]',-123898.3,-192375.2,-104601.4,-134746.2,-375000,-375000,-159843,-153489.6,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.048 20/01/2026]',-123884.5,-191157.7,-103434.2,-134244.2,-375000,-375000,-159166.2,-152812.1,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.052 20/01/2026]',-126983.7,-188230.3,-100782.1,-133379.6,-375000,-375000,-156982.7,-150992.4,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.056 20/01/2026]',-127009.1,-189278,-101780.4,-133851.9,-375000,-375000,-157584.8,-151594.2,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.060 20/01/2026]',-124438.8,-192079.3,-104349.6,-134737.1,-375000,-375000,-159614.2,-153319.9,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.064 20/01/2026]',-123526.1,-191798.9,-104045.4,-134520.1,-375000,-375000,-159604.6,-153206.7,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.068 20/01/2026]',-126648.6,-188488.5,-101003.4,-133472.3,-375000,-375000,-157211.6,-151175.5,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.072 20/01/2026]',-127258.6,-188922.1,-101437.8,-133727.8,-375000,-375000,-157351.4,-151390.1,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.076 20/01/2026]',-124976.5,-191670,-103980.9,-134629.4,-375000,-375000,-159322,-153082.8,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.080 20/01/2026]',-123336.1,-192299.9,-104520.1,-134717.1,-375000,-375000,-159955.5,-153529.7,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.084 20/01/2026]',-126250.3,-188863.7,-101362.4,-133594,-375000,-375000,-157541,-151448.9,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.088 20/01/2026]',-127489.2,-188647.8,-101203.2,-133636,-375000,-375000,-157201.6,-151253.2,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.092 20/01/2026]',-125591.4,-191205.6,-103561.3,-134495.7,-375000,-375000,-159006.5,-152812.5,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.096 20/01/2026]',-123350.2,-192605.8,-104806.3,-134813,-375000,-375000,-160156.8,-153693.8,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.100 20/01/2026]',-125802.4,-189360,-101806.9,-133714.7,-375000,-375000,-157933.1,-151749.8,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.104 20/01/2026]',-127656.4,-188430.1,-100995.8,-133512.3,-375000,-375000,-157077.4,-151108.3,0.05,0.00,0.89,-4,0,-2,50,0
'[13:13:00.108 20/01/2026]',-126172.3,-190710.4,-103106.9,-134292.3,-375000,-375000,-158653.7,-152492.3,0.03,-0.02,0.88,-4,0,-2,50,0
'[13:13:00.112 20/01/2026]',-123600.7,-192767.2,-104968.2,-134848,-375000,-375000,-160240,-153775.9,0.03,-0.02,0.88,-4,0,-2,50,0
