'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[10:48:49.054 21/01/2026]',1.14,0.97,0.53,0.51,0.00,0.00,0.15,0.16,2.96,2.67,1.44,1.47,0.00,0.00,0.42,0.42,3.56,3.75,1.77,1.89,0.00,0.00,1.95,1.04,2.09,1.64,1.01,1.24,0.00,0.00,0.96,0.97,0.15,0.13,0.10,0.09,0.00,0.00,0.04,0.04,0
'[10:48:49.083 21/01/2026]',1.16,1.02,0.53,0.53,0.00,0.00,0.15,0.16,3.09,2.77,1.51,1.52,0.00,0.00,0.42,0.43,3.64,3.80,1.81,1.91,0.00,0.00,1.92,1.03,2.12,1.67,1.02,1.22,0.00,0.00,0.95,0.96,0.15,0.13,0.09,0.09,0.00,0.00,0.04,0.04,0
'[10:48:49.103 21/01/2026]',1.19,1.06,0.54,0.53,0.00,0.00,0.15,0.16,3.26,2.87,1.58,1.58,0.00,0.00,0.45,0.44,3.76,3.86,1.86,1.94,0.00,0.00,1.89,1.01,2.14,1.68,1.02,1.23,0.00,0.00,0.94,0.96,0.15,0.13,0.09,0.09,0.00,0.00,0.04,0.04,0
'[10:48:49.125 21/01/2026]',1.20,1.09,0.54,0.54,0.00,0.00,0.15,0.16,3.42,3.03,1.65,1.66,0.00,0.00,0.47,0.45,3.90,3.98,1.92,1.99,0.00,0.00,1.86,1.00,2.15,1.68,1.03,1.24,0.00,0.00,0.94,0.95,0.14,0.13,0.09,0.08,0.00,0.00,0.04,0.04,0
'[10:48:49.146 21/01/2026]',1.20,1.11,0.53,0.54,0.00,0.00,0.14,0.15,3.57,3.19,1.72,1.73,0.00,0.00,0.50,0.46,4.02,4.11,1.97,2.04,0.00,0.00,1.83,0.98,2.16,1.69,1.04,1.27,0.00,0.00,0.94,0.95,0.13,0.12,0.09,0.08,0.00,0.00,0.04,0.04,0
'[10:48:49.166 21/01/2026]',1.20,1.13,0.52,0.53,0.00,0.00,0.14,0.15,3.71,3.33,1.79,1.80,0.00,0.00,0.52,0.48,4.14,4.22,2.03,2.09,0.00,0.00,1.79,0.97,2.18,1.70,1.06,1.28,0.00,0.00,0.95,0.95,0.13,0.12,0.08,0.08,0.00,0.00,0.04,0.04,0
'[10:48:49.187 21/01/2026]',1.20,1.13,0.52,0.52,0.00,0.00,0.14,0.15,3.85,3.48,1.84,1.87,0.00,0.00,0.55,0.49,4.27,4.34,2.09,2.14,0.00,0.00,1.76,0.95,2.20,1.72,1.08,1.31,0.00,0.00,0.95,0.96,0.12,0.11,0.08,0.07,0.00,0.00,0.04,0.04,0
'[10:48:49.208 21/01/2026]',1.21,1.14,0.52,0.52,0.00,0.00,0.15,0.15,3.97,3.61,1.89,1.93,0.00,0.00,0.59,0.50,4.39,4.47,2.15,2.20,0.00,0.00,1.71,0.93,2.21,1.74,1.09,1.34,0.00,0.00,0.94,0.96,0.12,0.11,0.08,0.07,0.00,0.00,0.04,0.04,0
