'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:38:19.507 20/01/2026]',0.51,0.68,0.45,0.59,0.00,0.00,0.46,0.47,3.75,3.16,3.13,3.30,0.00,0.00,2.94,2.14,4.66,4.17,4.76,4.17,0.00,0.00,5.05,4.75,4.22,3.34,3.86,3.78,0.00,0.00,3.11,2.67,0.09,0.11,0.11,0.13,0.00,0.00,0.12,0.10,0
'[13:38:19.530 20/01/2026]',0.53,0.66,0.48,0.55,0.00,0.00,0.47,0.44,3.82,3.20,3.17,3.33,0.00,0.00,2.96,2.16,4.66,4.14,4.76,4.03,0.00,0.00,4.92,4.72,4.27,3.35,3.93,3.85,0.00,0.00,3.10,2.70,0.10,0.10,0.12,0.13,0.00,0.00,0.12,0.09,0
'[13:38:19.536 20/01/2026]',0.54,0.66,0.52,0.58,0.00,0.00,0.47,0.44,3.88,3.22,3.21,3.35,0.00,0.00,2.97,2.16,4.63,4.13,4.78,4.01,0.00,0.00,4.80,4.78,4.31,3.39,3.98,3.93,0.00,0.00,3.14,2.75,0.11,0.11,0.13,0.13,0.00,0.00,0.12,0.10,0
'[13:38:19.550 20/01/2026]',0.56,0.66,0.56,0.59,0.00,0.00,0.47,0.45,3.93,3.22,3.26,3.34,0.00,0.00,2.97,2.17,4.60,4.15,4.80,4.05,0.00,0.00,4.69,4.85,4.35,3.43,4.02,4.01,0.00,0.00,3.21,2.80,0.12,0.11,0.13,0.14,0.00,0.00,0.13,0.10,0
'[13:38:19.567 20/01/2026]',0.59,0.65,0.62,0.61,0.00,0.00,0.51,0.45,4.00,3.21,3.31,3.33,0.00,0.00,2.98,2.17,4.53,4.17,4.84,4.09,0.00,0.00,4.63,4.92,4.33,3.47,3.97,4.08,0.00,0.00,3.24,2.84,0.12,0.12,0.14,0.16,0.00,0.00,0.13,0.10,0
'[13:38:19.584 20/01/2026]',0.56,0.65,0.60,0.66,0.00,0.00,0.50,0.49,4.04,3.20,3.32,3.33,0.00,0.00,2.96,2.18,4.41,4.20,4.92,4.15,0.00,0.00,4.62,4.99,4.27,3.50,3.86,4.08,0.00,0.00,3.22,2.84,0.13,0.12,0.15,0.16,0.00,0.00,0.13,0.10,0
'[13:38:19.601 20/01/2026]',0.53,0.61,0.59,0.65,0.00,0.00,0.50,0.50,4.08,3.13,3.33,3.27,0.00,0.00,2.93,2.16,4.31,4.27,4.99,4.27,0.00,0.00,4.61,5.07,4.21,3.48,3.76,4.01,0.00,0.00,3.21,2.80,0.13,0.12,0.16,0.16,0.00,0.00,0.13,0.11,0
'[13:38:19.617 20/01/2026]',0.51,0.58,0.58,0.63,0.00,0.00,0.49,0.51,4.12,3.07,3.34,3.21,0.00,0.00,2.91,2.15,4.21,4.33,5.06,4.39,0.00,0.00,4.64,5.14,4.15,3.46,3.66,3.94,0.00,0.00,3.25,2.77,0.14,0.12,0.18,0.16,0.00,0.00,0.13,0.11,0
