'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:15:00.000 20/01/2026]',-94586.05,-123757.7,-146007.4,-154763.9,-375000,-375000,-118767.2,-152467.9,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.004 20/01/2026]',-95071.17,-123213.5,-146252.8,-153355.5,-375000,-375000,-118870.9,-152025.9,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.008 20/01/2026]',-94296.82,-124181.9,-146164.7,-155320.7,-375000,-375000,-118851.4,-153243.7,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.012 20/01/2026]',-93977.1,-124564.1,-145947.2,-156395.5,-375000,-375000,-118748.7,-153420.6,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.016 20/01/2026]',-94475.99,-123927.5,-145994.8,-155111.1,-375000,-375000,-118747.8,-152608.8,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.020 20/01/2026]',-95090.4,-123194.7,-146215.1,-153354.8,-375000,-375000,-118824.1,-151895.6,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.024 20/01/2026]',-94467.01,-123969.2,-146215.1,-154871.2,-375000,-375000,-118848.4,-152997.5,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.028 20/01/2026]',-93931.46,-124575.3,-145986.3,-156421.3,-375000,-375000,-118762.3,-153463.2,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.032 20/01/2026]',-94318.59,-124066,-145986.2,-155433.4,-375000,-375000,-118733.3,-152756.7,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.036 20/01/2026]',-95042.79,-123228.4,-146187.6,-153496.3,-375000,-375000,-118803.7,-151875.2,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.040 20/01/2026]',-94621.28,-123751.6,-146249.7,-154408,-375000,-375000,-118857,-152735.4,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.044 20/01/2026]',-93940.53,-124584.1,-146011.3,-156349.2,-375000,-375000,-118783.5,-153491.3,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.048 20/01/2026]',-94245.73,-124201.1,-145965.5,-155698.3,-375000,-375000,-118727.8,-152888.8,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.052 20/01/2026]',-94961.2,-123321,-146143.6,-153724.2,-375000,-375000,-118787.1,-151921.9,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.056 20/01/2026]',-94787.04,-123556.5,-146275.8,-153977.2,-375000,-375000,-118851.1,-152455.4,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.060 20/01/2026]',-93986.49,-124547.5,-146058.3,-156187.8,-375000,-375000,-118787.8,-153449.8,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.064 20/01/2026]',-94123.69,-124338.2,-145965.9,-155931.1,-375000,-375000,-118736.1,-153025.3,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.068 20/01/2026]',-94861.29,-123490.1,-146121.3,-154037.4,-375000,-375000,-118803.1,-152047.1,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.072 20/01/2026]',-94921.33,-123413.9,-146293.1,-153642.4,-375000,-375000,-118881.2,-152221.7,0.03,-0.02,0.88,-4,0,-2,55,0
'[12:15:00.076 20/01/2026]',-94038.93,-124459,-146084.6,-155952.1,-375000,-375000,-118807.6,-153380.6,0.03,-0.02,0.88,-4,0,-2,55,0
