'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[14:17:11.730 20/01/2026]',0.15,0.12,0.09,0.10,0.00,0.00,0.31,0.12,0.59,0.40,0.95,0.73,0.00,0.00,3.01,0.91,1.71,1.17,1.29,1.68,0.00,0.00,3.61,1.65,0.78,1.10,0.77,1.07,0.00,0.00,2.54,1.27,0.08,0.06,0.08,0.05,0.00,0.00,0.10,0.05,0
'[14:17:11.743 20/01/2026]',0.16,0.11,0.09,0.10,0.00,0.00,0.31,0.12,0.59,0.39,0.94,0.75,0.00,0.00,3.07,0.95,1.69,1.19,1.27,1.68,0.00,0.00,3.59,1.61,0.80,1.08,0.80,1.11,0.00,0.00,2.56,1.23,0.08,0.06,0.08,0.05,0.00,0.00,0.11,0.05,0
'[14:17:11.760 20/01/2026]',0.16,0.11,0.08,0.10,0.00,0.00,0.30,0.12,0.58,0.38,0.93,0.76,0.00,0.00,3.13,0.98,1.67,1.20,1.27,1.68,0.00,0.00,3.56,1.57,0.82,1.09,0.82,1.14,0.00,0.00,2.59,1.19,0.08,0.07,0.08,0.05,0.00,0.00,0.11,0.05,0
'[14:17:11.776 20/01/2026]',0.16,0.10,0.08,0.10,0.00,0.00,0.30,0.12,0.58,0.38,0.93,0.77,0.00,0.00,3.19,1.01,1.66,1.22,1.28,1.68,0.00,0.00,3.54,1.53,0.84,1.12,0.85,1.18,0.00,0.00,2.61,1.21,0.08,0.07,0.08,0.05,0.00,0.00,0.12,0.06,0
'[14:17:11.793 20/01/2026]',0.17,0.10,0.08,0.10,0.00,0.00,0.30,0.12,0.58,0.38,0.92,0.78,0.00,0.00,3.24,1.03,1.64,1.23,1.29,1.68,0.00,0.00,3.52,1.50,0.86,1.14,0.87,1.21,0.00,0.00,2.63,1.24,0.08,0.07,0.08,0.05,0.00,0.00,0.12,0.06,0
'[14:17:11.810 20/01/2026]',0.18,0.10,0.09,0.10,0.00,0.00,0.30,0.12,0.58,0.38,0.92,0.79,0.00,0.00,3.29,1.06,1.62,1.24,1.28,1.68,0.00,0.00,3.48,1.47,0.86,1.16,0.89,1.23,0.00,0.00,2.66,1.27,0.08,0.07,0.08,0.05,0.00,0.00,0.12,0.06,0
'[14:17:11.827 20/01/2026]',0.19,0.10,0.10,0.11,0.00,0.00,0.32,0.13,0.58,0.40,0.93,0.81,0.00,0.00,3.33,1.09,1.60,1.27,1.26,1.67,0.00,0.00,3.42,1.43,0.84,1.17,0.91,1.26,0.00,0.00,2.67,1.30,0.08,0.07,0.08,0.05,0.00,0.00,0.12,0.06,0
'[14:17:11.844 20/01/2026]',0.19,0.13,0.11,0.11,0.00,0.00,0.34,0.13,0.58,0.44,0.94,0.83,0.00,0.00,3.37,1.12,1.57,1.32,1.25,1.65,0.00,0.00,3.36,1.40,0.83,1.16,0.92,1.26,0.00,0.00,2.68,1.32,0.09,0.08,0.09,0.05,0.00,0.00,0.13,0.06,0
