'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:41:00.000 20/01/2026]',-108514.6,-195804.7,-133163.1,-194401,-375000,-375000,-162347.5,-188080.6,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.004 20/01/2026]',-108514.1,-195808.6,-133148.4,-194359.2,-375000,-375000,-162314.5,-187985,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.008 20/01/2026]',-108561.6,-195793.2,-133125,-194200.9,-375000,-375000,-162273.5,-187812.1,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.012 20/01/2026]',-108556.3,-195781.7,-133103.2,-194263.9,-375000,-375000,-162298.9,-187886.7,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.016 20/01/2026]',-108491.7,-195746.6,-133081.1,-194406.1,-375000,-375000,-162315.3,-188040,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.020 20/01/2026]',-108460.9,-195722.2,-133076.6,-194422.5,-375000,-375000,-162283.1,-187982,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.024 20/01/2026]',-108435,-195758.8,-133088.1,-194298.9,-375000,-375000,-162248.5,-187823.3,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.028 20/01/2026]',-108434.2,-195755.7,-133053.8,-194302,-375000,-375000,-162249.1,-187814.1,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.032 20/01/2026]',-108396.4,-195701.6,-133021.2,-194433.9,-375000,-375000,-162281.1,-187973.7,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.036 20/01/2026]',-108367.4,-195656.6,-133038.6,-194465.9,-375000,-375000,-162266.9,-187933,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.040 20/01/2026]',-108440.9,-195709.4,-133030.6,-194342.2,-375000,-375000,-162241.6,-187792.7,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.044 20/01/2026]',-108440,-195703,-133006.5,-194335.2,-375000,-375000,-162231.1,-187752,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.048 20/01/2026]',-108363.2,-195644.4,-132972.9,-194431.3,-375000,-375000,-162253.3,-187901.8,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.052 20/01/2026]',-108292.4,-195606.1,-132969.8,-194497.2,-375000,-375000,-162236.4,-187910,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.056 20/01/2026]',-108316.3,-195614.3,-132994.5,-194378.3,-375000,-375000,-162214.3,-187764.3,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.060 20/01/2026]',-108336.5,-195651.3,-132986.1,-194335,-375000,-375000,-162200.6,-187682.3,0.05,0.00,0.88,-4,0,-2,54,0
'[12:41:00.064 20/01/2026]',-108323.9,-195639,-132939.5,-194465.9,-375000,-375000,-162235.5,-187839.2,0.05,0.00,0.88,-4,0,-2,54,0
