'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:48:38.866 21/01/2026]',0.48,0.55,0.30,0.31,0.00,0.00,0.21,0.21,1.82,1.31,0.89,0.78,0.00,0.00,0.91,0.85,3.63,3.43,1.87,2.18,0.00,0.00,1.22,1.34,2.14,1.88,1.70,2.09,0.00,0.00,0.72,1.36,0.09,0.07,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.878 21/01/2026]',0.47,0.55,0.30,0.32,0.00,0.00,0.21,0.20,1.81,1.31,0.87,0.74,0.00,0.00,0.94,0.85,3.64,3.47,1.89,2.23,0.00,0.00,1.22,1.38,2.12,1.88,1.71,2.10,0.00,0.00,0.73,1.37,0.09,0.07,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.895 21/01/2026]',0.46,0.54,0.31,0.32,0.00,0.00,0.21,0.20,1.79,1.30,0.85,0.71,0.00,0.00,0.96,0.85,3.64,3.51,1.92,2.26,0.00,0.00,1.21,1.40,2.11,1.88,1.71,2.11,0.00,0.00,0.74,1.37,0.09,0.06,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.911 21/01/2026]',0.46,0.53,0.31,0.33,0.00,0.00,0.21,0.20,1.78,1.29,0.83,0.68,0.00,0.00,0.97,0.85,3.65,3.54,1.94,2.30,0.00,0.00,1.20,1.43,2.08,1.87,1.72,2.11,0.00,0.00,0.76,1.38,0.09,0.06,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.928 21/01/2026]',0.46,0.52,0.31,0.32,0.00,0.00,0.21,0.20,1.77,1.28,0.81,0.65,0.00,0.00,0.98,0.84,3.66,3.58,1.96,2.32,0.00,0.00,1.18,1.45,2.07,1.87,1.72,2.12,0.00,0.00,0.78,1.39,0.09,0.06,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.944 21/01/2026]',0.45,0.52,0.31,0.32,0.00,0.00,0.22,0.19,1.76,1.27,0.79,0.62,0.00,0.00,0.99,0.84,3.67,3.62,1.97,2.35,0.00,0.00,1.16,1.46,2.04,1.86,1.71,2.13,0.00,0.00,0.78,1.41,0.09,0.06,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.961 21/01/2026]',0.45,0.52,0.31,0.32,0.00,0.00,0.23,0.20,1.75,1.27,0.76,0.59,0.00,0.00,1.00,0.84,3.68,3.66,1.99,2.36,0.00,0.00,1.14,1.47,2.02,1.86,1.70,2.13,0.00,0.00,0.78,1.42,0.08,0.06,0.08,0.05,0.00,0.00,0.04,0.06,0
'[11:48:38.978 21/01/2026]',0.44,0.52,0.30,0.32,0.00,0.00,0.23,0.20,1.74,1.27,0.73,0.58,0.00,0.00,0.97,0.83,3.69,3.70,1.98,2.38,0.00,0.00,1.10,1.48,2.00,1.86,1.68,2.13,0.00,0.00,0.76,1.42,0.09,0.06,0.08,0.04,0.00,0.00,0.04,0.06,0
