'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:53:00.000 21/01/2026]',-6.907341,-3.787478,-2.420874,-0.3993432,4.610755E-10,4.610755E-10,-2.758251,35.49464
'[17:53:00.004 21/01/2026]',4.93663,2.085655,1.10412,0.5190524,4.610755E-10,4.610755E-10,-1.778381,-28.31411
'[17:53:00.012 21/01/2026]',1.609512,0.8723871,1.26912,-0.278897,4.610755E-10,4.610755E-10,4.309286,-8.149042
'[17:53:00.020 21/01/2026]',-3.978083,-2.252611,-3.005716,-1.954566,4.610755E-10,4.610755E-10,-2.12685,34.23603
'[17:53:00.028 21/01/2026]',3.982388,2.821265,4.351026,4.437173,4.610755E-10,4.610755E-10,-3.234855,-35.15324
'[17:53:00.036 21/01/2026]',0.5394742,-1.724883,-4.328628,-3.616523,4.610755E-10,4.610755E-10,3.229053,14.25542
'[17:53:00.044 21/01/2026]',-6.950048,-1.967131,-3.153838,-2.837976,4.610755E-10,4.610755E-10,-1.612656,9.020098
'[17:53:00.052 21/01/2026]',2.277888,-3.701385,3.859177,3.873916,4.610755E-10,4.610755E-10,1.274438,-26.45892
'[17:53:00.060 21/01/2026]',1.979812,3.769237,-1.439914,-2.042083,4.610755E-10,4.610755E-10,-2.975579,25.63819
'[17:53:00.068 21/01/2026]',3.486177,5.609554,5.061309,4.959387,4.610755E-10,4.610755E-10,1.738349,-6.883389
'[17:53:00.076 21/01/2026]',-3.027666,-6.117908,-7.457607,-4.9417,4.610755E-10,4.610755E-10,3.008623,-13.69296
'[17:53:00.084 21/01/2026]',-3.027666,-6.117908,-7.457607,-4.9417,4.610755E-10,4.610755E-10,3.008623,-13.69296
'[17:53:00.092 21/01/2026]',-3.904307,-2.777989,2.749065,-0.4078131,4.610755E-10,4.610755E-10,-1.638842,19.71562
'[17:53:00.100 21/01/2026]',5.58847,4.61185,1.598519,2.041832,4.610755E-10,4.610755E-10,-5.407655,-13.45151
'[17:53:00.108 21/01/2026]',-1.964077,0.2582678,-1.866779,-1.133474,4.610755E-10,4.610755E-10,5.390018,5.040132
'[17:53:00.116 21/01/2026]',-2.789233,-4.578245,1.114888,1.143477,4.610755E-10,4.610755E-10,-0.7553351,-2.433323
'[17:53:00.124 21/01/2026]',2.500218,1.881694,-3.726993,-2.24234,4.610755E-10,4.610755E-10,-2.101352,5.656454
'[17:53:00.132 21/01/2026]',-1.664912,0.501182,0.2320945,-0.7038053,4.610755E-10,4.610755E-10,-1.774821,-9.196568
'[17:53:00.140 21/01/2026]',-1.253709,-1.100137,-1.292131,-1.19804,4.610755E-10,4.610755E-10,1.721729,-5.027708
'[17:53:00.148 21/01/2026]',1.12827,-0.3739485,4.03756,4.303644,4.610755E-10,4.610755E-10,0.3538268,18.86355
'[17:53:00.156 21/01/2026]',0.3236525,-0.2495898,-3.793223,-3.648136,4.610755E-10,4.610755E-10,-1.555423,-16.03822
'[17:53:00.164 21/01/2026]',-3.455602,-1.716872,-1.333221,-1.720979,4.610755E-10,4.610755E-10,-0.5697873,-7.787762
'[17:53:00.172 21/01/2026]',1.275535,-0.9428087,2.884044,1.106578,4.610755E-10,4.610755E-10,0.9781489,21.34936
'[17:53:00.180 21/01/2026]',-1.281548,0.6982372,1.12103,2.685144,4.610755E-10,4.610755E-10,-0.9698673,-2.474323
'[17:53:00.188 21/01/2026]',0.6455941,0.07231441,-4.294374,-3.74437,4.610755E-10,4.610755E-10,-1.253137,-25.61089
'[17:53:00.196 21/01/2026]',-2.559791,-1.3891,3.129183,1.255649,4.610755E-10,4.610755E-10,0.9739643,23.59131
'[17:53:00.204 21/01/2026]',4.480385,0.9537163,0.4400594,1.856389,4.610755E-10,4.610755E-10,4.459032,7.131998
'[17:53:00.212 21/01/2026]',-4.433955,1.945377,-1.582528,-2.172241,4.610755E-10,4.610755E-10,-5.384915,-26.19927
'[17:53:00.220 21/01/2026]',2.62492,-4.263955,-0.7915543,0.5728551,4.610755E-10,4.610755E-10,1.85705,13.91856
'[17:53:00.228 21/01/2026]',2.62492,-4.263955,-0.7915543,0.5728551,4.610755E-10,4.610755E-10,1.85705,13.91856
'[17:53:00.236 21/01/2026]',2.62492,-4.263955,-0.7915543,0.5728551,4.610755E-10,4.610755E-10,1.85705,13.91856
'[17:53:00.244 21/01/2026]',2.62492,-4.263955,-0.7915543,0.5728551,4.610755E-10,4.610755E-10,1.85705,13.91856
'[17:53:00.252 21/01/2026]',-4.277685,1.192471,0.6650841,0.3997903,4.610755E-10,4.610755E-10,2.248402,6.526173
'[17:53:00.260 21/01/2026]',10.80011,4.059514,3.020318,2.670687,4.610755E-10,4.610755E-10,-3.522843,-9.613205
'[17:53:00.268 21/01/2026]',-6.20303,-1.979996,-5.876504,-4.427753,4.610755E-10,4.610755E-10,1.606993,-2.539892
'[17:53:00.276 21/01/2026]',-6.20303,-1.979996,-5.876504,-4.427753,4.610755E-10,4.610755E-10,1.606993,-2.539892
'[17:53:00.284 21/01/2026]',-6.20303,-1.979996,-5.876504,-4.427753,4.610755E-10,4.610755E-10,1.606993,-2.539892
'[17:53:00.292 21/01/2026]',-6.20303,-1.979996,-5.876504,-4.427753,4.610755E-10,4.610755E-10,1.606993,-2.539892
'[17:53:00.300 21/01/2026]',-1.708504,-3.523224,3.292964,0.831047,4.610755E-10,4.610755E-10,0.5370265,11.6642
'[17:53:00.308 21/01/2026]',7.615301,7.598524,3.883855,5.750733,4.610755E-10,4.610755E-10,-1.194264,-6.575455
'[17:53:00.316 21/01/2026]',7.615301,7.598524,3.883855,5.750733,4.610755E-10,4.610755E-10,-1.194264,-6.575455
'[17:53:00.324 21/01/2026]',7.615301,7.598524,3.883855,5.750733,4.610755E-10,4.610755E-10,-1.194264,-6.575455
'[17:53:00.332 21/01/2026]',7.615301,7.598524,3.883855,5.750733,4.610755E-10,4.610755E-10,-1.194264,-6.575455
'[17:53:00.340 21/01/2026]',7.615301,7.598524,3.883855,5.750733,4.610755E-10,4.610755E-10,-1.194264,-6.575455
'[17:53:00.348 21/01/2026]',-5.41704,-4.756801,-3.84847,-2.749597,4.610755E-10,4.610755E-10,3.904146,-3.575341
'[17:53:00.356 21/01/2026]',-2.76561,-3.642441,1.922653,-2.393577,4.610755E-10,4.610755E-10,-2.19082,10.26569
'[17:53:00.364 21/01/2026]',4.778163,7.46441,5.151483,6.791194,4.610755E-10,4.610755E-10,2.657284,-7.569077
'[17:53:00.372 21/01/2026]',4.778163,7.46441,5.151483,6.791194,4.610755E-10,4.610755E-10,2.657284,-7.569077
'[17:53:00.380 21/01/2026]',4.778163,7.46441,5.151483,6.791194,4.610755E-10,4.610755E-10,2.657284,-7.569077
'[17:53:00.388 21/01/2026]',4.778163,7.46441,5.151483,6.791194,4.610755E-10,4.610755E-10,2.657284,-7.569077
'[17:53:00.396 21/01/2026]',-5.025723,-4.64934,-8.761029,-7.41038,4.610755E-10,4.610755E-10,-1.760655,-3.081022
'[17:53:00.404 21/01/2026]',-1.024818,-2.014243,3.82002,0.5886917,4.610755E-10,4.610755E-10,-3.022617,13.38107
'[17:53:00.412 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.420 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.428 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.436 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.444 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.452 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.460 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.468 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.476 21/01/2026]',3.763955,-0.4530002,1.408927,3.558852,4.610755E-10,4.610755E-10,2.038268,-13.56641
'[17:53:00.484 21/01/2026]',-0.04706129,1.50072,-1.79904,-1.16664,4.610755E-10,4.610755E-10,0.009750226,-1.96516
'[17:53:00.492 21/01/2026]',-7.848969,-3.018579,0.7331481,-0.9392154,4.610755E-10,4.610755E-10,3.972711,28.40856
'[17:53:00.500 21/01/2026]',6.119409,3.360847,-2.577819,-2.201434,4.610755E-10,4.610755E-10,-4.65167,-37.61418
'[17:53:00.508 21/01/2026]',7.383001,3.607819,4.076235,3.297643,4.610755E-10,4.610755E-10,-3.554769,2.571322
