'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[11:48:00.000 21/01/2026]',-130146.3,-184471.3,-140140.8,-16872.88,-375000,-375000,-151936.3,-147073.9,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.004 21/01/2026]',-130150.6,-184490.7,-140157.2,-16885.04,-375000,-375000,-151957.9,-147138.7,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.008 21/01/2026]',-130142.2,-184494.9,-140155.1,-16882.27,-375000,-375000,-151955.5,-147148.9,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.012 21/01/2026]',-130150.9,-184482.2,-140142,-16875.79,-375000,-375000,-151943.4,-147094,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.016 21/01/2026]',-130140.2,-184467.5,-140133.9,-16870.65,-375000,-375000,-151930.3,-147063.9,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.020 21/01/2026]',-130123,-184478.9,-140145.5,-16884.78,-375000,-375000,-151947.2,-147125.6,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.024 21/01/2026]',-130114.4,-184479.8,-140142.3,-16873.51,-375000,-375000,-151942.8,-147146.9,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.028 21/01/2026]',-130115.4,-184478.5,-140142.8,-16865.55,-375000,-375000,-151930.7,-147105.7,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.032 21/01/2026]',-130136.4,-184473.2,-140141.3,-16867.7,-375000,-375000,-151933.9,-147074,0.02,0.00,0.89,-4,0,-2,44,0
'[11:48:00.036 21/01/2026]',-130143.9,-184489.2,-140154.4,-16891.17,-375000,-375000,-151963.7,-147131.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.040 21/01/2026]',-130129.5,-184485.7,-140153.8,-16883.03,-375000,-375000,-151952.7,-147160.8,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.044 21/01/2026]',-130140.5,-184477.7,-140158.7,-16888.89,-375000,-375000,-151948.6,-147118.2,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.048 21/01/2026]',-130157.8,-184479.3,-140149.5,-16879.19,-375000,-375000,-151937.1,-147070.9,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.052 21/01/2026]',-130142,-184493.1,-140140.5,-16881.02,-375000,-375000,-151945.4,-147103.9,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.056 21/01/2026]',-130103.6,-184493.3,-140143.7,-16883.84,-375000,-375000,-151955.6,-147162,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.060 21/01/2026]',-130127.2,-184484.6,-140142,-16877.98,-375000,-375000,-151939.8,-147128.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.064 21/01/2026]',-130153.1,-184482.2,-140129,-16862.6,-375000,-375000,-151919.9,-147066.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.068 21/01/2026]',-130139.8,-184499.4,-140151.2,-16877.44,-375000,-375000,-151934.4,-147086.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.072 21/01/2026]',-130118.3,-184494.1,-140159.3,-16880.89,-375000,-375000,-151935.8,-147151,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.076 21/01/2026]',-130154.2,-184488,-140147.5,-16881.56,-375000,-375000,-151934.8,-147133.2,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.080 21/01/2026]',-130161.4,-184480.7,-140138.4,-16870.34,-375000,-375000,-151925.3,-147077.4,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.084 21/01/2026]',-130132.3,-184482.3,-140150.3,-16874.76,-375000,-375000,-151931.4,-147082.8,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.088 21/01/2026]',-130114.1,-184500.5,-140158.7,-16896.04,-375000,-375000,-151955.6,-147152.1,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.092 21/01/2026]',-130129.9,-184501.3,-140146,-16892.96,-375000,-375000,-151950.9,-147155.7,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.096 21/01/2026]',-130146.8,-184481.8,-140132.8,-16876.19,-375000,-375000,-151930,-147096.6,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.100 21/01/2026]',-130139.4,-184481.8,-140139.4,-16881.6,-375000,-375000,-151940.5,-147102.3,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.104 21/01/2026]',-130116.6,-184493.9,-140157.2,-16896,-375000,-375000,-151954,-147160.7,0.02,0.02,0.88,-4,0,-2,44,0
'[11:48:00.108 21/01/2026]',-130142.5,-184490.3,-140157.3,-16892.29,-375000,-375000,-151949.9,-147168.1,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.112 21/01/2026]',-130155.9,-184485.4,-140154.8,-16892.51,-375000,-375000,-151947,-147117.7,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.116 21/01/2026]',-130162.8,-184486.5,-140150.6,-16894.25,-375000,-375000,-151949.9,-147101.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.120 21/01/2026]',-130143.6,-184489.3,-140143.9,-16896.53,-375000,-375000,-151956.9,-147147.8,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.124 21/01/2026]',-130125.3,-184483.9,-140143.9,-16893.09,-375000,-375000,-151949.9,-147159.2,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.128 21/01/2026]',-130134.4,-184488.9,-140152.8,-16891.48,-375000,-375000,-151948.4,-147112.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.132 21/01/2026]',-130143.3,-184473.6,-140135.2,-16876.24,-375000,-375000,-151940.9,-147084,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.136 21/01/2026]',-130116.5,-184476.6,-140147.6,-16887.37,-375000,-375000,-151956.1,-147124.2,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.140 21/01/2026]',-130115.3,-184489.6,-140161.9,-16896.8,-375000,-375000,-151969.7,-147176.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.144 21/01/2026]',-130149,-184494.3,-140155.1,-16894.39,-375000,-375000,-151964,-147148.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.148 21/01/2026]',-130166.3,-184491.9,-140153,-16890.95,-375000,-375000,-151956.7,-147111,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.152 21/01/2026]',-130157.2,-184495.9,-140154.5,-16896.17,-375000,-375000,-151962.8,-147128.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.156 21/01/2026]',-130135.8,-184492.1,-140159.5,-16899.75,-375000,-375000,-151965.6,-147171.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.160 21/01/2026]',-130140.9,-184496.8,-140157.9,-16898.95,-375000,-375000,-151957.4,-147152.1,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.164 21/01/2026]',-130161,-184489.9,-140137.4,-16878.43,-375000,-375000,-151933.4,-147088,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.168 21/01/2026]',-130150,-184496.8,-140144.9,-16885.8,-375000,-375000,-151946.4,-147102.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.172 21/01/2026]',-130115.9,-184486.9,-140149.2,-16884.91,-375000,-375000,-151949,-147151.1,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.176 21/01/2026]',-130117.5,-184480,-140147.8,-16885.27,-375000,-375000,-151946.9,-147147.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.180 21/01/2026]',-130140.7,-184475.2,-140151.5,-16888.4,-375000,-375000,-151946.7,-147107.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.184 21/01/2026]',-130144.4,-184487.4,-140148.9,-16893.63,-375000,-375000,-151950.6,-147101.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.188 21/01/2026]',-130132,-184490.9,-140147.2,-16895.33,-375000,-375000,-151959.1,-147148,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.192 21/01/2026]',-130138.2,-184479.9,-140146,-16892.06,-375000,-375000,-151948.6,-147157.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.196 21/01/2026]',-130162,-184482.8,-140144.3,-16887.37,-375000,-375000,-151937.1,-147098.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.200 21/01/2026]',-130151,-184487.4,-140147,-16887.14,-375000,-375000,-151938.8,-147092,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.204 21/01/2026]',-130120.7,-184483.9,-140150,-16892.96,-375000,-375000,-151947.4,-147134.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.208 21/01/2026]',-130129.4,-184486.1,-140153.6,-16896.17,-375000,-375000,-151952.3,-147158.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.212 21/01/2026]',-130133.1,-184486.6,-140139.1,-16884.55,-375000,-375000,-151939.9,-147103.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.216 21/01/2026]',-130120.2,-184485.2,-140147.8,-16879.63,-375000,-375000,-151934,-147072,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.220 21/01/2026]',-130127.2,-184501.1,-140165.4,-16895.1,-375000,-375000,-151957.8,-147136.5,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.224 21/01/2026]',-130149.5,-184493.7,-140141.3,-16888.4,-375000,-375000,-151950.6,-147171.6,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.228 21/01/2026]',-130166.5,-184490.6,-140133.1,-16882.14,-375000,-375000,-151942,-147130.6,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.232 21/01/2026]',-130166,-184480.8,-140125.4,-16872.26,-375000,-375000,-151929.6,-147084.2,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.236 21/01/2026]',-130130.1,-184477.7,-140135.6,-16880.21,-375000,-375000,-151940,-147120.3,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.240 21/01/2026]',-130107.7,-184474,-140138.8,-16882.76,-375000,-375000,-151941,-147147.3,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.244 21/01/2026]',-130111.9,-184463.5,-140140.3,-16880.97,-375000,-375000,-151936.1,-147100.4,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.248 21/01/2026]',-130126.1,-184458.1,-140135.9,-16870.16,-375000,-375000,-151923.8,-147048.8,0.03,0.00,0.88,-4,0,0,44,0
'[11:48:00.252 21/01/2026]',-130120.9,-184469.8,-140143.4,-16877.49,-375000,-375000,-151935.8,-147074.6,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.256 21/01/2026]',-130103,-184469.6,-140155.8,-16883.52,-375000,-375000,-151942.7,-147129.6,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.260 21/01/2026]',-130134.1,-184474,-140145,-16883.03,-375000,-375000,-151943.3,-147110.6,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.264 21/01/2026]',-130155.4,-184468.8,-140131.5,-16875.43,-375000,-375000,-151934.7,-147051.5,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.268 21/01/2026]',-130143,-184466.4,-140136.1,-16883.61,-375000,-375000,-151944.5,-147064.3,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.272 21/01/2026]',-130126.2,-184463.5,-140137.7,-16884.82,-375000,-375000,-151945,-147113.2,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.276 21/01/2026]',-130113.3,-184459.2,-140134.2,-16874.9,-375000,-375000,-151924.6,-147087.3,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.280 21/01/2026]',-130124.4,-184449.1,-140132.3,-16869.62,-375000,-375000,-151914.5,-147039.9,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.284 21/01/2026]',-130112.8,-184439.8,-140128.6,-16873.06,-375000,-375000,-151925.7,-147052.6,0.03,-0.02,0.88,-4,0,-2,44,0
'[11:48:00.288 21/01/2026]',-130093.7,-184457.6,-140140.9,-16888.71,-375000,-375000,-151953,-147123.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.292 21/01/2026]',-130086.2,-184458,-140145,-16882.09,-375000,-375000,-151941.3,-147114.1,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.296 21/01/2026]',-130124.9,-184465.2,-140149,-16878.79,-375000,-375000,-151926.1,-147055.7,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.300 21/01/2026]',-130139.5,-184473.1,-140141.1,-16878.56,-375000,-375000,-151933,-147049.8,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.304 21/01/2026]',-130134.9,-184487.1,-140138.7,-16886.7,-375000,-375000,-151955.2,-147128.2,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.308 21/01/2026]',-130133.3,-184480.3,-140128.2,-16873.73,-375000,-375000,-151940.2,-147124.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.312 21/01/2026]',-130141.5,-184477.4,-140136.2,-16872.3,-375000,-375000,-151928.9,-147076.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.316 21/01/2026]',-130136.1,-184463.7,-140129.4,-16865.6,-375000,-375000,-151924.1,-147043.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.320 21/01/2026]',-130116.4,-184469.3,-140137.9,-16872.26,-375000,-375000,-151927.5,-147070.9,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.324 21/01/2026]',-130105,-184466.9,-140139.7,-16876.64,-375000,-375000,-151931.6,-147103.5,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.328 21/01/2026]',-130121.2,-184467.3,-140136.5,-16875.66,-375000,-375000,-151932.1,-147079.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.332 21/01/2026]',-130130.5,-184467.5,-140134.8,-16870.78,-375000,-375000,-151933.1,-147072.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.336 21/01/2026]',-130139.5,-184488.8,-140138.4,-16879.32,-375000,-375000,-151951.5,-147115.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.340 21/01/2026]',-130134.4,-184499.1,-140142.7,-16883.35,-375000,-375000,-151954.8,-147152.3,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.344 21/01/2026]',-130129.3,-184470.1,-140124.4,-16871.99,-375000,-375000,-151936.4,-147098.1,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.348 21/01/2026]',-130133,-184455.7,-140121,-16860.01,-375000,-375000,-151928.6,-147050.4,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.352 21/01/2026]',-130111.2,-184468.8,-140131,-16868.82,-375000,-375000,-151942.1,-147078.6,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.356 21/01/2026]',-130111.6,-184472.2,-140132.8,-16871.72,-375000,-375000,-151943.1,-147120.9,0.03,0.00,0.88,-4,0,-2,44,0
'[11:48:00.360 21/01/2026]',-130135.5,-184464.6,-140128.9,-16870.47,-375000,-375000,-151938,-147105.5,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.364 21/01/2026]',-130141.8,-184451.6,-140132.3,-16867.56,-375000,-375000,-151933.3,-147068.9,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.368 21/01/2026]',-130122.2,-184466.7,-140137.9,-16871.63,-375000,-375000,-151948.9,-147088.8,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.372 21/01/2026]',-130112.8,-184486.8,-140140.3,-16883.21,-375000,-375000,-151958.2,-147154.1,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.376 21/01/2026]',-130120,-184469.7,-140120.9,-16857.95,-375000,-375000,-151931,-147128.4,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.380 21/01/2026]',-130121.7,-184455.5,-140120.3,-16850.31,-375000,-375000,-151921.1,-147066.9,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.384 21/01/2026]',-130106.8,-184455.6,-140121.7,-16852.01,-375000,-375000,-151925.3,-147064.2,0.02,0.00,0.88,-4,0,-2,44,0
'[11:48:00.388 21/01/2026]',-130109.2,-184464.6,-140120.6,-16861.8,-375000,-375000,-151945.1,-147131.6,0.02,0.00,0.88,-4,0,-2,44,0
