'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[11:53:00.000 21/01/2026]',-129381.7,-179881.3,-137763.8,-15177.24,-375000,-375000,-150646.1,-153902.8,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.004 21/01/2026]',-129398.3,-179912.6,-137810.6,-15220.29,-375000,-375000,-150682.8,-153783.3,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.008 21/01/2026]',-129404.9,-179910.6,-137781.9,-15188.64,-375000,-375000,-150666.9,-154114.5,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.012 21/01/2026]',-129417.2,-179886.4,-137709.9,-15139.28,-375000,-375000,-150623.5,-154234.3,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.016 21/01/2026]',-129440.4,-179904.2,-137733.3,-15174.42,-375000,-375000,-150644.5,-153948.6,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.020 21/01/2026]',-129419.7,-179932.7,-137801.9,-15224.71,-375000,-375000,-150683.1,-153749,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.024 21/01/2026]',-129400.7,-179913.5,-137791.9,-15205.18,-375000,-375000,-150667.6,-154023.5,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.028 21/01/2026]',-129426.4,-179892.8,-137731.2,-15158.95,-375000,-375000,-150627.5,-154215.1,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.032 21/01/2026]',-129437.3,-179907,-137735.8,-15165.97,-375000,-375000,-150626.8,-153956.9,0.03,0.00,0.88,-4,0,-2,40,0
'[11:53:00.036 21/01/2026]',-129381.7,-179881.3,-137763.8,-15177.24,-375000,-375000,-150646.1,-153902.8,0.03,0.00,0.88,-4,0,-2,40,0
