'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:13:00.000 20/01/2026]',-33.54999,-37.84721,-26.72383,-34.41742,4.610755E-10,4.610755E-10,-10.432,-17.02098
'[19:13:00.004 20/01/2026]',-28.31301,-18.15638,-9.567032,44.65373,4.610755E-10,4.610755E-10,-4.347505,8.224071
'[19:13:00.012 20/01/2026]',-28.31301,-18.15638,-9.567032,44.65373,4.610755E-10,4.610755E-10,-4.347505,8.224071
'[19:13:00.020 20/01/2026]',-28.31301,-18.15638,-9.567032,44.65373,4.610755E-10,4.610755E-10,-4.347505,8.224071
'[19:13:00.028 20/01/2026]',-28.31301,-18.15638,-9.567032,44.65373,4.610755E-10,4.610755E-10,-4.347505,8.224071
'[19:13:00.036 20/01/2026]',30.72553,14.46893,6.910311,-37.36124,4.610755E-10,4.610755E-10,-0.660473,-10.9689
'[19:13:00.044 20/01/2026]',-14.63046,9.530622,5.148213,1.485151,4.610755E-10,4.610755E-10,2.515212,5.18259
'[19:13:00.052 20/01/2026]',-16.43393,-6.612411,2.178798,39.42285,4.610755E-10,4.610755E-10,4.684089,10.652
'[19:13:00.060 20/01/2026]',-16.43393,-6.612411,2.178798,39.42285,4.610755E-10,4.610755E-10,4.684089,10.652
'[19:13:00.068 20/01/2026]',-16.43393,-6.612411,2.178798,39.42285,4.610755E-10,4.610755E-10,4.684089,10.652
'[19:13:00.076 20/01/2026]',-16.43393,-6.612411,2.178798,39.42285,4.610755E-10,4.610755E-10,4.684089,10.652
'[19:13:00.084 20/01/2026]',43.58447,-18.90992,-20.29932,-56.58694,4.610755E-10,4.610755E-10,-13.35343,-27.54492
'[19:13:00.092 20/01/2026]',-46.00896,11.23752,3.860373,11.20583,4.610755E-10,4.610755E-10,1.360301,9.147204
'[19:13:00.100 20/01/2026]',21.94657,0.3900436,14.18125,27.85894,4.610755E-10,4.610755E-10,10.29347,13.88152
'[19:13:00.108 20/01/2026]',21.94657,0.3900436,14.18125,27.85894,4.610755E-10,4.610755E-10,10.29347,13.88152
'[19:13:00.116 20/01/2026]',21.94657,0.3900436,14.18125,27.85894,4.610755E-10,4.610755E-10,10.29347,13.88152
'[19:13:00.124 20/01/2026]',21.94657,0.3900436,14.18125,27.85894,4.610755E-10,4.610755E-10,10.29347,13.88152
'[19:13:00.132 20/01/2026]',4.77871,17.46292,0.2598076,-14.27787,4.610755E-10,4.610755E-10,-1.641694,-8.820508
'[19:13:00.140 20/01/2026]',107.8127,-8.157526,-2.629155,0.7545828,4.610755E-10,4.610755E-10,2.748265,6.479912
'[19:13:00.148 20/01/2026]',107.8127,-8.157526,-2.629155,0.7545828,4.610755E-10,4.610755E-10,2.748265,6.479912
'[19:13:00.156 20/01/2026]',107.8127,-8.157526,-2.629155,0.7545828,4.610755E-10,4.610755E-10,2.748265,6.479912
'[19:13:00.164 20/01/2026]',107.8127,-8.157526,-2.629155,0.7545828,4.610755E-10,4.610755E-10,2.748265,6.479912
'[19:13:00.172 20/01/2026]',-111.0372,-5.045039,0.6596017,16.88464,4.610755E-10,4.610755E-10,0.6787487,2.811695
'[19:13:00.180 20/01/2026]',-50.0578,6.519203,2.430214,-9.278294,4.610755E-10,4.610755E-10,-2.337417,-4.59524
'[19:13:00.188 20/01/2026]',18.67734,4.926764,5.500717,-12.48258,4.610755E-10,4.610755E-10,7.772808,8.637377
'[19:13:00.196 20/01/2026]',18.67734,4.926764,5.500717,-12.48258,4.610755E-10,4.610755E-10,7.772808,8.637377
'[19:13:00.204 20/01/2026]',18.67734,4.926764,5.500717,-12.48258,4.610755E-10,4.610755E-10,7.772808,8.637377
'[19:13:00.212 20/01/2026]',56.11531,-2.465658,1.076378,41.07762,4.610755E-10,4.610755E-10,1.250535,2.40414
'[19:13:00.220 20/01/2026]',-7.579559,-2.742218,-5.109858,-36.44216,4.610755E-10,4.610755E-10,-7.540834,-8.655544
'[19:13:00.228 20/01/2026]',-90.27313,-8.960388,-11.35693,-24.38024,4.610755E-10,4.610755E-10,-6.588312,-13.81987
'[19:13:00.236 20/01/2026]',162.6002,13.742,15.03619,43.52383,4.610755E-10,4.610755E-10,13.20537,16.72099
'[19:13:00.244 20/01/2026]',-79.08081,13.61508,14.96427,20.36679,4.610755E-10,4.610755E-10,13.58498,24.97545
'[19:13:00.252 20/01/2026]',-31.27822,2.873154,4.693993,-23.75746,4.610755E-10,4.610755E-10,0.4337658,-12.1197
'[19:13:00.260 20/01/2026]',2.52524,-15.64262,-21.52606,-6.41669,4.610755E-10,4.610755E-10,-11.16488,-10.55607
'[19:13:00.268 20/01/2026]',52.63269,-6.200082,-0.8610541,4.940302,4.610755E-10,4.610755E-10,-6.93074,-1.841503
'[19:13:00.276 20/01/2026]',-68.3047,11.59135,10.20204,2.332524,4.610755E-10,4.610755E-10,7.703391,7.993987
'[19:13:00.284 20/01/2026]',18.24247,-7.570461,-5.886326,-5.365811,4.610755E-10,4.610755E-10,0.7198483,-3.309754
'[19:13:00.292 20/01/2026]',-2.459535,9.579959,10.33974,7.920418,4.610755E-10,4.610755E-10,4.893753,5.915023
'[19:13:00.300 20/01/2026]',23.59522,-1.733903,-4.947505,-5.098073,4.610755E-10,4.610755E-10,-2.511971,-3.183904
'[19:13:00.308 20/01/2026]',-31.62435,-13.15632,-10.8535,-7.689716,4.610755E-10,4.610755E-10,-14.7584,-12.43753
'[19:13:00.316 20/01/2026]',5.209641,6.69331,7.421339,4.634001,4.610755E-10,4.610755E-10,10.34846,10.89767
'[19:13:00.324 20/01/2026]',16.74943,-2.711834,-3.198763,0.443083,4.610755E-10,4.610755E-10,-0.7027756,-3.857999
'[19:13:00.332 20/01/2026]',-3.541358,23.14701,29.01753,23.82197,4.610755E-10,4.610755E-10,25.9248,28.94696
'[19:13:00.340 20/01/2026]',-33.99862,-45.7986,-49.07702,-39.62418,4.610755E-10,4.610755E-10,-39.00158,-43.18919
'[19:13:00.348 20/01/2026]',71.96188,53.21051,33.0639,24.47677,4.610755E-10,4.610755E-10,15.65626,16.79658
'[19:13:00.356 20/01/2026]',-74.93754,-9.237187,5.258655,-9.852154,4.610755E-10,4.610755E-10,0.3497098,5.496469
'[19:13:00.364 20/01/2026]',37.88996,-42.57926,-29.94949,18.26547,4.610755E-10,4.610755E-10,-8.483606,-14.89971
'[19:13:00.372 20/01/2026]',28.04117,40.3071,27.55898,-20.95469,4.610755E-10,4.610755E-10,21.43151,20.79574
'[19:13:00.380 20/01/2026]',-78.81128,2.92263,0.9187639,9.86126,4.610755E-10,4.610755E-10,-4.191449,3.335377
'[19:13:00.388 20/01/2026]',95.57458,-22.38659,-14.49377,20.2205,4.610755E-10,4.610755E-10,-13.00204,-16.85271
'[19:13:00.396 20/01/2026]',-74.83018,7.672352,4.380799,-21.7347,4.610755E-10,4.610755E-10,9.221958,7.726846
'[19:13:00.404 20/01/2026]',21.23337,0.8646814,-0.2947194,-5.566911,4.610755E-10,4.610755E-10,-4.55522,2.533375
'[19:13:00.412 20/01/2026]',39.80888,-4.826069,-2.10663,0.5388502,4.610755E-10,4.610755E-10,-2.704192,-14.11602
'[19:13:00.420 20/01/2026]',-40.92759,-1.247702,-0.7427652,14.01253,4.610755E-10,4.610755E-10,2.799967,9.685507
'[19:13:00.428 20/01/2026]',-11.62904,5.051813,2.773894,-15.08046,4.610755E-10,4.610755E-10,-4.012712,-2.091697
'[19:13:00.436 20/01/2026]',56.86449,4.282002,-3.19868,3.908846,4.610755E-10,4.610755E-10,6.867229,-5.224463
'[19:13:00.444 20/01/2026]',-46.14648,-18.38532,-4.158748,1.866024,4.610755E-10,4.610755E-10,-13.10439,7.172462
'[19:13:00.452 20/01/2026]',-6.461559,0.01780153,-4.008904,-13.91885,4.610755E-10,4.610755E-10,-2.152502,-18.00686
'[19:13:00.460 20/01/2026]',24.99338,14.34362,6.053796,16.46003,4.610755E-10,4.610755E-10,13.13884,9.603696
'[19:13:00.468 20/01/2026]',-9.479239,-8.45154,2.509486,-5.43404,4.610755E-10,4.610755E-10,-9.361539,5.260272
'[19:13:00.476 20/01/2026]',-7.010159,-3.584542,-8.337241,-14.83877,4.610755E-10,4.610755E-10,-0.4038375,-10.84338
'[19:13:00.484 20/01/2026]',7.994497,-4.947057,-3.747007,18.99423,4.610755E-10,4.610755E-10,1.295628,6.649198
'[19:13:00.492 20/01/2026]',-4.807075,8.498021,11.33475,-5.02452,4.610755E-10,4.610755E-10,-3.241083,-2.843256
'[19:13:00.500 20/01/2026]',6.930384,1.789972,-4.004,1.605079,4.610755E-10,4.610755E-10,8.970865,5.59876
'[19:13:00.508 20/01/2026]',1.509394,6.502392,10.296,0.08818991,4.610755E-10,4.610755E-10,6.235656,8.454761
'[19:13:00.516 20/01/2026]',4.76862,-3.087379,-4.482837,16.64416,4.610755E-10,4.610755E-10,-8.590635,-7.100669
'[19:13:00.524 20/01/2026]',-14.26473,-14.56265,-10.89929,-28.81962,4.610755E-10,4.610755E-10,-2.029756,-7.251073
'[19:13:00.532 20/01/2026]',-20.53144,17.77149,12.76945,9.978453,4.610755E-10,4.610755E-10,1.76676,6.28188
'[19:13:00.540 20/01/2026]',68.64268,-0.9077346,-5.317251,8.644385,4.610755E-10,4.610755E-10,2.953623,0.5515738
'[19:13:00.548 20/01/2026]',-53.53652,-8.151452,-1.965115,-7.791173,4.610755E-10,4.610755E-10,-3.131936,-1.658216
'[19:13:00.556 20/01/2026]',-11.08029,2.715744,3.95768,-3.243385,4.610755E-10,4.610755E-10,-0.114252,-3.183141
'[19:13:00.564 20/01/2026]',29.10387,-0.1029256,-3.875116,-0.6882008,4.610755E-10,4.610755E-10,0.3696705,2.793966
'[19:13:00.572 20/01/2026]',-9.574127,-6.580599,-5.881851,5.272194,4.610755E-10,4.610755E-10,-9.731031,-6.753309
'[19:13:00.580 20/01/2026]',3.973804,9.309154,11.43602,-0.3705338,4.610755E-10,4.610755E-10,14.02675,5.765513
'[19:13:00.588 20/01/2026]',3.973804,9.309154,11.43602,-0.3705338,4.610755E-10,4.610755E-10,14.02675,5.765513
'[19:13:00.596 20/01/2026]',-6.496911,-3.483697,-5.354004,-4.124486,4.610755E-10,4.610755E-10,-5.414072,2.73363
'[19:13:00.604 20/01/2026]',-6.496911,-3.483697,-5.354004,-4.124486,4.610755E-10,4.610755E-10,-5.414072,2.73363
'[19:13:00.612 20/01/2026]',2.41096,2.362996,3.54344,4.311276,4.610755E-10,4.610755E-10,-2.340463,-4.497992
'[19:13:00.620 20/01/2026]',2.41096,2.362996,3.54344,4.311276,4.610755E-10,4.610755E-10,-2.340463,-4.497992
'[19:13:00.628 20/01/2026]',12.57847,-2.212145,0.2235531,6.518451,4.610755E-10,4.610755E-10,7.840863,3.894286
'[19:13:00.636 20/01/2026]',12.57847,-2.212145,0.2235531,6.518451,4.610755E-10,4.610755E-10,7.840863,3.894286
'[19:13:00.644 20/01/2026]',12.57847,-2.212145,0.2235531,6.518451,4.610755E-10,4.610755E-10,7.840863,3.894286
'[19:13:00.652 20/01/2026]',12.57847,-2.212145,0.2235531,6.518451,4.610755E-10,4.610755E-10,7.840863,3.894286
'[19:13:00.660 20/01/2026]',-21.52589,-1.607542,-4.046744,-10.34202,4.610755E-10,4.610755E-10,-7.25504,-1.93136
'[19:13:00.668 20/01/2026]',-21.52589,-1.607542,-4.046744,-10.34202,4.610755E-10,4.610755E-10,-7.25504,-1.93136
'[19:13:00.676 20/01/2026]',-21.52589,-1.607542,-4.046744,-10.34202,4.610755E-10,4.610755E-10,-7.25504,-1.93136
'[19:13:00.684 20/01/2026]',-21.52589,-1.607542,-4.046744,-10.34202,4.610755E-10,4.610755E-10,-7.25504,-1.93136
'[19:13:00.692 20/01/2026]',5.606682,-1.801384,0.5308033,-7.272199,4.610755E-10,4.610755E-10,-2.26286,-5.347215
'[19:13:00.700 20/01/2026]',17.0836,8.354304,6.563507,22.46272,4.610755E-10,4.610755E-10,11.09159,11.21163
'[19:13:00.708 20/01/2026]',17.0836,8.354304,6.563507,22.46272,4.610755E-10,4.610755E-10,11.09159,11.21163
'[19:13:00.716 20/01/2026]',17.0836,8.354304,6.563507,22.46272,4.610755E-10,4.610755E-10,11.09159,11.21163
'[19:13:00.724 20/01/2026]',17.0836,8.354304,6.563507,22.46272,4.610755E-10,4.610755E-10,11.09159,11.21163
'[19:13:00.732 20/01/2026]',-22.60001,-6.898571,-5.122156,-13.65621,4.610755E-10,4.610755E-10,-8.300267,-7.192768
'[19:13:00.740 20/01/2026]',1.562863,-2.915329,-4.172225,-11.2893,4.610755E-10,4.610755E-10,-3.793171,-4.166295
'[19:13:00.748 20/01/2026]',17.91377,9.057736,5.734105,19.86037,4.610755E-10,4.610755E-10,9.898558,10.58955
'[19:13:00.756 20/01/2026]',17.91377,9.057736,5.734105,19.86037,4.610755E-10,4.610755E-10,9.898558,10.58955
'[19:13:00.764 20/01/2026]',17.91377,9.057736,5.734105,19.86037,4.610755E-10,4.610755E-10,9.898558,10.58955
