'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:39:34.784 21/01/2026]',0.14,0.22,0.12,0.13,0.00,0.00,0.14,0.12,0.66,0.85,0.67,0.74,0.00,0.00,0.68,0.62,1.34,1.17,0.65,1.16,0.00,0.00,1.44,1.35,0.74,0.28,0.50,0.40,0.00,0.00,1.02,0.51,0.05,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.799 21/01/2026]',0.14,0.22,0.12,0.13,0.00,0.00,0.14,0.12,0.66,0.85,0.68,0.73,0.00,0.00,0.69,0.63,1.36,1.18,0.68,1.19,0.00,0.00,1.44,1.34,0.76,0.29,0.50,0.41,0.00,0.00,1.01,0.50,0.05,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.806 21/01/2026]',0.14,0.22,0.12,0.13,0.00,0.00,0.14,0.13,0.65,0.86,0.68,0.73,0.00,0.00,0.69,0.63,1.38,1.20,0.71,1.23,0.00,0.00,1.44,1.32,0.77,0.29,0.51,0.42,0.00,0.00,1.00,0.50,0.04,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.823 21/01/2026]',0.15,0.23,0.12,0.13,0.00,0.00,0.14,0.13,0.65,0.86,0.69,0.72,0.00,0.00,0.70,0.64,1.40,1.21,0.73,1.26,0.00,0.00,1.44,1.31,0.79,0.30,0.51,0.42,0.00,0.00,0.99,0.50,0.04,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.847 21/01/2026]',0.15,0.22,0.12,0.13,0.00,0.00,0.14,0.13,0.65,0.87,0.69,0.72,0.00,0.00,0.71,0.65,1.42,1.22,0.75,1.29,0.00,0.00,1.44,1.30,0.80,0.30,0.52,0.42,0.00,0.00,0.98,0.49,0.04,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.869 21/01/2026]',0.15,0.22,0.12,0.14,0.00,0.00,0.14,0.13,0.64,0.87,0.69,0.71,0.00,0.00,0.73,0.65,1.43,1.24,0.77,1.32,0.00,0.00,1.45,1.28,0.81,0.31,0.52,0.43,0.00,0.00,0.96,0.49,0.04,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.891 21/01/2026]',0.15,0.22,0.11,0.14,0.00,0.00,0.14,0.14,0.64,0.87,0.69,0.71,0.00,0.00,0.74,0.65,1.45,1.25,0.80,1.35,0.00,0.00,1.45,1.28,0.82,0.31,0.52,0.42,0.00,0.00,0.93,0.48,0.05,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
'[12:39:34.913 21/01/2026]',0.16,0.23,0.11,0.15,0.00,0.00,0.14,0.14,0.63,0.87,0.69,0.70,0.00,0.00,0.76,0.64,1.47,1.27,0.82,1.38,0.00,0.00,1.45,1.27,0.83,0.30,0.52,0.42,0.00,0.00,0.91,0.47,0.05,0.04,0.02,0.03,0.00,0.00,0.03,0.02,0
