'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:42:00.000 21/01/2026]',-106199.3,-165762.7,-83763.79,15935.5,-375000,-375000,-139678.9,-119827.6,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.004 21/01/2026]',-106196.6,-165769.6,-83771.61,15956.37,-375000,-375000,-139664,-119820.1,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.008 21/01/2026]',-106203.4,-165772.3,-83767.8,15943.19,-375000,-375000,-139679.9,-119833.2,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.012 21/01/2026]',-106214,-165765.3,-83757.57,15928.34,-375000,-375000,-139693.8,-119838.7,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.016 21/01/2026]',-106219.9,-165759.5,-83756.72,15939.48,-375000,-375000,-139678.5,-119821.6,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.020 21/01/2026]',-106223.5,-165769.3,-83772.15,15953.87,-375000,-375000,-139672.7,-119828.7,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.024 21/01/2026]',-106199.5,-165749.3,-83760.74,15943.41,-375000,-375000,-139678.2,-119831.1,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.028 21/01/2026]',-106189.1,-165745.4,-83759.94,15931.34,-375000,-375000,-139690.4,-119836.7,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.032 21/01/2026]',-106218.2,-165784.3,-83772.86,15924.9,-375000,-375000,-139681.7,-119826.9,0.03,-0.02,0.88,-4,0,-2,35,0
'[12:42:00.036 21/01/2026]',-106232.4,-165792.7,-83780.91,15931.16,-375000,-375000,-139673,-119821.4,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.040 21/01/2026]',-106249.8,-165808.2,-83791.73,15930.36,-375000,-375000,-139675.9,-119827.7,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.044 21/01/2026]',-106248,-165808.6,-83789.94,15906.26,-375000,-375000,-139699.3,-119841.6,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.048 21/01/2026]',-106249.5,-165807.8,-83792.09,15903.22,-375000,-375000,-139701.3,-119844.1,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.052 21/01/2026]',-106250.4,-165812.9,-83794.32,15917.88,-375000,-375000,-139683.1,-119835.6,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.056 21/01/2026]',-106255,-165804.8,-83793.29,15934.25,-375000,-375000,-139672.7,-119829.5,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.060 21/01/2026]',-106251.3,-165803,-83789.13,15908.27,-375000,-375000,-139697,-119839.7,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.064 21/01/2026]',-106240.1,-165797.8,-83782.47,15913.5,-375000,-375000,-139695.5,-119837.5,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.068 21/01/2026]',-106242.4,-165801.1,-83791.37,15913.77,-375000,-375000,-139693.4,-119846.3,0.05,0.00,0.88,-4,0,-2,35,0
'[12:42:00.072 21/01/2026]',-106244.1,-165799.3,-83790.25,15936.97,-375000,-375000,-139679.5,-119831.7,0.03,0.00,0.88,-4,0,-2,35,0
'[12:42:00.076 21/01/2026]',-106248.8,-165806.7,-83787.97,15913.46,-375000,-375000,-139703.4,-119851.9,0.03,0.00,0.88,-4,0,-2,35,0
'[12:42:00.080 21/01/2026]',-106238.6,-165800.4,-83785.69,15907.51,-375000,-375000,-139706.5,-119849.5,0.03,0.00,0.88,-4,0,-2,35,0
'[12:42:00.084 21/01/2026]',-106245,-165795,-83792.58,15921.24,-375000,-375000,-139693.3,-119842.3,0.03,0.00,0.88,-4,0,-2,35,0
