'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:27:00.000 21/01/2026]',-9.35172,-20.84083,-4.983337,-6.928642,4.610755E-10,4.610755E-10,-3.724349,-5.164897
'[17:27:00.004 21/01/2026]',-9.35172,-20.84083,-4.983337,-6.928642,4.610755E-10,4.610755E-10,-3.724349,-5.164897
'[17:27:00.012 21/01/2026]',-9.35172,-20.84083,-4.983337,-6.928642,4.610755E-10,4.610755E-10,-3.724349,-5.164897
'[17:27:00.020 21/01/2026]',-2.753056,-8.309917,-2.469113,-3.166088,4.610755E-10,4.610755E-10,1.79623,-1.974779
'[17:27:00.028 21/01/2026]',-2.753056,-8.309917,-2.469113,-3.166088,4.610755E-10,4.610755E-10,1.79623,-1.974779
'[17:27:00.036 21/01/2026]',-2.753056,-8.309917,-2.469113,-3.166088,4.610755E-10,4.610755E-10,1.79623,-1.974779
'[17:27:00.044 21/01/2026]',0.960809,7.071617,0.2628056,-0.8413849,4.610755E-10,4.610755E-10,-0.6396567,4.823803
'[17:27:00.052 21/01/2026]',2.653123,-4.135555,2.901114,3.1993,4.610755E-10,4.610755E-10,-0.6838282,-1.989591
'[17:27:00.060 21/01/2026]',2.653123,-4.135555,2.901114,3.1993,4.610755E-10,4.610755E-10,-0.6838282,-1.989591
'[17:27:00.068 21/01/2026]',2.206107,7.397168,1.954059,1.232373,4.610755E-10,4.610755E-10,2.879232,-1.388115
'[17:27:00.076 21/01/2026]',2.206107,7.397168,1.954059,1.232373,4.610755E-10,4.610755E-10,2.879232,-1.388115
'[17:27:00.084 21/01/2026]',-9.758972,-16.18223,-6.448689,-7.028443,4.610755E-10,4.610755E-10,-6.742086,-2.293778
'[17:27:00.092 21/01/2026]',-9.758972,-16.18223,-6.448689,-7.028443,4.610755E-10,4.610755E-10,-6.742086,-2.293778
'[17:27:00.100 21/01/2026]',-17.50299,-10.71759,-6.160287,-5.514252,4.610755E-10,4.610755E-10,4.03437,4.881226
'[17:27:00.108 21/01/2026]',-17.50299,-10.71759,-6.160287,-5.514252,4.610755E-10,4.610755E-10,4.03437,4.881226
'[17:27:00.116 21/01/2026]',-17.50299,-10.71759,-6.160287,-5.514252,4.610755E-10,4.610755E-10,4.03437,4.881226
'[17:27:00.124 21/01/2026]',-17.50299,-10.71759,-6.160287,-5.514252,4.610755E-10,4.610755E-10,4.03437,4.881226
'[17:27:00.132 21/01/2026]',-23.99172,-25.0884,-11.49639,-13.83564,4.610755E-10,4.610755E-10,-6.075336,-7.929523
'[17:27:00.140 21/01/2026]',-23.99172,-25.0884,-11.49639,-13.83564,4.610755E-10,4.610755E-10,-6.075336,-7.929523
'[17:27:00.148 21/01/2026]',73.95273,61.54934,34.049,32.53931,4.610755E-10,4.610755E-10,4.216165,2.809716
'[17:27:00.156 21/01/2026]',9.255925,24.30724,1.941398,6.952456,4.610755E-10,4.610755E-10,4.048252,6.504497
'[17:27:00.164 21/01/2026]',9.255925,24.30724,1.941398,6.952456,4.610755E-10,4.610755E-10,4.048252,6.504497
'[17:27:00.172 21/01/2026]',-44.52062,-45.50933,-13.97027,-17.11102,4.610755E-10,4.610755E-10,0.5657361,0.2593936
'[17:27:00.180 21/01/2026]',-44.52062,-45.50933,-13.97027,-17.11102,4.610755E-10,4.610755E-10,0.5657361,0.2593936
'[17:27:00.188 21/01/2026]',4.434735,-12.38445,-4.714684,-7.515333,4.610755E-10,4.610755E-10,-6.870992,-8.076936
'[17:27:00.196 21/01/2026]',4.434735,-12.38445,-4.714684,-7.515333,4.610755E-10,4.610755E-10,-6.870992,-8.076936
'[17:27:00.204 21/01/2026]',8.844044,23.40317,9.170582,12.31597,4.610755E-10,4.610755E-10,4.886329,6.019137
'[17:27:00.212 21/01/2026]',8.844044,23.40317,9.170582,12.31597,4.610755E-10,4.610755E-10,4.886329,6.019137
'[17:27:00.220 21/01/2026]',8.844044,23.40317,9.170582,12.31597,4.610755E-10,4.610755E-10,4.886329,6.019137
'[17:27:00.228 21/01/2026]',0.5146945,-3.547045,-3.075638,-1.453594,4.610755E-10,4.610755E-10,1.84939,-1.609653
