'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[11:23:00.000 21/01/2026]',-101138.6,-169765.6,-113348.6,21656.16,-375000,-375000,-142842.9,-123247.7,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.004 21/01/2026]',-99364.54,-166928,-111656.6,23202.41,-375000,-375000,-141249.1,-122011.9,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.008 21/01/2026]',-100873.5,-168334.9,-113222.4,21405.95,-375000,-375000,-142587.9,-123588.3,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.012 21/01/2026]',-102788.6,-171331,-115050.6,19698.95,-375000,-375000,-144333.4,-124980.9,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.016 21/01/2026]',-101548.3,-170303.7,-113749.4,21248.64,-375000,-375000,-143207.8,-123589.6,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.020 21/01/2026]',-99479.43,-167198.5,-111755,23158.82,-375000,-375000,-141344.9,-122026.9,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.024 21/01/2026]',-100454.7,-167812.9,-112806.6,21827.64,-375000,-375000,-142221.9,-123230.7,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.028 21/01/2026]',-102628.1,-170997.2,-114901.7,19797.43,-375000,-375000,-144179.9,-124902.5,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.032 21/01/2026]',-101926.1,-170760.3,-114125,20845.86,-375000,-375000,-143549.1,-123930.6,0.02,0.00,0.88,-4,0,-2,4,0
'[11:23:00.036 21/01/2026]',-99681.22,-167601.7,-111939,23002.31,-375000,-375000,-141531.4,-122144,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.040 21/01/2026]',-100086.8,-167378.3,-112433.1,22226.53,-375000,-375000,-141887.8,-122891.5,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.044 21/01/2026]',-102380.9,-170555.2,-114672.9,19998.06,-375000,-375000,-143945.8,-124739.4,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.048 21/01/2026]',-102284.7,-171155.7,-114481.4,20456.85,-375000,-375000,-143866.5,-124266.8,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.052 21/01/2026]',-99987.13,-168098.3,-112221.6,22747.55,-375000,-375000,-141799.5,-122342,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.056 21/01/2026]',-99765.84,-167034.1,-112100,22598.87,-375000,-375000,-141599.1,-122570.8,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.060 21/01/2026]',-102060.8,-170039.7,-114366.9,20277.01,-375000,-375000,-143653.5,-124512.7,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.064 21/01/2026]',-102562.5,-171426,-114771.3,20129.22,-375000,-375000,-144112.5,-124544.4,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.068 21/01/2026]',-100331,-168635.8,-112559,22430.91,-375000,-375000,-142115.3,-122596.9,0.02,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.072 21/01/2026]',-99505.36,-166820.8,-111839.6,22912.5,-375000,-375000,-141377.3,-122291.2,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.076 21/01/2026]',-101690.1,-169489.1,-114011.7,20616.98,-375000,-375000,-143320.5,-124239.7,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.080 21/01/2026]',-102774,-171590,-114989.6,19864.89,-375000,-375000,-144300.6,-124793,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.084 21/01/2026]',-100717,-169191.9,-112930.8,22073.06,-375000,-375000,-142457.6,-122892.7,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.088 21/01/2026]',-99383.54,-166769.7,-111691.9,23119.04,-375000,-375000,-141248.8,-122098,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.092 21/01/2026]',-101295.6,-168920.8,-113624.4,20985.34,-375000,-375000,-142967.1,-123936.4,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.096 21/01/2026]',-102869.6,-171563.7,-115097,19703.64,-375000,-375000,-144377.7,-124942.4,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.100 21/01/2026]',-101123.7,-169733.1,-113319.8,21687.85,-375000,-375000,-142806.5,-123207.5,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.104 21/01/2026]',-99354.71,-166873.8,-111639.9,23214.97,-375000,-375000,-141221,-121993.5,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.108 21/01/2026]',-100889.1,-168365.6,-113232.5,21381.5,-375000,-375000,-142598.1,-123597.2,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.112 21/01/2026]',-102824.2,-171384.2,-115078.4,19676.29,-375000,-375000,-144342.9,-124982.1,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.116 21/01/2026]',-101514.2,-170267.9,-113707.4,21290.35,-375000,-375000,-143172,-123552.5,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.120 21/01/2026]',-99447.6,-167159,-111718.2,23181.22,-375000,-375000,-141317.8,-122010.2,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.124 21/01/2026]',-100499.7,-167863.9,-112846.3,21786.15,-375000,-375000,-142249.4,-123263.2,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.128 21/01/2026]',-102664.1,-171051.6,-114934.3,19774.9,-375000,-375000,-144199.7,-124915.4,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.132 21/01/2026]',-101910.3,-170745.3,-114098.6,20879.57,-375000,-375000,-143523.9,-123900.5,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.136 21/01/2026]',-99664.15,-167559.7,-111917.1,23025.07,-375000,-375000,-141508.2,-122124.7,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.140 21/01/2026]',-100110.8,-167394.2,-112455.2,22201.81,-375000,-375000,-141905.3,-122907.9,0.05,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.144 21/01/2026]',-102426,-170614.3,-114713.4,19959.88,-375000,-375000,-143984.2,-124773.4,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.148 21/01/2026]',-102287.2,-171152.5,-114478,20477.24,-375000,-375000,-143851.4,-124244.1,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.152 21/01/2026]',-99954.27,-168049,-112186.8,22779.02,-375000,-375000,-141769.6,-122318.7,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.156 21/01/2026]',-99780.15,-167060,-112120.3,22569.23,-375000,-375000,-141617.8,-122594.9,0.03,-0.02,0.88,-4,0,-2,4,0
'[11:23:00.160 21/01/2026]',-102095.9,-170091.3,-114414.2,20235.17,-375000,-375000,-143690.3,-124545.2,0.03,-0.02,0.88,-4,0,-2,4,0
