'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:34:19.167 21/01/2026]',0.21,0.15,0.15,0.15,0.00,0.00,0.09,0.08,0.94,1.09,0.92,1.04,0.00,0.00,0.52,0.58,0.79,1.34,0.54,0.58,0.00,0.00,0.70,0.56,0.49,0.82,0.68,0.48,0.00,0.00,0.72,0.83,0.05,0.07,0.06,0.06,0.00,0.00,0.04,0.05,0
'[11:34:19.191 21/01/2026]',0.21,0.15,0.15,0.15,0.00,0.00,0.09,0.08,0.92,1.08,0.91,1.04,0.00,0.00,0.49,0.56,0.78,1.34,0.56,0.59,0.00,0.00,0.70,0.56,0.51,0.84,0.70,0.49,0.00,0.00,0.71,0.82,0.05,0.06,0.06,0.05,0.00,0.00,0.04,0.05,0
'[11:34:19.210 21/01/2026]',0.22,0.14,0.15,0.15,0.00,0.00,0.09,0.09,0.92,1.07,0.91,1.04,0.00,0.00,0.47,0.54,0.78,1.33,0.58,0.60,0.00,0.00,0.69,0.56,0.53,0.86,0.72,0.50,0.00,0.00,0.70,0.81,0.05,0.06,0.06,0.05,0.00,0.00,0.04,0.05,0
'[11:34:19.229 21/01/2026]',0.20,0.14,0.14,0.14,0.00,0.00,0.10,0.09,0.93,1.07,0.92,1.04,0.00,0.00,0.44,0.53,0.79,1.33,0.60,0.61,0.00,0.00,0.68,0.55,0.55,0.88,0.74,0.52,0.00,0.00,0.68,0.80,0.05,0.06,0.06,0.05,0.00,0.00,0.04,0.05,0
'[11:34:19.247 21/01/2026]',0.19,0.13,0.14,0.14,0.00,0.00,0.11,0.09,0.95,1.07,0.92,1.04,0.00,0.00,0.42,0.52,0.80,1.33,0.62,0.62,0.00,0.00,0.67,0.56,0.56,0.91,0.75,0.53,0.00,0.00,0.66,0.78,0.06,0.06,0.06,0.05,0.00,0.00,0.04,0.04,0
'[11:34:19.265 21/01/2026]',0.18,0.12,0.14,0.14,0.00,0.00,0.12,0.10,0.96,1.08,0.93,1.04,0.00,0.00,0.40,0.51,0.80,1.33,0.64,0.63,0.00,0.00,0.66,0.58,0.57,0.94,0.77,0.54,0.00,0.00,0.64,0.76,0.06,0.06,0.06,0.05,0.00,0.00,0.04,0.04,0
'[11:34:19.283 21/01/2026]',0.17,0.12,0.14,0.14,0.00,0.00,0.12,0.10,0.97,1.08,0.93,1.04,0.00,0.00,0.39,0.50,0.81,1.33,0.65,0.64,0.00,0.00,0.64,0.58,0.58,0.96,0.78,0.55,0.00,0.00,0.61,0.74,0.05,0.06,0.06,0.05,0.00,0.00,0.04,0.04,0
'[11:34:19.303 21/01/2026]',0.17,0.11,0.14,0.14,0.00,0.00,0.12,0.10,0.98,1.08,0.92,1.04,0.00,0.00,0.38,0.50,0.83,1.33,0.65,0.64,0.00,0.00,0.63,0.59,0.58,0.98,0.78,0.55,0.00,0.00,0.58,0.72,0.05,0.06,0.07,0.05,0.00,0.00,0.04,0.04,0
