'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:30:32.805 21/01/2026]',1.50,1.68,0.65,0.76,0.00,0.00,0.26,0.24,5.83,6.85,2.46,2.57,0.00,0.00,0.61,1.26,6.96,7.48,3.30,3.18,0.00,0.00,1.26,1.01,2.56,2.61,1.22,1.41,0.00,0.00,0.85,0.81,0.17,0.13,0.10,0.08,0.00,0.00,0.06,0.04,0
'[11:30:32.817 21/01/2026]',1.51,1.74,0.66,0.77,0.00,0.00,0.25,0.25,5.61,6.72,2.37,2.50,0.00,0.00,0.59,1.24,6.72,7.43,3.20,3.15,0.00,0.00,1.26,1.00,2.49,2.62,1.18,1.40,0.00,0.00,0.86,0.84,0.16,0.15,0.09,0.09,0.00,0.00,0.05,0.04,0
'[11:30:32.833 21/01/2026]',1.52,1.72,0.66,0.77,0.00,0.00,0.24,0.24,5.41,6.40,2.29,2.38,0.00,0.00,0.58,1.21,6.49,7.22,3.10,3.05,0.00,0.00,1.26,0.96,2.43,2.61,1.14,1.36,0.00,0.00,0.87,0.87,0.16,0.16,0.09,0.09,0.00,0.00,0.05,0.04,0
'[11:30:32.849 21/01/2026]',1.53,1.71,0.67,0.77,0.00,0.00,0.23,0.24,5.23,6.11,2.22,2.27,0.00,0.00,0.56,1.17,6.28,7.02,3.02,2.96,0.00,0.00,1.26,0.95,2.37,2.61,1.10,1.32,0.00,0.00,0.87,0.91,0.15,0.18,0.08,0.09,0.00,0.00,0.05,0.05,0
'[11:30:32.867 21/01/2026]',1.54,1.70,0.68,0.76,0.00,0.00,0.22,0.23,5.06,5.84,2.15,2.16,0.00,0.00,0.55,1.14,6.09,6.83,2.93,2.87,0.00,0.00,1.26,0.95,2.31,2.60,1.07,1.28,0.00,0.00,0.88,0.94,0.15,0.20,0.08,0.09,0.00,0.00,0.05,0.05,0
'[11:30:32.884 21/01/2026]',1.55,1.69,0.68,0.76,0.00,0.00,0.21,0.22,4.90,5.59,2.08,2.07,0.00,0.00,0.54,1.11,5.91,6.66,2.86,2.79,0.00,0.00,1.26,0.96,2.26,2.59,1.04,1.24,0.00,0.00,0.89,0.97,0.15,0.21,0.08,0.10,0.00,0.00,0.05,0.05,0
'[11:30:32.900 21/01/2026]',1.46,1.68,0.65,0.76,0.00,0.00,0.21,0.22,4.65,5.36,1.99,1.98,0.00,0.00,0.53,1.09,5.67,6.50,2.77,2.71,0.00,0.00,1.25,0.97,2.20,2.59,1.01,1.21,0.00,0.00,0.89,1.00,0.16,0.22,0.09,0.10,0.00,0.00,0.05,0.05,0
'[11:30:32.917 21/01/2026]',1.41,1.66,0.62,0.73,0.00,0.00,0.20,0.22,4.40,5.11,1.90,1.88,0.00,0.00,0.50,1.05,5.38,6.31,2.65,2.63,0.00,0.00,1.23,0.96,2.08,2.55,0.95,1.17,0.00,0.00,0.88,1.01,0.16,0.23,0.09,0.10,0.00,0.00,0.05,0.05,0
