'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:34:00.000 21/01/2026]',11.2482,4.420395,4.269299,1.608442,4.610755E-10,4.610755E-10,1.052183,0.6582749
'[17:34:00.004 21/01/2026]',11.2482,4.420395,4.269299,1.608442,4.610755E-10,4.610755E-10,1.052183,0.6582749
'[17:34:00.012 21/01/2026]',-2.24257,0.2711466,-1.681321,0.05305196,4.610755E-10,4.610755E-10,-1.567718,-0.6616741
'[17:34:00.020 21/01/2026]',-5.73461,-5.702275,-1.838854,-2.26552,4.610755E-10,4.610755E-10,4.970078,2.362939
'[17:34:00.028 21/01/2026]',-5.73461,-5.702275,-1.838854,-2.26552,4.610755E-10,4.610755E-10,4.970078,2.362939
'[17:34:00.036 21/01/2026]',-5.73461,-5.702275,-1.838854,-2.26552,4.610755E-10,4.610755E-10,4.970078,2.362939
'[17:34:00.044 21/01/2026]',1.367091,0.02315667,0.9913684,-0.1786234,4.610755E-10,4.610755E-10,-3.763549,-0.3126071
'[17:34:00.052 21/01/2026]',1.378108,1.800377,-1.793376,-0.2553571,4.610755E-10,4.610755E-10,-1.077765,-3.732287
'[17:34:00.060 21/01/2026]',1.378108,1.800377,-1.793376,-0.2553571,4.610755E-10,4.610755E-10,-1.077765,-3.732287
'[17:34:00.068 21/01/2026]',1.536628,2.957981,4.299042,3.810252,4.610755E-10,4.610755E-10,2.796972,3.396383
'[17:34:00.076 21/01/2026]',1.536628,2.957981,4.299042,3.810252,4.610755E-10,4.610755E-10,2.796972,3.396383
'[17:34:00.084 21/01/2026]',-4.355285,-4.809323,-4.865796,-4.705522,4.610755E-10,4.610755E-10,-2.055397,-0.8492304
'[17:34:00.092 21/01/2026]',-4.355285,-4.809323,-4.865796,-4.705522,4.610755E-10,4.610755E-10,-2.055397,-0.8492304
'[17:34:00.100 21/01/2026]',-4.355285,-4.809323,-4.865796,-4.705522,4.610755E-10,4.610755E-10,-2.055397,-0.8492304
'[17:34:00.108 21/01/2026]',1.820879,1.167693,0.7462854,0.7338901,4.610755E-10,4.610755E-10,-0.08324208,-1.916274
'[17:34:00.116 21/01/2026]',1.820879,1.167693,0.7462854,0.7338901,4.610755E-10,4.610755E-10,-0.08324208,-1.916274
'[17:34:00.124 21/01/2026]',2.824379,3.013986,4.498712,4.887937,4.610755E-10,4.610755E-10,4.659544,4.676294
'[17:34:00.132 21/01/2026]',-5.344172,-4.544644,-9.350473,-7.155555,4.610755E-10,4.610755E-10,-7.37942,-5.735253
'[17:34:00.140 21/01/2026]',-5.344172,-4.544644,-9.350473,-7.155555,4.610755E-10,4.610755E-10,-7.37942,-5.735253
'[17:34:00.148 21/01/2026]',-5.344172,-4.544644,-9.350473,-7.155555,4.610755E-10,4.610755E-10,-7.37942,-5.735253
'[17:34:00.156 21/01/2026]',-5.344172,-4.544644,-9.350473,-7.155555,4.610755E-10,4.610755E-10,-7.37942,-5.735253
'[17:34:00.164 21/01/2026]',3.897505,5.179184,7.226349,4.699479,4.610755E-10,4.610755E-10,3.937791,2.254565
'[17:34:00.172 21/01/2026]',0.7043856,-4.053886,1.268421,0.7643362,4.610755E-10,4.610755E-10,1.049269,0.648523
'[17:34:00.180 21/01/2026]',0.7043856,-4.053886,1.268421,0.7643362,4.610755E-10,4.610755E-10,1.049269,0.648523
'[17:34:00.188 21/01/2026]',0.7043856,-4.053886,1.268421,0.7643362,4.610755E-10,4.610755E-10,1.049269,0.648523
'[17:34:00.196 21/01/2026]',-3.354649,-0.7337918,-5.111516,-3.846359,4.610755E-10,4.610755E-10,-1.210333,0.2085153
'[17:34:00.204 21/01/2026]',-3.354649,-0.7337918,-5.111516,-3.846359,4.610755E-10,4.610755E-10,-1.210333,0.2085153
'[17:34:00.212 21/01/2026]',-3.354649,-0.7337918,-5.111516,-3.846359,4.610755E-10,4.610755E-10,-1.210333,0.2085153
'[17:34:00.220 21/01/2026]',0.5711781,4.115041,2.884197,2.288301,4.610755E-10,4.610755E-10,-1.39063,-1.596974
'[17:34:00.228 21/01/2026]',3.060592,-2.101983,3.377933,2.378355,4.610755E-10,4.610755E-10,0.5779257,-0.9505135
'[17:34:00.236 21/01/2026]',3.060592,-2.101983,3.377933,2.378355,4.610755E-10,4.610755E-10,0.5779257,-0.9505135
'[17:34:00.244 21/01/2026]',-4.404491,-2.706169,-7.048578,-5.546107,4.610755E-10,4.610755E-10,1.384337,4.350664
'[17:34:00.252 21/01/2026]',-4.404491,-2.706169,-7.048578,-5.546107,4.610755E-10,4.610755E-10,1.384337,4.350664
'[17:34:00.260 21/01/2026]',0.2587806,2.371412,3.353729,3.455893,4.610755E-10,4.610755E-10,-0.3208501,-2.680814
'[17:34:00.268 21/01/2026]',0.2587806,2.371412,3.353729,3.455893,4.610755E-10,4.610755E-10,-0.3208501,-2.680814
'[17:34:00.276 21/01/2026]',0.8954773,-0.7827529,0.1789374,-0.7981173,4.610755E-10,4.610755E-10,-1.467451,-0.7101665
'[17:34:00.284 21/01/2026]',0.8954773,-0.7827529,0.1789374,-0.7981173,4.610755E-10,4.610755E-10,-1.467451,-0.7101665
