'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[11:30:00.000 21/01/2026]',-105733.1,-173565.9,-116468.4,19750.54,-375000,-375000,-147945.9,-127914.6,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.004 21/01/2026]',-105082.8,-173341.4,-115763.3,20695.84,-375000,-375000,-147352.6,-127061.2,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.008 21/01/2026]',-102994.1,-170460.9,-113719.8,22770.17,-375000,-375000,-145508.7,-125297.2,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.012 21/01/2026]',-103339.2,-170268.4,-114137.7,22108.82,-375000,-375000,-145848.8,-125920.3,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.016 21/01/2026]',-105474.3,-173161.5,-116221.4,19962.34,-375000,-375000,-147732.6,-127737.6,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.020 21/01/2026]',-105398.8,-173691,-116070.7,20342.46,-375000,-375000,-147637.7,-127363.9,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.024 21/01/2026]',-103238,-170881.3,-113939.9,22549.11,-375000,-375000,-145727.3,-125484.1,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.028 21/01/2026]',-103025.7,-169938.3,-113811,22463.64,-375000,-375000,-145579.3,-125622.9,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.032 21/01/2026]',-105183.6,-172692.6,-115949.5,20231.14,-375000,-375000,-147471.9,-127518.8,0.03,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.036 21/01/2026]',-105708.6,-173997.3,-116385.5,19990.77,-375000,-375000,-147901.7,-127673.5,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.040 21/01/2026]',-103570.5,-171399.7,-114267.7,22230.55,-375000,-375000,-146027.6,-125761.3,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.044 21/01/2026]',-102771.4,-169743.1,-113551.6,22771.2,-375000,-375000,-145354.8,-125360.2,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.048 21/01/2026]',-104816.1,-172178,-115600.2,20576.17,-375000,-375000,-147154.5,-127233.5,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.052 21/01/2026]',-105845.2,-174084.5,-116545.7,19783.75,-375000,-375000,-148046.3,-127865.7,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.056 21/01/2026]',-103920.9,-171896.7,-114626,21876.59,-375000,-375000,-146334.5,-126044.2,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.060 21/01/2026]',-102650.8,-169707.5,-113421.8,22940.58,-375000,-375000,-145247.7,-125192.8,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.064 21/01/2026]',-104447.1,-171676,-115245.6,20926.46,-375000,-375000,-146838.1,-126926,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.068 21/01/2026]',-105920.3,-174066.1,-116635.9,19648.21,-375000,-375000,-148121.1,-127988.4,0.03,0.00,0.88,-4,0,-2,29,0
'[11:30:00.072 21/01/2026]',-104299.4,-172401.5,-114994.2,21495.58,-375000,-375000,-146680.5,-126377,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.076 21/01/2026]',-102620.2,-169790,-113378.6,23027.57,-375000,-375000,-145217.5,-125113.1,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.080 21/01/2026]',-104061.6,-171152.1,-114861.5,21317.48,-375000,-375000,-146501.1,-126599,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.084 21/01/2026]',-105880.9,-173896.1,-116619.7,19629.97,-375000,-375000,-148099.2,-128016.6,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.088 21/01/2026]',-104666,-172873.9,-115359.9,21119.67,-375000,-375000,-147006.9,-126702.4,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.092 21/01/2026]',-102721,-170036.4,-113467.4,22978.22,-375000,-375000,-145302.2,-125145.4,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.096 21/01/2026]',-103687.1,-170681.8,-114486.9,21712.71,-375000,-375000,-146177.4,-126275.9,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.100 21/01/2026]',-105711.9,-173580.4,-116466.8,19748.93,-375000,-375000,-147969.2,-127937.4,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.104 21/01/2026]',-105029.5,-173307.3,-115723.8,20731.2,-375000,-375000,-147340,-127040.8,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.108 21/01/2026]',-102921,-170405,-113663.9,22812.14,-375000,-375000,-145488,-125283,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.112 21/01/2026]',-103312.8,-170273.8,-114129.8,22096.76,-375000,-375000,-145871.3,-125953.7,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.116 21/01/2026]',-105498.7,-173199,-116268.4,19925.33,-375000,-375000,-147780.4,-127783.9,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.120 21/01/2026]',-105362.3,-173663.3,-116063.5,20363.69,-375000,-375000,-147631.5,-127357.2,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.124 21/01/2026]',-103170.8,-170817.9,-113906.1,22589.97,-375000,-375000,-145699,-125458.5,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.128 21/01/2026]',-103015.1,-169946.3,-113820.1,22452.73,-375000,-375000,-145594.8,-125647.3,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.132 21/01/2026]',-105184.4,-172721,-115960.3,20215.41,-375000,-375000,-147502.3,-127549.6,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.136 21/01/2026]',-105642.9,-173938.7,-116340.6,20040.08,-375000,-375000,-147883,-127641,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.140 21/01/2026]',-103521.1,-171324.8,-114229.1,22269.89,-375000,-375000,-146002.1,-125727.4,0.02,-0.02,0.88,-4,0,-2,29,0
'[11:30:00.144 21/01/2026]',-102781.9,-169744.8,-113577.9,22742.09,-375000,-375000,-145390.6,-125393.5,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.148 21/01/2026]',-104822.5,-172207,-115614.7,20555.96,-375000,-375000,-147196.3,-127273.2,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.152 21/01/2026]',-105821.8,-174072.3,-116532.4,19802.3,-375000,-375000,-148055.1,-127868.9,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.156 21/01/2026]',-103878.6,-171838.6,-114592.1,21914.37,-375000,-375000,-146330.7,-126042.6,0.03,-0.02,0.86,-4,0,-2,29,0
'[11:30:00.160 21/01/2026]',-102625.1,-169680.9,-113417.6,22943.35,-375000,-375000,-145264.7,-125221.8,0.03,-0.02,0.86,-4,0,-2,29,0
