'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:33:00.000 20/01/2026]',-105225.3,-188265.1,-113874.7,-134291.9,-375000,-375000,-150668,-121671.6,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.004 20/01/2026]',-105226.3,-188252.8,-113876.6,-134212.5,-375000,-375000,-150644.7,-121664.6,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.008 20/01/2026]',-105272.7,-188327.8,-113813.6,-133946.4,-375000,-375000,-150538.5,-121694.3,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.012 20/01/2026]',-105303,-188359.8,-113838.1,-134032.7,-375000,-375000,-150579.5,-121725.6,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.016 20/01/2026]',-105291.2,-188341,-113935.9,-134344,-375000,-375000,-150722,-121722.2,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.020 20/01/2026]',-105274.4,-188316.5,-113937.9,-134294.8,-375000,-375000,-150700.9,-121697.2,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.024 20/01/2026]',-105287.6,-188337.9,-113833,-133986,-375000,-375000,-150557.6,-121703.8,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.028 20/01/2026]',-105287.8,-188360.3,-113787.5,-133935,-375000,-375000,-150511.8,-121703.5,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.032 20/01/2026]',-105282,-188332.1,-113884.1,-134261.9,-375000,-375000,-150656.3,-121706.9,0.03,-0.02,0.88,-4,0,-2,49,0
'[13:33:00.036 20/01/2026]',-105314.1,-188348.5,-114014.9,-134433.3,-375000,-375000,-150782.2,-121732,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.040 20/01/2026]',-105389.4,-188432.2,-114017,-134226.1,-375000,-375000,-150734.1,-121794.8,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.044 20/01/2026]',-105377.3,-188417.2,-113892.7,-133994.3,-375000,-375000,-150600.3,-121783.3,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.048 20/01/2026]',-105326.7,-188352.6,-113903.7,-134241.4,-375000,-375000,-150684.2,-121763.8,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.052 20/01/2026]',-105287.5,-188313.9,-113930.5,-134323,-375000,-375000,-150719.9,-121725.3,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.056 20/01/2026]',-105317.3,-188372.5,-113889.7,-134126,-375000,-375000,-150647,-121734.8,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.060 20/01/2026]',-105351.9,-188425.6,-113854.3,-133982,-375000,-375000,-150586.9,-121760.7,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.064 20/01/2026]',-105330.7,-188400.1,-113896.5,-134193.2,-375000,-375000,-150662.6,-121760.7,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.068 20/01/2026]',-105278.7,-188329.9,-113917.5,-134312.8,-375000,-375000,-150706.3,-121712.6,0.03,0.00,0.91,-4,0,-2,49,0
'[13:33:00.072 20/01/2026]',-105282.9,-188327.3,-113868.3,-134120.3,-375000,-375000,-150619.5,-121702.6,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.076 20/01/2026]',-105296,-188350.6,-113774.8,-133875.4,-375000,-375000,-150495.4,-121706.6,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.080 20/01/2026]',-105285.3,-188329.1,-113794.8,-134063.8,-375000,-375000,-150565.3,-121710.1,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.084 20/01/2026]',-105258.8,-188273.4,-113875.7,-134297.1,-375000,-375000,-150676.4,-121690.1,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.088 20/01/2026]',-105279,-188314.7,-113888,-134196.6,-375000,-375000,-150654.7,-121697.3,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.092 20/01/2026]',-105343,-188404.3,-113861.3,-134004.8,-375000,-375000,-150593.9,-121743.2,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.096 20/01/2026]',-105373.1,-188426.1,-113919.1,-134177.2,-375000,-375000,-150678.9,-121788.9,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.100 20/01/2026]',-105358.9,-188403.3,-114022.1,-134434.7,-375000,-375000,-150798.6,-121785.3,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.104 20/01/2026]',-105303.4,-188347.6,-113917.2,-134214.3,-375000,-375000,-150670.3,-121725,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.108 20/01/2026]',-105300.8,-188355.6,-113771.4,-133891.4,-375000,-375000,-150499.8,-121705.1,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.112 20/01/2026]',-105301.3,-188364.4,-113760.4,-133940.1,-375000,-375000,-150505,-121709,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.116 20/01/2026]',-105268.4,-188316.1,-113842.2,-134232,-375000,-375000,-150630.4,-121695.8,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.120 20/01/2026]',-105238.3,-188287.3,-113832.9,-134190.8,-375000,-375000,-150609.3,-121657.9,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.124 20/01/2026]',-105271,-188320.4,-113759.1,-133937.8,-375000,-375000,-150498.9,-121669.3,0.02,0.00,0.89,-4,0,-2,49,0
'[13:33:00.128 20/01/2026]',-105282.4,-188323.6,-113735.2,-133918.7,-375000,-375000,-150484,-121685.8,0.02,0.00,0.89,-4,0,-2,49,0
