'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:02:00.883 21/01/2026]',0.14,0.15,0.15,0.16,0.00,0.00,0.17,0.16,0.71,0.49,0.52,0.85,0.00,0.00,0.51,0.48,2.45,2.50,2.17,2.95,0.00,0.00,2.35,2.44,0.81,0.91,0.89,0.88,0.00,0.00,0.94,1.25,0.04,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:00.905 21/01/2026]',0.14,0.14,0.15,0.16,0.00,0.00,0.17,0.15,0.71,0.47,0.53,0.86,0.00,0.00,0.52,0.50,2.42,2.49,2.14,2.90,0.00,0.00,2.33,2.41,0.83,0.93,0.89,0.89,0.00,0.00,0.91,1.22,0.04,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:00.923 21/01/2026]',0.14,0.13,0.15,0.16,0.00,0.00,0.17,0.15,0.72,0.48,0.54,0.88,0.00,0.00,0.53,0.52,2.39,2.47,2.11,2.86,0.00,0.00,2.30,2.37,0.84,0.96,0.88,0.91,0.00,0.00,0.89,1.20,0.04,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:00.943 21/01/2026]',0.14,0.13,0.15,0.16,0.00,0.00,0.17,0.14,0.72,0.49,0.55,0.89,0.00,0.00,0.54,0.54,2.36,2.45,2.08,2.81,0.00,0.00,2.27,2.34,0.86,0.97,0.88,0.91,0.00,0.00,0.87,1.18,0.04,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:00.963 21/01/2026]',0.15,0.13,0.15,0.15,0.00,0.00,0.18,0.14,0.72,0.51,0.56,0.90,0.00,0.00,0.56,0.56,2.33,2.43,2.05,2.77,0.00,0.00,2.25,2.31,0.85,0.99,0.86,0.92,0.00,0.00,0.85,1.15,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:00.983 21/01/2026]',0.15,0.14,0.15,0.17,0.00,0.00,0.18,0.15,0.70,0.52,0.56,0.91,0.00,0.00,0.58,0.59,2.27,2.40,2.00,2.71,0.00,0.00,2.20,2.28,0.84,0.99,0.86,0.90,0.00,0.00,0.83,1.13,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:01.003 21/01/2026]',0.15,0.15,0.15,0.17,0.00,0.00,0.19,0.16,0.69,0.53,0.56,0.90,0.00,0.00,0.61,0.62,2.22,2.35,1.96,2.63,0.00,0.00,2.15,2.22,0.82,0.97,0.88,0.87,0.00,0.00,0.81,1.10,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
'[13:02:01.023 21/01/2026]',0.15,0.15,0.15,0.17,0.00,0.00,0.18,0.16,0.67,0.53,0.56,0.90,0.00,0.00,0.62,0.64,2.17,2.31,1.92,2.56,0.00,0.00,2.11,2.17,0.81,0.96,0.89,0.85,0.00,0.00,0.80,1.08,0.05,0.05,0.05,0.05,0.00,0.00,0.05,0.05,0
