'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:15:00.000 21/01/2026]',-8.192056,-8.780577,-1.002816,0.07169188,4.610755E-10,4.610755E-10,1.497254,-9.136569
'[19:15:00.004 21/01/2026]',-25.54563,-22.67488,-13.10024,-14.58267,4.610755E-10,4.610755E-10,-7.478581,-32.8285
'[19:15:00.012 21/01/2026]',-25.54563,-22.67488,-13.10024,-14.58267,4.610755E-10,4.610755E-10,-7.478581,-32.8285
'[19:15:00.020 21/01/2026]',53.61517,59.66218,21.64681,21.37847,4.610755E-10,4.610755E-10,8.357804,53.24349
'[19:15:00.028 21/01/2026]',53.61517,59.66218,21.64681,21.37847,4.610755E-10,4.610755E-10,8.357804,53.24349
'[19:15:00.036 21/01/2026]',25.30728,9.286097,9.690476,6.678711,4.610755E-10,4.610755E-10,-5.144577,-4.826749
'[19:15:00.044 21/01/2026]',25.30728,9.286097,9.690476,6.678711,4.610755E-10,4.610755E-10,-5.144577,-4.826749
'[19:15:00.052 21/01/2026]',-62.55355,-58.60861,-24.99928,-20.76182,4.610755E-10,4.610755E-10,-2.827914,-27.46931
'[19:15:00.060 21/01/2026]',-62.55355,-58.60861,-24.99928,-20.76182,4.610755E-10,4.610755E-10,-2.827914,-27.46931
'[19:15:00.068 21/01/2026]',-62.55355,-58.60861,-24.99928,-20.76182,4.610755E-10,4.610755E-10,-2.827914,-27.46931
'[19:15:00.076 21/01/2026]',8.581944,15.25805,3.175108,3.428298,4.610755E-10,4.610755E-10,2.726295,18.72724
'[19:15:00.084 21/01/2026]',8.581944,15.25805,3.175108,3.428298,4.610755E-10,4.610755E-10,2.726295,18.72724
'[19:15:00.092 21/01/2026]',22.94889,20.01015,11.52921,9.06036,4.610755E-10,4.610755E-10,2.816299,30.28703
'[19:15:00.100 21/01/2026]',22.94889,20.01015,11.52921,9.06036,4.610755E-10,4.610755E-10,2.816299,30.28703
'[19:15:00.108 21/01/2026]',-11.09067,-13.14107,-7.319743,-4.364307,4.610755E-10,4.610755E-10,-5.755924,-50.25813
'[19:15:00.116 21/01/2026]',-11.09067,-13.14107,-7.319743,-4.364307,4.610755E-10,4.610755E-10,-5.755924,-50.25813
'[19:15:00.124 21/01/2026]',-5.469552,-4.730823,-1.512018,-4.615597,4.610755E-10,4.610755E-10,3.031801,22.04841
'[19:15:00.132 21/01/2026]',-5.469552,-4.730823,-1.512018,-4.615597,4.610755E-10,4.610755E-10,3.031801,22.04841
'[19:15:00.140 21/01/2026]',4.234394,7.479951,3.730044,3.643812,4.610755E-10,4.610755E-10,3.359741,16.42728
'[19:15:00.148 21/01/2026]',1.097278,-0.9069449,-1.412621,0.5601711,4.610755E-10,4.610755E-10,-4.295966,-22.00896
'[19:15:00.156 21/01/2026]',-1.623386,-2.756648,-0.8845176,-0.4218896,4.610755E-10,4.610755E-10,1.690952,-0.1672134
'[19:15:00.164 21/01/2026]',-10.46463,-7.860427,-5.401197,-4.955216,4.610755E-10,4.610755E-10,-1.376015,-21.01292
'[19:15:00.172 21/01/2026]',-1.652273,-4.284102,2.29435,-1.691351,4.610755E-10,4.610755E-10,-0.03514675,32.73026
'[19:15:00.180 21/01/2026]',-1.652273,-4.284102,2.29435,-1.691351,4.610755E-10,4.610755E-10,-0.03514675,32.73026
'[19:15:00.188 21/01/2026]',35.17925,36.46773,12.64864,16.17678,4.610755E-10,4.610755E-10,4.332233,8.583328
'[19:15:00.196 21/01/2026]',-25.72095,-23.98674,-10.73016,-11.22551,4.610755E-10,4.610755E-10,-3.775104,-34.62828
'[19:15:00.204 21/01/2026]',-3.358716,-4.903177,0.6897744,2.061022,4.610755E-10,4.610755E-10,1.286502,40.26627
'[19:15:00.212 21/01/2026]',-3.358716,-4.903177,0.6897744,2.061022,4.610755E-10,4.610755E-10,1.286502,40.26627
'[19:15:00.220 21/01/2026]',9.473205,12.50617,1.323808,1.645353,4.610755E-10,4.610755E-10,-0.1935406,-6.749483
'[19:15:00.228 21/01/2026]',1.438215,-0.9285251,2.564215,-1.976954,4.610755E-10,4.610755E-10,0.6091975,-6.678069
'[19:15:00.236 21/01/2026]',1.438215,-0.9285251,2.564215,-1.976954,4.610755E-10,4.610755E-10,0.6091975,-6.678069
'[19:15:00.244 21/01/2026]',-10.11639,-10.8561,-7.467704,-3.469415,4.610755E-10,4.610755E-10,-2.556814,4.113986
'[19:15:00.252 21/01/2026]',5.386396,7.633965,6.664651,7.627123,4.610755E-10,4.610755E-10,3.446783,-18.65195
'[19:15:00.260 21/01/2026]',1.892453,1.553495,-0.4162839,-3.155368,4.610755E-10,4.610755E-10,-0.602366,27.5216
'[19:15:00.268 21/01/2026]',-3.307483,-6.001692,-5.151115,-6.286215,4.610755E-10,4.610755E-10,-3.093582,-20.21362
'[19:15:00.276 21/01/2026]',-0.5462957,3.842783,4.694496,6.459941,4.610755E-10,4.610755E-10,2.5039,-24.62946
'[19:15:00.284 21/01/2026]',17.29686,9.958763,7.785572,7.604479,4.610755E-10,4.610755E-10,4.651154,39.58726
'[19:15:00.292 21/01/2026]',-14.74144,-12.03821,-9.75503,-13.115,4.610755E-10,4.610755E-10,-5.924862,-21.16882
'[19:15:00.300 21/01/2026]',-14.74144,-12.03821,-9.75503,-13.115,4.610755E-10,4.610755E-10,-5.924862,-21.16882
'[19:15:00.308 21/01/2026]',-10.69691,-6.711072,-3.650095,0.6514541,4.610755E-10,4.610755E-10,-2.20108,-3.509242
'[19:15:00.316 21/01/2026]',13.89864,12.71455,9.02802,9.410248,4.610755E-10,4.610755E-10,6.833505,14.95417
'[19:15:00.324 21/01/2026]',-12.98813,-13.49802,-10.41224,-12.20331,4.610755E-10,4.610755E-10,-6.811073,-29.54798
'[19:15:00.332 21/01/2026]',-23.24745,-28.17552,-6.391741,-4.20292,4.610755E-10,4.610755E-10,-0.8773786,42.45821
'[19:15:00.340 21/01/2026]',-23.24745,-28.17552,-6.391741,-4.20292,4.610755E-10,4.610755E-10,-0.8773786,42.45821
'[19:15:00.348 21/01/2026]',22.59542,31.00233,9.798781,10.22317,4.610755E-10,4.610755E-10,6.711463,19.42199
'[19:15:00.356 21/01/2026]',72.00556,72.50263,25.29183,21.61418,4.610755E-10,4.610755E-10,2.968426,-28.19011
'[19:15:00.364 21/01/2026]',-64.1944,-73.45972,-24.00928,-23.5715,4.610755E-10,4.610755E-10,-10.72188,-4.895465
'[19:15:00.372 21/01/2026]',-23.03053,-21.66998,-7.314179,-5.349396,4.610755E-10,4.610755E-10,4.740058,14.29662
'[19:15:00.380 21/01/2026]',32.0541,39.33951,11.20241,8.681293,4.610755E-10,4.610755E-10,0.664861,-4.790394
'[19:15:00.388 21/01/2026]',2.546553,-0.5635431,1.352442,4.481565,4.610755E-10,4.610755E-10,3.958869,-13.61982
'[19:15:00.396 21/01/2026]',-9.826014,-9.935834,-2.38535,-2.818816,4.610755E-10,4.610755E-10,-3.856086,1.710643
'[19:15:00.404 21/01/2026]',-9.826014,-9.935834,-2.38535,-2.818816,4.610755E-10,4.610755E-10,-3.856086,1.710643
'[19:15:00.412 21/01/2026]',-5.310653,-7.954473,-3.037316,-5.769733,4.610755E-10,4.610755E-10,-3.163818,22.90937
'[19:15:00.420 21/01/2026]',-5.310653,-7.954473,-3.037316,-5.769733,4.610755E-10,4.610755E-10,-3.163818,22.90937
'[19:15:00.428 21/01/2026]',12.58352,13.3274,5.271407,8.054563,4.610755E-10,4.610755E-10,7.718264,-11.22968
'[19:15:00.436 21/01/2026]',12.58352,13.3274,5.271407,8.054563,4.610755E-10,4.610755E-10,7.718264,-11.22968
