'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:02:00.000 21/01/2026]',-0.01886965,-1.907684,0.2876108,-1.67906,4.610755E-10,4.610755E-10,2.482511,-0.1034044
'[19:02:00.004 21/01/2026]',-0.01886965,-1.907684,0.2876108,-1.67906,4.610755E-10,4.610755E-10,2.482511,-0.1034044
'[19:02:00.012 21/01/2026]',-2.442729,0.2488257,-3.389073,-3.088224,4.610755E-10,4.610755E-10,-2.149655,-2.703404
'[19:02:00.020 21/01/2026]',-2.442729,0.2488257,-3.389073,-3.088224,4.610755E-10,4.610755E-10,-2.149655,-2.703404
'[19:02:00.028 21/01/2026]',1.26404,-1.648299,1.973204,3.278852,4.610755E-10,4.610755E-10,-0.5514346,1.463781
'[19:02:00.036 21/01/2026]',-1.609853,-0.2806985,-1.449159,-2.162125,4.610755E-10,4.610755E-10,-0.3790359,-1.379918
'[19:02:00.044 21/01/2026]',-1.609853,-0.2806985,-1.449159,-2.162125,4.610755E-10,4.610755E-10,-0.3790359,-1.379918
'[19:02:00.052 21/01/2026]',2.967984,3.053708,1.212242,1.782159,4.610755E-10,4.610755E-10,0.2459692,1.094269
'[19:02:00.060 21/01/2026]',2.967984,3.053708,1.212242,1.782159,4.610755E-10,4.610755E-10,0.2459692,1.094269
'[19:02:00.068 21/01/2026]',1.12126,0.4149667,1.862348,1.281227,4.610755E-10,4.610755E-10,2.415637,1.635618
'[19:02:00.076 21/01/2026]',1.12126,0.4149667,1.862348,1.281227,4.610755E-10,4.610755E-10,2.415637,1.635618
'[19:02:00.084 21/01/2026]',1.12126,0.4149667,1.862348,1.281227,4.610755E-10,4.610755E-10,2.415637,1.635618
'[19:02:00.092 21/01/2026]',1.12126,0.4149667,1.862348,1.281227,4.610755E-10,4.610755E-10,2.415637,1.635618
'[19:02:00.100 21/01/2026]',-3.641859,-4.392659,-3.83418,-3.15164,4.610755E-10,4.610755E-10,-0.5354373,-2.28617
'[19:02:00.108 21/01/2026]',-3.641859,-4.392659,-3.83418,-3.15164,4.610755E-10,4.610755E-10,-0.5354373,-2.28617
'[19:02:00.116 21/01/2026]',2.639086,2.983797,2.96212,1.268024,4.610755E-10,4.610755E-10,-1.674072,0.04561501
'[19:02:00.124 21/01/2026]',-4.74847,-6.708057,-5.835789,-5.585116,4.610755E-10,4.610755E-10,-5.224387,-6.088292
'[19:02:00.132 21/01/2026]',11.45101,12.64978,9.088359,11.66219,4.610755E-10,4.610755E-10,9.356658,10.05988
'[19:02:00.140 21/01/2026]',9.671072,17.00708,3.504552,1.039311,4.610755E-10,4.610755E-10,-6.598306,-3.865206
'[19:02:00.148 21/01/2026]',-24.88931,-31.09771,-10.10589,-12.6109,4.610755E-10,4.610755E-10,-3.335718,-5.551415
'[19:02:00.156 21/01/2026]',-24.88931,-31.09771,-10.10589,-12.6109,4.610755E-10,4.610755E-10,-3.335718,-5.551415
'[19:02:00.164 21/01/2026]',-2.523486,-6.059387,-1.303749,-0.25602,4.610755E-10,4.610755E-10,7.690553,3.130115
'[19:02:00.172 21/01/2026]',-2.523486,-6.059387,-1.303749,-0.25602,4.610755E-10,4.610755E-10,7.690553,3.130115
'[19:02:00.180 21/01/2026]',16.16902,21.05729,7.233757,11.93239,4.610755E-10,4.610755E-10,5.41064,9.999165
'[19:02:00.188 21/01/2026]',-10.34965,-11.43684,-5.238188,-11.59446,4.610755E-10,4.610755E-10,-15.38806,-11.80194
'[19:02:00.196 21/01/2026]',-35.08525,-32.18484,-15.28275,-11.59684,4.610755E-10,4.610755E-10,0.5265241,-1.188301
'[19:02:00.204 21/01/2026]',-35.08525,-32.18484,-15.28275,-11.59684,4.610755E-10,4.610755E-10,0.5265241,-1.188301
'[19:02:00.212 21/01/2026]',-35.08525,-32.18484,-15.28275,-11.59684,4.610755E-10,4.610755E-10,0.5265241,-1.188301
'[19:02:00.220 21/01/2026]',-35.08525,-32.18484,-15.28275,-11.59684,4.610755E-10,4.610755E-10,0.5265241,-1.188301
'[19:02:00.228 21/01/2026]',47.71068,39.62815,19.85551,18.58722,4.610755E-10,4.610755E-10,14.35533,4.374308
'[19:02:00.236 21/01/2026]',15.95384,19.75306,8.757521,7.058035,4.610755E-10,4.610755E-10,-5.338404,3.91594
'[19:02:00.244 21/01/2026]',-39.06613,-36.09494,-16.95211,-15.47719,4.610755E-10,4.610755E-10,-4.880404,-3.688198
'[19:02:00.252 21/01/2026]',7.236372,3.16357,1.465208,1.997612,4.610755E-10,4.610755E-10,2.99251,-4.285473
'[19:02:00.260 21/01/2026]',7.236372,3.16357,1.465208,1.997612,4.610755E-10,4.610755E-10,2.99251,-4.285473
'[19:02:00.268 21/01/2026]',13.577,13.83573,6.752924,5.077689,4.610755E-10,4.610755E-10,2.445211,4.821802
'[19:02:00.276 21/01/2026]',13.577,13.83573,6.752924,5.077689,4.610755E-10,4.610755E-10,2.445211,4.821802
'[19:02:00.284 21/01/2026]',-0.3285762,1.814989,2.538339,3.165398,4.610755E-10,4.610755E-10,0.7043531,1.586906
'[19:02:00.292 21/01/2026]',-0.3285762,1.814989,2.538339,3.165398,4.610755E-10,4.610755E-10,0.7043531,1.586906
'[19:02:00.300 21/01/2026]',-0.3285762,1.814989,2.538339,3.165398,4.610755E-10,4.610755E-10,0.7043531,1.586906
'[19:02:00.308 21/01/2026]',-0.3285762,1.814989,2.538339,3.165398,4.610755E-10,4.610755E-10,0.7043531,1.586906
'[19:02:00.316 21/01/2026]',-6.487134,-6.399054,-3.27136,-3.174849,4.610755E-10,4.610755E-10,-2.85447,-2.504068
'[19:02:00.324 21/01/2026]',0.5118024,-3.398308,-2.012042,-2.251573,4.610755E-10,4.610755E-10,-0.462742,-0.3503821
'[19:02:00.332 21/01/2026]',0.5118024,-3.398308,-2.012042,-2.251573,4.610755E-10,4.610755E-10,-0.462742,-0.3503821
'[19:02:00.340 21/01/2026]',0.5118024,-3.398308,-2.012042,-2.251573,4.610755E-10,4.610755E-10,-0.462742,-0.3503821
'[19:02:00.348 21/01/2026]',1.77808,5.100305,2.233681,1.843526,4.610755E-10,4.610755E-10,5.836941,5.150297
'[19:02:00.356 21/01/2026]',1.838768,-0.3752262,1.551295,0.9447768,4.610755E-10,4.610755E-10,-9.028443,-5.107284
'[19:02:00.364 21/01/2026]',1.838768,-0.3752262,1.551295,0.9447768,4.610755E-10,4.610755E-10,-9.028443,-5.107284
'[19:02:00.372 21/01/2026]',1.838768,-0.3752262,1.551295,0.9447768,4.610755E-10,4.610755E-10,-9.028443,-5.107284
'[19:02:00.380 21/01/2026]',1.838768,-0.3752262,1.551295,0.9447768,4.610755E-10,4.610755E-10,-9.028443,-5.107284
'[19:02:00.388 21/01/2026]',-3.296156,-2.682851,-1.110029,-3.96307,4.610755E-10,4.610755E-10,0.8428776,-2.256177
'[19:02:00.396 21/01/2026]',-3.296156,-2.682851,-1.110029,-3.96307,4.610755E-10,4.610755E-10,0.8428776,-2.256177
'[19:02:00.404 21/01/2026]',-3.296156,-2.682851,-1.110029,-3.96307,4.610755E-10,4.610755E-10,0.8428776,-2.256177
'[19:02:00.412 21/01/2026]',2.768791,4.032251,0.07120014,4.826384,4.610755E-10,4.610755E-10,4.577419,6.991616
'[19:02:00.420 21/01/2026]',-1.887765,-3.206128,1.288408,-2.098306,4.610755E-10,4.610755E-10,-9.364671,-5.50572
'[19:02:00.428 21/01/2026]',0.7711129,0.1648034,-1.919823,1.929675,4.610755E-10,4.610755E-10,9.398323,2.123384
'[19:02:00.436 21/01/2026]',0.7711129,0.1648034,-1.919823,1.929675,4.610755E-10,4.610755E-10,9.398323,2.123384
