'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:09:00.000 20/01/2026]',5.612455,2.225544,2.373841,3.070877,4.610755E-10,4.610755E-10,-1.338782,0.1093697
'[18:09:00.008 20/01/2026]',-0.8331032,0.8860925,-0.6591152,-0.7632315,4.610755E-10,4.610755E-10,-3.178571,-2.29689
'[18:09:00.016 20/01/2026]',-2.22234,-3.541352,-1.033092,-6.290807,4.610755E-10,4.610755E-10,4.399671,-0.3537697
'[18:09:00.024 20/01/2026]',-0.5672576,2.981425,1.583898,8.463957,4.610755E-10,4.610755E-10,-0.2401575,4.439761
'[18:09:00.032 20/01/2026]',-0.5672576,2.981425,1.583898,8.463957,4.610755E-10,4.610755E-10,-0.2401575,4.439761
'[18:09:00.040 20/01/2026]',-0.5672576,2.981425,1.583898,8.463957,4.610755E-10,4.610755E-10,-0.2401575,4.439761
'[18:09:00.048 20/01/2026]',-0.3673759,-4.245843,-0.8649558,-5.436464,4.610755E-10,4.610755E-10,-6.739355,-9.621126
'[18:09:00.056 20/01/2026]',-3.097979,-1.635068,0.7438132,-0.6758937,4.610755E-10,4.610755E-10,6.118128,6.688971
'[18:09:00.064 20/01/2026]',-3.097979,-1.635068,0.7438132,-0.6758937,4.610755E-10,4.610755E-10,6.118128,6.688971
'[18:09:00.072 20/01/2026]',-3.097979,-1.635068,0.7438132,-0.6758937,4.610755E-10,4.610755E-10,6.118128,6.688971
'[18:09:00.080 20/01/2026]',-3.097979,-1.635068,0.7438132,-0.6758937,4.610755E-10,4.610755E-10,6.118128,6.688971
'[18:09:00.088 20/01/2026]',-3.097979,-1.635068,0.7438132,-0.6758937,4.610755E-10,4.610755E-10,6.118128,6.688971
'[18:09:00.096 20/01/2026]',-18.45044,-21.24324,-10.78853,-2.468949,4.610755E-10,4.610755E-10,-0.244445,0.6461
'[18:09:00.104 20/01/2026]',5.38695,5.7733,5.881854,-5.57293,4.610755E-10,4.610755E-10,-6.28363,-7.121078
'[18:09:00.112 20/01/2026]',63.26726,70.07798,17.94704,25.65176,4.610755E-10,4.610755E-10,3.897597,6.595676
'[18:09:00.120 20/01/2026]',63.26726,70.07798,17.94704,25.65176,4.610755E-10,4.610755E-10,3.897597,6.595676
'[18:09:00.128 20/01/2026]',63.26726,70.07798,17.94704,25.65176,4.610755E-10,4.610755E-10,3.897597,6.595676
'[18:09:00.136 20/01/2026]',63.26726,70.07798,17.94704,25.65176,4.610755E-10,4.610755E-10,3.897597,6.595676
'[18:09:00.144 20/01/2026]',63.26726,70.07798,17.94704,25.65176,4.610755E-10,4.610755E-10,3.897597,6.595676
'[18:09:00.152 20/01/2026]',-33.57776,-36.5979,-12.96339,-8.824348,4.610755E-10,4.610755E-10,5.561469,1.396249
'[18:09:00.160 20/01/2026]',-35.0339,-38.12636,-7.007681,-12.17722,4.610755E-10,4.610755E-10,-6.801795,-5.034767
'[18:09:00.168 20/01/2026]',29.48303,29.53671,9.65355,9.187577,4.610755E-10,4.610755E-10,2.751426,3.388742
'[18:09:00.176 20/01/2026]',29.48303,29.53671,9.65355,9.187577,4.610755E-10,4.610755E-10,2.751426,3.388742
'[18:09:00.184 20/01/2026]',29.48303,29.53671,9.65355,9.187577,4.610755E-10,4.610755E-10,2.751426,3.388742
'[18:09:00.192 20/01/2026]',1.204202,3.615009,-2.838147,6.043796,4.610755E-10,4.610755E-10,1.647905,-0.1116751
'[18:09:00.200 20/01/2026]',-10.32657,-10.83072,-1.938711,-12.98639,4.610755E-10,4.610755E-10,-8.405967,-4.88597
'[18:09:00.208 20/01/2026]',-11.79118,-12.16514,-9.27169,-7.041045,4.610755E-10,4.610755E-10,-3.881435,-4.955063
'[18:09:00.216 20/01/2026]',-11.79118,-12.16514,-9.27169,-7.041045,4.610755E-10,4.610755E-10,-3.881435,-4.955063
'[18:09:00.224 20/01/2026]',-11.79118,-12.16514,-9.27169,-7.041045,4.610755E-10,4.610755E-10,-3.881435,-4.955063
'[18:09:00.232 20/01/2026]',-11.79118,-12.16514,-9.27169,-7.041045,4.610755E-10,4.610755E-10,-3.881435,-4.955063
'[18:09:00.240 20/01/2026]',10.26074,11.34259,6.612141,5.748376,4.610755E-10,4.610755E-10,7.986899,5.166546
'[18:09:00.248 20/01/2026]',6.438264,7.732129,5.111833,8.301126,4.610755E-10,4.610755E-10,5.399189,7.56041
'[18:09:00.256 20/01/2026]',6.438264,7.732129,5.111833,8.301126,4.610755E-10,4.610755E-10,5.399189,7.56041
'[18:09:00.264 20/01/2026]',6.438264,7.732129,5.111833,8.301126,4.610755E-10,4.610755E-10,5.399189,7.56041
'[18:09:00.272 20/01/2026]',6.438264,7.732129,5.111833,8.301126,4.610755E-10,4.610755E-10,5.399189,7.56041
'[18:09:00.280 20/01/2026]',4.358427,-0.9204773,5.667762,3.112322,4.610755E-10,4.610755E-10,2.524311,0.1534538
'[18:09:00.288 20/01/2026]',4.358427,-0.9204773,5.667762,3.112322,4.610755E-10,4.610755E-10,2.524311,0.1534538
'[18:09:00.296 20/01/2026]',4.358427,-0.9204773,5.667762,3.112322,4.610755E-10,4.610755E-10,2.524311,0.1534538
'[18:09:00.304 20/01/2026]',4.358427,-0.9204773,5.667762,3.112322,4.610755E-10,4.610755E-10,2.524311,0.1534538
'[18:09:00.312 20/01/2026]',-6.213497,-4.528954,-6.899623,-9.944049,4.610755E-10,4.610755E-10,-8.551488,-5.335882
'[18:09:00.320 20/01/2026]',-2.776304,-1.718282,-1.416732,2.649634,4.610755E-10,4.610755E-10,4.10858,2.708562
'[18:09:00.328 20/01/2026]',4.53821,3.881394,3.151348,5.178133,4.610755E-10,4.610755E-10,-1.651606,-1.265284
'[18:09:00.336 20/01/2026]',4.53821,3.881394,3.151348,5.178133,4.610755E-10,4.610755E-10,-1.651606,-1.265284
'[18:09:00.344 20/01/2026]',4.53821,3.881394,3.151348,5.178133,4.610755E-10,4.610755E-10,-1.651606,-1.265284
'[18:09:00.352 20/01/2026]',4.53821,3.881394,3.151348,5.178133,4.610755E-10,4.610755E-10,-1.651606,-1.265284
'[18:09:00.360 20/01/2026]',0.9431639,2.270999,0.9241244,-2.782105,4.610755E-10,4.610755E-10,3.930713,4.146696
'[18:09:00.368 20/01/2026]',-1.356822,-5.736227,-2.598812,-1.035925,4.610755E-10,4.610755E-10,-4.576947,-4.398499
'[18:09:00.376 20/01/2026]',-2.059265,2.424842,0.448056,0.701555,4.610755E-10,4.610755E-10,1.303853,-0.8722619
'[18:09:00.384 20/01/2026]',-2.059265,2.424842,0.448056,0.701555,4.610755E-10,4.610755E-10,1.303853,-0.8722619
'[18:09:00.392 20/01/2026]',-2.059265,2.424842,0.448056,0.701555,4.610755E-10,4.610755E-10,1.303853,-0.8722619
'[18:09:00.400 20/01/2026]',-2.059265,2.424842,0.448056,0.701555,4.610755E-10,4.610755E-10,1.303853,-0.8722619
'[18:09:00.408 20/01/2026]',3.420162,2.418748,1.336268,2.670644,4.610755E-10,4.610755E-10,2.637218,4.832881
'[18:09:00.416 20/01/2026]',1.68946,0.9661638,-0.9596348,-7.010678,4.610755E-10,4.610755E-10,-5.498079,-4.340979
'[18:09:00.424 20/01/2026]',-3.606947,-3.146344,-1.080575,4.271782,4.610755E-10,4.610755E-10,-0.09894399,-0.0291428
'[18:09:00.432 20/01/2026]',-3.606947,-3.146344,-1.080575,4.271782,4.610755E-10,4.610755E-10,-0.09894399,-0.0291428
'[18:09:00.440 20/01/2026]',-3.606947,-3.146344,-1.080575,4.271782,4.610755E-10,4.610755E-10,-0.09894399,-0.0291428
