'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:09:00.000 20/01/2026]',-117365.1,-170594.9,-164627.1,-213167.1,-375000,-375000,-142047.7,-179322.9,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.004 20/01/2026]',-117379.6,-170587.6,-164644.9,-213175.6,-375000,-375000,-142043.6,-179325.8,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.008 20/01/2026]',-117394,-170638.8,-164674.5,-213123.1,-375000,-375000,-142047.5,-179322.4,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.012 20/01/2026]',-117374.9,-170646.1,-164672.4,-213131.5,-375000,-375000,-142050.4,-179326.1,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.016 20/01/2026]',-117360.8,-170609.5,-164651,-213208.1,-375000,-375000,-142062.4,-179344.2,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.020 20/01/2026]',-117376.9,-170602.6,-164649,-213210.6,-375000,-375000,-142064.1,-179343.2,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.024 20/01/2026]',-117394.2,-170640.9,-164669.5,-213145.8,-375000,-375000,-142044.4,-179319.7,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.028 20/01/2026]',-117389.5,-170633.6,-164672.5,-213111.5,-375000,-375000,-142029.7,-179291.5,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.032 20/01/2026]',-117355.9,-170606.2,-164647.6,-213162.5,-375000,-375000,-142038.9,-179298.5,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.036 20/01/2026]',-117365.1,-170594.9,-164627.1,-213167.1,-375000,-375000,-142047.7,-179322.9,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.040 20/01/2026]',-117379.6,-170587.6,-164644.9,-213175.6,-375000,-375000,-142043.6,-179325.8,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.044 20/01/2026]',-117394,-170638.8,-164674.5,-213123.1,-375000,-375000,-142047.5,-179322.4,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.048 20/01/2026]',-117374.9,-170646.1,-164672.4,-213131.5,-375000,-375000,-142050.4,-179326.1,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.052 20/01/2026]',-117360.8,-170609.5,-164651,-213208.1,-375000,-375000,-142062.4,-179344.2,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.056 20/01/2026]',-117376.9,-170602.6,-164649,-213210.6,-375000,-375000,-142064.1,-179343.2,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.060 20/01/2026]',-117394.2,-170640.9,-164669.5,-213145.8,-375000,-375000,-142044.4,-179319.7,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.064 20/01/2026]',-117389.5,-170633.6,-164672.5,-213111.5,-375000,-375000,-142029.7,-179291.5,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.068 20/01/2026]',-117355.9,-170606.2,-164647.6,-213162.5,-375000,-375000,-142038.9,-179298.5,0.02,0.02,0.89,-4,0,-2,59,0
'[12:09:00.072 20/01/2026]',-117329.1,-170585.1,-164634.9,-213182.4,-375000,-375000,-142032.8,-179306.5,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.076 20/01/2026]',-117371.9,-170609.7,-164672.6,-213138.9,-375000,-375000,-142040,-179308.4,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.080 20/01/2026]',-117406.4,-170620.8,-164677.2,-213103,-375000,-375000,-142033.8,-179295,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.084 20/01/2026]',-117384.2,-170610.1,-164649.4,-213157.2,-375000,-375000,-142043.9,-179314.9,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.088 20/01/2026]',-117370,-170596.5,-164636.2,-213192.2,-375000,-375000,-142049,-179322.9,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.092 20/01/2026]',-117389.5,-170608.3,-164654.7,-213142,-375000,-375000,-142044.3,-179312.7,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.096 20/01/2026]',-117397,-170628.3,-164672.8,-213099.8,-375000,-375000,-142038.6,-179303.5,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.100 20/01/2026]',-117375.9,-170601.2,-164653,-213139,-375000,-375000,-142046.1,-179313.9,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.104 20/01/2026]',-117361.4,-170580.5,-164643.7,-213192.6,-375000,-375000,-142054.9,-179329.9,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.108 20/01/2026]',-117352.3,-170606.4,-164662.5,-213156.9,-375000,-375000,-142051.5,-179323.4,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.112 20/01/2026]',-117371.1,-170636.6,-164687.6,-213103.8,-375000,-375000,-142047.3,-179314.2,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.116 20/01/2026]',-117411.7,-170633.4,-164676,-213148.1,-375000,-375000,-142060.8,-179337.1,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.120 20/01/2026]',-117376.6,-170602.5,-164639.6,-213198.6,-375000,-375000,-142057.5,-179341.2,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.124 20/01/2026]',-117383.1,-170609.8,-164651.9,-213171.6,-375000,-375000,-142052.1,-179330.1,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.128 20/01/2026]',-117403.3,-170633.5,-164678.5,-213111.2,-375000,-375000,-142050.3,-179319.1,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.132 20/01/2026]',-117376,-170625.3,-164658.8,-213127.5,-375000,-375000,-142056.9,-179325,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.136 20/01/2026]',-117365.1,-170587.6,-164629.5,-213191.6,-375000,-375000,-142055.6,-179332.4,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.140 20/01/2026]',-117356.8,-170590.8,-164638.9,-213187,-375000,-375000,-142050,-179329.2,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.144 20/01/2026]',-117368.4,-170625.8,-164661.3,-213109.3,-375000,-375000,-142038.6,-179306.2,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.148 20/01/2026]',-117411.4,-170634.9,-164669.5,-213120.3,-375000,-375000,-142049.4,-179321.3,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.152 20/01/2026]',-117406.2,-170602.3,-164648.1,-213198.6,-375000,-375000,-142063.6,-179346.8,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.156 20/01/2026]',-117393.8,-170601.7,-164642.5,-213206,-375000,-375000,-142054.8,-179340.4,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.160 20/01/2026]',-117406.1,-170645.7,-164665.7,-213130.6,-375000,-375000,-142058.3,-179329.5,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.164 20/01/2026]',-117414.6,-170665.9,-164671.2,-213115.9,-375000,-375000,-142066.2,-179333.9,0.03,0.00,0.88,-4,0,-2,59,0
'[12:09:00.168 20/01/2026]',-117377.4,-170632.5,-164643.4,-213170.4,-375000,-375000,-142047.4,-179324.5,0.03,0.00,0.88,-4,0,-2,59,0
