'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:06:52.881 21/01/2026]',0.82,0.97,0.41,0.36,0.00,0.00,0.19,0.17,5.96,7.61,3.45,3.43,0.00,0.00,1.31,1.45,5.25,6.72,2.91,2.82,0.00,0.00,1.69,1.45,1.61,2.23,1.22,1.34,0.00,0.00,0.99,1.17,0.09,0.10,0.07,0.06,0.00,0.00,0.05,0.05,0
'[12:06:52.919 21/01/2026]',0.83,0.98,0.43,0.37,0.00,0.00,0.19,0.18,5.91,7.53,3.46,3.43,0.00,0.00,1.30,1.43,5.31,6.89,2.89,2.80,0.00,0.00,1.69,1.45,1.65,2.30,1.23,1.34,0.00,0.00,0.98,1.17,0.09,0.11,0.07,0.07,0.00,0.00,0.04,0.05,0
'[12:06:52.923 21/01/2026]',0.80,1.00,0.43,0.39,0.00,0.00,0.18,0.18,5.84,7.45,3.44,3.42,0.00,0.00,1.29,1.42,5.36,7.03,2.86,2.76,0.00,0.00,1.67,1.45,1.73,2.37,1.25,1.33,0.00,0.00,0.96,1.16,0.09,0.11,0.07,0.07,0.00,0.00,0.04,0.05,0
'[12:06:52.944 21/01/2026]',0.79,0.97,0.42,0.38,0.00,0.00,0.18,0.19,5.77,7.32,3.42,3.39,0.00,0.00,1.26,1.42,5.43,7.13,2.83,2.70,0.00,0.00,1.64,1.44,1.79,2.40,1.28,1.34,0.00,0.00,0.96,1.16,0.09,0.10,0.07,0.07,0.00,0.00,0.05,0.05,0
'[12:06:52.961 21/01/2026]',0.78,0.94,0.41,0.37,0.00,0.00,0.17,0.18,5.71,7.19,3.39,3.36,0.00,0.00,1.24,1.42,5.49,7.23,2.81,2.64,0.00,0.00,1.61,1.42,1.85,2.42,1.31,1.35,0.00,0.00,0.95,1.16,0.08,0.10,0.07,0.07,0.00,0.00,0.05,0.05,0
'[12:06:52.978 21/01/2026]',0.78,0.93,0.40,0.36,0.00,0.00,0.16,0.18,5.65,7.06,3.36,3.33,0.00,0.00,1.22,1.41,5.54,7.32,2.79,2.59,0.00,0.00,1.57,1.40,1.90,2.43,1.34,1.37,0.00,0.00,0.96,1.17,0.08,0.10,0.07,0.06,0.00,0.00,0.04,0.05,0
'[12:06:52.994 21/01/2026]',0.80,0.91,0.41,0.36,0.00,0.00,0.16,0.16,5.55,6.94,3.32,3.29,0.00,0.00,1.21,1.42,5.56,7.41,2.76,2.53,0.00,0.00,1.53,1.39,1.98,2.44,1.37,1.38,0.00,0.00,0.97,1.17,0.09,0.09,0.07,0.06,0.00,0.00,0.05,0.05,0
'[12:06:53.011 21/01/2026]',0.85,0.94,0.43,0.37,0.00,0.00,0.15,0.17,5.46,6.79,3.28,3.25,0.00,0.00,1.19,1.42,5.56,7.46,2.71,2.49,0.00,0.00,1.49,1.37,2.04,2.46,1.41,1.39,0.00,0.00,0.99,1.18,0.09,0.10,0.07,0.06,0.00,0.00,0.05,0.05,0
