'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[20:17:00.000 20/01/2026]',1.01107,4.790956,-0.2953246,0.7285452,4.610755E-10,4.610755E-10,-5.603595,-5.044289
'[20:17:00.004 20/01/2026]',1.01107,4.790956,-0.2953246,0.7285452,4.610755E-10,4.610755E-10,-5.603595,-5.044289
'[20:17:00.012 20/01/2026]',1.01107,4.790956,-0.2953246,0.7285452,4.610755E-10,4.610755E-10,-5.603595,-5.044289
'[20:17:00.020 20/01/2026]',1.01107,4.790956,-0.2953246,0.7285452,4.610755E-10,4.610755E-10,-5.603595,-5.044289
'[20:17:00.028 20/01/2026]',1.01107,4.790956,-0.2953246,0.7285452,4.610755E-10,4.610755E-10,-5.603595,-5.044289
'[20:17:00.036 20/01/2026]',-12.1628,-24.22694,-1.693919,-4.383626,4.610755E-10,4.610755E-10,5.138857,-0.4236452
'[20:17:00.044 20/01/2026]',10.49331,17.20697,5.345249,5.393163,4.610755E-10,4.610755E-10,3.795493,4.558581
'[20:17:00.052 20/01/2026]',10.49331,17.20697,5.345249,5.393163,4.610755E-10,4.610755E-10,3.795493,4.558581
'[20:17:00.060 20/01/2026]',9.080002,13.81814,-2.953661,1.639779,4.610755E-10,4.610755E-10,-0.1612868,-0.5900183
'[20:17:00.068 20/01/2026]',-12.34011,-14.44181,0.6171073,-1.069456,4.610755E-10,4.610755E-10,-7.33033,0.04508828
'[20:17:00.076 20/01/2026]',-12.34011,-14.44181,0.6171073,-1.069456,4.610755E-10,4.610755E-10,-7.33033,0.04508828
'[20:17:00.084 20/01/2026]',-12.34011,-14.44181,0.6171073,-1.069456,4.610755E-10,4.610755E-10,-7.33033,0.04508828
'[20:17:00.092 20/01/2026]',-1.982819,-5.109895,-2.599472,-5.43763,4.610755E-10,4.610755E-10,4.498761,-3.546492
'[20:17:00.100 20/01/2026]',-1.982819,-5.109895,-2.599472,-5.43763,4.610755E-10,4.610755E-10,4.498761,-3.546492
'[20:17:00.108 20/01/2026]',6.515406,9.955126,5.322012,6.803823,4.610755E-10,4.610755E-10,-0.38813,5.135252
'[20:17:00.116 20/01/2026]',6.515406,9.955126,5.322012,6.803823,4.610755E-10,4.610755E-10,-0.38813,5.135252
'[20:17:00.124 20/01/2026]',2.747526,1.772462,-0.5590168,-0.5345487,4.610755E-10,4.610755E-10,4.950241,-0.3129413
'[20:17:00.132 20/01/2026]',-7.466534,-8.217847,-4.783208,-4.181839,4.610755E-10,4.610755E-10,-8.93195,-3.170377
'[20:17:00.140 20/01/2026]',-7.466534,-8.217847,-4.783208,-4.181839,4.610755E-10,4.610755E-10,-8.93195,-3.170377
'[20:17:00.148 20/01/2026]',-7.466534,-8.217847,-4.783208,-4.181839,4.610755E-10,4.610755E-10,-8.93195,-3.170377
'[20:17:00.156 20/01/2026]',2.655986,5.822506,6.080074,4.416956,4.610755E-10,4.610755E-10,7.568373,5.806718
'[20:17:00.164 20/01/2026]',2.655986,5.822506,6.080074,4.416956,4.610755E-10,4.610755E-10,7.568373,5.806718
'[20:17:00.172 20/01/2026]',0.9179673,-0.1632918,-1.069206,-1.406808,4.610755E-10,4.610755E-10,-8.51112,-5.435035
'[20:17:00.180 20/01/2026]',0.9179673,-0.1632918,-1.069206,-1.406808,4.610755E-10,4.610755E-10,-8.51112,-5.435035
'[20:17:00.188 20/01/2026]',-3.457211,-5.389646,-3.449317,-4.035539,4.610755E-10,4.610755E-10,2.830572,0.6073513
'[20:17:00.196 20/01/2026]',-3.457211,-5.389646,-3.449317,-4.035539,4.610755E-10,4.610755E-10,2.830572,0.6073513
'[20:17:00.204 20/01/2026]',0.2061571,4.552536,2.75737,4.558166,4.610755E-10,4.610755E-10,8.243491,3.345351
'[20:17:00.212 20/01/2026]',6.240469,4.876429,8.986769,1.664376,4.610755E-10,4.610755E-10,-9.010438,-1.193915
'[20:17:00.220 20/01/2026]',-8.030288,-9.304111,-15.97985,-6.408487,4.610755E-10,4.610755E-10,-3.578399,-5.695396
'[20:17:00.228 20/01/2026]',6.236998,20.17763,12.42136,13.29412,4.610755E-10,4.610755E-10,21.22464,12.38232
'[20:17:00.236 20/01/2026]',1.331071,-12.58676,7.359359,-9.255451,4.610755E-10,4.610755E-10,-15.04664,-8.777528
'[20:17:00.244 20/01/2026]',-6.740791,-14.03387,-17.05857,-3.592766,4.610755E-10,4.610755E-10,-7.424591,-4.842729
'[20:17:00.252 20/01/2026]',-6.740791,-14.03387,-17.05857,-3.592766,4.610755E-10,4.610755E-10,-7.424591,-4.842729
'[20:17:00.260 20/01/2026]',2.071591,15.74909,-0.0817795,5.915775,4.610755E-10,4.610755E-10,12.85007,7.652518
'[20:17:00.268 20/01/2026]',2.003226,-2.566327,7.929379,-1.008484,4.610755E-10,4.610755E-10,2.760016,-0.5478898
'[20:17:00.276 20/01/2026]',-0.623915,-2.844175,-1.466543,-1.417891,4.610755E-10,4.610755E-10,-7.755311,-1.084303
'[20:17:00.284 20/01/2026]',-0.623915,-2.844175,-1.466543,-1.417891,4.610755E-10,4.610755E-10,-7.755311,-1.084303
'[20:17:00.292 20/01/2026]',-4.387792,-2.290325,-4.155717,-0.0599458,4.610755E-10,4.610755E-10,1.91644,-4.123567
'[20:17:00.300 20/01/2026]',1.328574,1.811792,0.1818182,0.2055812,4.610755E-10,4.610755E-10,1.650777,4.287954
'[20:17:00.308 20/01/2026]',3.324321,3.019747,2.64121,0.6370083,4.610755E-10,4.610755E-10,4.078967,-0.7301034
'[20:17:00.316 20/01/2026]',-0.6014328,-1.191489,-0.05432242,-0.942927,4.610755E-10,4.610755E-10,-9.615515,0.3727029
'[20:17:00.324 20/01/2026]',-4.021637,-3.139559,-1.180681,0.8019946,4.610755E-10,4.610755E-10,5.937382,-2.387117
'[20:17:00.332 20/01/2026]',7.588922,4.566214,3.095301,2.80063,4.610755E-10,4.610755E-10,5.5065,3.879297
'[20:17:00.340 20/01/2026]',-1.225066,0.7780629,-1.083828,-1.363097,4.610755E-10,4.610755E-10,-9.662532,-0.6727774
'[20:17:00.348 20/01/2026]',-3.742684,-0.3990257,-1.379518,0.3894733,4.610755E-10,4.610755E-10,2.215502,-0.849724
'[20:17:00.356 20/01/2026]',4.379685,-3.531332,1.515762,-2.233896,4.610755E-10,4.610755E-10,1.139825,0.6728618
'[20:17:00.364 20/01/2026]',-0.1604355,1.759389,-0.6961278,2.515537,4.610755E-10,4.610755E-10,3.123827,1.053291
'[20:17:00.372 20/01/2026]',-0.1604355,1.759389,-0.6961278,2.515537,4.610755E-10,4.610755E-10,3.123827,1.053291
'[20:17:00.380 20/01/2026]',-7.032314,-1.188656,-1.333465,-2.211266,4.610755E-10,4.610755E-10,-1.56365,-1.742689
'[20:17:00.388 20/01/2026]',-7.032314,-1.188656,-1.333465,-2.211266,4.610755E-10,4.610755E-10,-1.56365,-1.742689
'[20:17:00.396 20/01/2026]',6.531606,4.331489,3.414431,1.991145,4.610755E-10,4.610755E-10,-1.30913,0.6627081
'[20:17:00.404 20/01/2026]',-9.236904,-14.28876,-6.74952,-5.465463,4.610755E-10,4.610755E-10,1.57223,-6.931803
'[20:17:00.412 20/01/2026]',6.05431,-0.2960654,5.275305,5.224054,4.610755E-10,4.610755E-10,4.519473,10.02491
'[20:17:00.420 20/01/2026]',7.097207,27.44786,-1.033809,-1.506608,4.610755E-10,4.610755E-10,-11.62346,-5.188656
'[20:17:00.428 20/01/2026]',-6.355171,-18.2531,0.7682145,2.300606,4.610755E-10,4.610755E-10,11.76712,1.20454
'[20:17:00.436 20/01/2026]',-0.7010731,-0.6202309,-1.027958,-0.7496374,4.610755E-10,4.610755E-10,2.117176,0.73729
'[20:17:00.444 20/01/2026]',0.9898421,3.888751,-2.85409,-3.180973,4.610755E-10,4.610755E-10,-4.331985,-2.8286
'[20:17:00.452 20/01/2026]',3.733573,-0.8803476,5.883985,2.583372,4.610755E-10,4.610755E-10,-2.19557,2.883248
'[20:17:00.460 20/01/2026]',3.733573,-0.8803476,5.883985,2.583372,4.610755E-10,4.610755E-10,-2.19557,2.883248
'[20:17:00.468 20/01/2026]',3.733573,-0.8803476,5.883985,2.583372,4.610755E-10,4.610755E-10,-2.19557,2.883248
'[20:17:00.476 20/01/2026]',-3.722598,1.597957,-2.516379,0.6050699,4.610755E-10,4.610755E-10,1.949073,-3.202767
'[20:17:00.484 20/01/2026]',-3.722598,1.597957,-2.516379,0.6050699,4.610755E-10,4.610755E-10,1.949073,-3.202767
'[20:17:00.492 20/01/2026]',-3.722598,1.597957,-2.516379,0.6050699,4.610755E-10,4.610755E-10,1.949073,-3.202767
'[20:17:00.500 20/01/2026]',1.414864,-1.577275,-2.850229,-2.374336,4.610755E-10,4.610755E-10,0.1986492,1.91841
'[20:17:00.508 20/01/2026]',1.414864,-1.577275,-2.850229,-2.374336,4.610755E-10,4.610755E-10,0.1986492,1.91841
'[20:17:00.516 20/01/2026]',1.414864,-1.577275,-2.850229,-2.374336,4.610755E-10,4.610755E-10,0.1986492,1.91841
'[20:17:00.524 20/01/2026]',1.658196,-0.7251468,4.119743,1.739937,4.610755E-10,4.610755E-10,1.475609,0.7670494
'[20:17:00.532 20/01/2026]',-4.467436,-0.0003369991,-3.383587,-2.656132,4.610755E-10,4.610755E-10,-2.95696,-4.172711
'[20:17:00.540 20/01/2026]',3.709462,4.471748,4.396478,4.41058,4.610755E-10,4.610755E-10,7.665696,6.317081
'[20:17:00.548 20/01/2026]',3.709462,4.471748,4.396478,4.41058,4.610755E-10,4.610755E-10,7.665696,6.317081
'[20:17:00.556 20/01/2026]',3.709462,4.471748,4.396478,4.41058,4.610755E-10,4.610755E-10,7.665696,6.317081
'[20:17:00.564 20/01/2026]',-2.452145,-6.550215,-4.779529,-3.13522,4.610755E-10,4.610755E-10,-1.888924,-3.170807
'[20:17:00.572 20/01/2026]',-2.452145,-6.550215,-4.779529,-3.13522,4.610755E-10,4.610755E-10,-1.888924,-3.170807
'[20:17:00.580 20/01/2026]',1.951623,3.978097,2.573256,2.982219,4.610755E-10,4.610755E-10,-5.866432,0.6665095
'[20:17:00.588 20/01/2026]',-3.19717,-3.441287,-3.662038,-10.11026,4.610755E-10,4.610755E-10,-11.21548,-7.59307
'[20:17:00.596 20/01/2026]',-3.19717,-3.441287,-3.662038,-10.11026,4.610755E-10,4.610755E-10,-11.21548,-7.59307
'[20:17:00.604 20/01/2026]',-3.19717,-3.441287,-3.662038,-10.11026,4.610755E-10,4.610755E-10,-11.21548,-7.59307
'[20:17:00.612 20/01/2026]',0.3526944,2.108283,5.530246,9.57054,4.610755E-10,4.610755E-10,24.29377,8.815085
'[20:17:00.620 20/01/2026]',0.3526944,2.108283,5.530246,9.57054,4.610755E-10,4.610755E-10,24.29377,8.815085
'[20:17:00.628 20/01/2026]',0.3526944,2.108283,5.530246,9.57054,4.610755E-10,4.610755E-10,24.29377,8.815085
'[20:17:00.636 20/01/2026]',2.632741,1.061231,0.3473613,2.454965,4.610755E-10,4.610755E-10,-4.719803,1.983483
