'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[14:14:00.000 20/01/2026]',-109989.6,-161365.5,-90374.49,-103590.9,-375000,-375000,-193752.7,-122788.1,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.004 20/01/2026]',-110471.8,-161888.8,-90910.58,-103864.1,-375000,-375000,-192170.8,-123273.7,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.008 20/01/2026]',-110463.9,-161819.9,-90837.13,-104157.4,-375000,-375000,-193311.1,-123243.3,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.012 20/01/2026]',-109960.8,-161271.7,-90313.61,-103834.8,-375000,-375000,-194867.7,-122724.6,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.016 20/01/2026]',-109947.6,-161307.6,-90344.14,-103593.3,-375000,-375000,-194030.8,-122758,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.020 20/01/2026]',-110386.5,-161791.6,-90802.93,-103774.9,-375000,-375000,-192308.6,-123216.4,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.024 20/01/2026]',-110525.7,-161885,-90881.84,-104121,-375000,-375000,-192936,-123316.4,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.028 20/01/2026]',-110033.3,-161336.7,-90399.21,-103913.9,-375000,-375000,-194806.4,-122825.6,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.032 20/01/2026]',-109893.3,-161243.2,-90294.25,-103585,-375000,-375000,-194302.9,-122633.2,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.036 20/01/2026]',-109989.6,-161365.5,-90374.49,-103590.9,-375000,-375000,-193752.7,-122788.1,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.040 20/01/2026]',-110471.8,-161888.8,-90910.58,-103864.1,-375000,-375000,-192170.8,-123273.7,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.044 20/01/2026]',-110463.9,-161819.9,-90837.13,-104157.4,-375000,-375000,-193311.1,-123243.3,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.048 20/01/2026]',-109960.8,-161271.7,-90313.61,-103834.8,-375000,-375000,-194867.7,-122724.6,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.052 20/01/2026]',-109947.6,-161307.6,-90344.14,-103593.3,-375000,-375000,-194030.8,-122758,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.056 20/01/2026]',-110386.5,-161791.6,-90802.93,-103774.9,-375000,-375000,-192308.6,-123216.4,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.060 20/01/2026]',-110525.7,-161885,-90881.84,-104121,-375000,-375000,-192936,-123316.4,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.064 20/01/2026]',-110033.3,-161336.7,-90399.21,-103913.9,-375000,-375000,-194806.4,-122825.6,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.068 20/01/2026]',-109893.3,-161243.2,-90294.25,-103585,-375000,-375000,-194302.9,-122633.2,0.05,0.00,0.89,-4,0,-2,40,0
'[14:14:00.072 20/01/2026]',-110308.9,-161705.6,-90739.45,-103710,-375000,-375000,-192500.4,-123077.5,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.076 20/01/2026]',-110554.5,-161905.5,-90952.91,-104090,-375000,-375000,-192593.6,-123348.8,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.080 20/01/2026]',-110056.2,-161343.6,-90447.36,-103946.9,-375000,-375000,-194568.4,-122871.4,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.084 20/01/2026]',-109842.4,-161158.8,-90264.84,-103606.5,-375000,-375000,-194503.9,-122627.4,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.088 20/01/2026]',-110226.5,-161622.9,-90672.27,-103673.7,-375000,-375000,-192796.6,-123000,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.092 20/01/2026]',-110607.9,-162027.3,-91020.05,-104085,-375000,-375000,-192389.1,-123414.5,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.096 20/01/2026]',-110241.5,-161610.8,-90580.58,-104070,-375000,-375000,-194328.6,-123034,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.100 20/01/2026]',-109936.5,-161335.7,-90295.45,-103715.9,-375000,-375000,-194690.1,-122742.2,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.104 20/01/2026]',-110199.9,-161656.4,-90591.35,-103674.4,-375000,-375000,-193094.8,-122916.4,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.108 20/01/2026]',-110638.5,-162139.9,-91016.39,-104050,-375000,-375000,-192258.3,-123329.5,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.112 20/01/2026]',-110387.1,-161858.2,-90684.87,-104155.7,-375000,-375000,-194033.8,-123096.2,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.116 20/01/2026]',-110013.5,-161494.5,-90310.79,-103801,-375000,-375000,-194806.7,-122709.9,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.120 20/01/2026]',-110196.2,-161737.9,-90530.38,-103696.2,-375000,-375000,-193424.6,-122892.1,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.124 20/01/2026]',-110666.1,-162272.8,-91001.81,-104030,-375000,-375000,-192191.3,-123383.6,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.128 20/01/2026]',-110564.6,-162134.1,-90829.8,-104266.5,-375000,-375000,-193727.4,-123273.7,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.132 20/01/2026]',-110103.2,-161666.5,-90352.63,-103910.4,-375000,-375000,-194865,-122774.8,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.136 20/01/2026]',-110198.5,-161827.6,-90467.52,-103735.7,-375000,-375000,-193749.5,-122882.1,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.140 20/01/2026]',-110669.3,-162366.3,-90962.74,-104001.9,-375000,-375000,-192217.2,-123294.3,0.02,0.00,0.88,-4,0,-2,40,0
'[14:14:00.144 20/01/2026]',-110695.5,-162362.7,-90926.85,-104318.9,-375000,-375000,-193339.4,-123349,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.148 20/01/2026]',-110210.6,-161872.2,-90425.59,-104031.4,-375000,-375000,-194866.3,-122851.6,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.152 20/01/2026]',-110194.8,-161919.3,-90446.87,-103806.5,-375000,-375000,-194103.3,-122881.3,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.156 20/01/2026]',-110653.7,-162444.1,-90948.66,-104019.3,-375000,-375000,-192455.8,-123345.5,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.160 20/01/2026]',-110780.9,-162564.3,-91035.08,-104371.8,-375000,-375000,-193062.8,-123468.1,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.164 20/01/2026]',-110278.7,-162034.2,-90512.89,-104148.8,-375000,-375000,-194819.7,-122968.5,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.168 20/01/2026]',-110126.2,-161925.3,-90397.56,-103814.6,-375000,-375000,-194293.5,-122774.8,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.172 20/01/2026]',-110529.9,-162404.2,-90845,-103961.9,-375000,-375000,-192642.4,-123279,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.176 20/01/2026]',-110797,-162668.7,-91081.66,-104360.9,-375000,-375000,-192776.7,-123554.1,0.03,0.00,0.89,-4,0,-2,40,0
'[14:14:00.180 20/01/2026]',-110321.6,-162156.4,-90564.3,-104227,-375000,-375000,-194673.8,-123057.6,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.184 20/01/2026]',-110065.4,-161939.1,-90350.48,-103869.8,-375000,-375000,-194629.1,-122839.6,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.188 20/01/2026]',-110384.6,-162317.1,-90721.44,-103905.7,-375000,-375000,-192948.6,-123230.2,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.192 20/01/2026]',-110742.3,-162677.7,-91082.41,-104304.8,-375000,-375000,-192530.5,-123636.7,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.196 20/01/2026]',-110344.1,-162209.6,-90649.46,-104278.1,-375000,-375000,-194418.2,-123166.6,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.200 20/01/2026]',-109995.8,-161880.9,-90332.74,-103899.5,-375000,-375000,-194759.5,-122833.1,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.204 20/01/2026]',-110229.9,-162167.9,-90629.03,-103843.6,-375000,-375000,-193196.5,-123072.5,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.208 20/01/2026]',-110655.1,-162609.7,-91051.35,-104204.8,-375000,-375000,-192318.1,-123523.2,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.212 20/01/2026]',-110402.3,-162296.1,-90750.85,-104338.3,-375000,-375000,-194135.5,-123317,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.216 20/01/2026]',-109980.2,-161860.4,-90340.02,-103951.7,-375000,-375000,-194944.5,-122890.7,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.220 20/01/2026]',-110110.1,-162032.4,-90516.47,-103784.9,-375000,-375000,-193532.6,-122952.1,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.224 20/01/2026]',-110589.1,-162533.3,-91018.09,-104119.3,-375000,-375000,-192307.2,-123491.5,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.228 20/01/2026]',-110454,-162326.5,-90823.67,-104331,-375000,-375000,-193783.5,-123357.4,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.232 20/01/2026]',-109999.6,-161837.3,-90367.52,-103994.3,-375000,-375000,-194983,-122878.6,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.236 20/01/2026]',-110062.7,-161956.4,-90482.98,-103804.5,-375000,-375000,-193894,-122965.2,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.240 20/01/2026]',-110514,-162459.7,-90959.66,-104053.7,-375000,-375000,-192382.9,-123441.1,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.244 20/01/2026]',-110531.9,-162421.8,-90922.6,-104362.5,-375000,-375000,-193486.6,-123489.9,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.248 20/01/2026]',-110028.3,-161869.6,-90396.66,-104047,-375000,-375000,-194968.9,-122927.3,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.252 20/01/2026]',-109982.9,-161858,-90408.73,-103790.7,-375000,-375000,-194190.3,-122879.4,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.256 20/01/2026]',-110439.8,-162361.5,-90900.16,-103998.5,-375000,-375000,-192601.9,-123402.1,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.260 20/01/2026]',-110585,-162469.7,-90985.99,-104348,-375000,-375000,-193177.8,-123569.7,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.264 20/01/2026]',-110093.7,-161918.3,-90480.13,-104122.9,-375000,-375000,-194943.7,-123005.4,0.03,0.00,0.88,-4,0,-2,40,0
'[14:14:00.268 20/01/2026]',-109942.5,-161808.8,-90320.31,-103810.1,-375000,-375000,-194489.9,-122869.6,0.03,0.00,0.88,-4,0,-2,40,0
