'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:17:57.805 21/01/2026]',1.07,1.17,0.40,0.42,0.00,0.00,0.14,2.22,4.63,4.61,1.50,2.43,0.00,0.00,0.51,8.96,4.03,4.01,2.10,2.60,0.00,0.00,1.06,29.01,2.15,1.89,1.39,1.80,0.00,0.00,0.87,19.15,0.12,0.12,0.06,0.07,0.00,0.00,0.06,0.73,0
'[13:17:57.848 21/01/2026]',1.04,1.14,0.39,0.40,0.00,0.00,0.14,2.24,4.61,4.59,1.48,2.37,0.00,0.00,0.50,9.27,3.97,3.92,2.03,2.47,0.00,0.00,1.03,28.73,2.14,1.88,1.39,1.77,0.00,0.00,0.89,18.91,0.12,0.11,0.06,0.07,0.00,0.00,0.06,0.74,0
'[13:17:57.889 21/01/2026]',1.03,1.11,0.40,0.39,0.00,0.00,0.15,2.27,4.56,4.58,1.44,2.31,0.00,0.00,0.50,9.46,3.93,3.85,1.98,2.33,0.00,0.00,0.98,28.36,2.11,1.87,1.38,1.74,0.00,0.00,0.91,18.61,0.11,0.11,0.06,0.07,0.00,0.00,0.06,0.73,0
'[13:17:57.931 21/01/2026]',1.02,1.11,0.40,0.40,0.00,0.00,0.14,2.42,4.51,4.55,1.38,2.23,0.00,0.00,0.50,9.72,3.90,3.80,1.92,2.20,0.00,0.00,0.93,27.96,2.08,1.83,1.35,1.70,0.00,0.00,0.92,18.45,0.11,0.10,0.06,0.06,0.00,0.00,0.06,0.72,0
'[13:17:57.973 21/01/2026]',1.01,1.10,0.40,0.40,0.00,0.00,0.14,2.44,4.44,4.50,1.32,2.15,0.00,0.00,0.49,9.90,3.88,3.76,1.86,2.06,0.00,0.00,0.87,27.43,2.04,1.79,1.31,1.65,0.00,0.00,0.93,18.44,0.10,0.10,0.06,0.07,0.00,0.00,0.06,0.78,0
'[13:17:58.014 21/01/2026]',1.01,1.10,0.40,0.40,0.00,0.00,0.14,2.47,4.39,4.44,1.27,2.06,0.00,0.00,0.49,10.15,3.85,3.72,1.80,1.94,0.00,0.00,0.84,26.88,2.00,1.74,1.27,1.59,0.00,0.00,0.93,18.42,0.09,0.10,0.05,0.06,0.00,0.00,0.06,0.80,0
'[13:17:58.056 21/01/2026]',1.00,1.09,0.39,0.40,0.00,0.00,0.14,2.38,4.34,4.40,1.22,1.98,0.00,0.00,0.49,10.28,3.83,3.69,1.74,1.82,0.00,0.00,0.84,26.11,1.96,1.69,1.22,1.53,0.00,0.00,0.94,18.35,0.09,0.09,0.05,0.06,0.00,0.00,0.06,0.80,0
'[13:17:58.105 21/01/2026]',0.98,1.08,0.39,0.39,0.00,0.00,0.14,2.32,4.30,4.36,1.18,1.90,0.00,0.00,0.49,10.35,3.81,3.65,1.70,1.71,0.00,0.00,0.84,25.31,1.92,1.64,1.17,1.47,0.00,0.00,0.95,18.20,0.09,0.09,0.05,0.06,0.00,0.00,0.06,0.78,0
