'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:15:24.658 21/01/2026]',1.87,1.95,0.80,0.69,0.00,0.00,0.25,1.27,5.08,5.42,2.13,1.98,0.00,0.00,0.75,5.36,6.94,7.91,2.38,2.32,0.00,0.00,1.08,15.40,2.41,2.19,0.79,0.91,0.00,0.00,0.77,6.36,0.15,0.14,0.10,0.06,0.00,0.00,0.07,0.97,0
'[13:15:24.670 21/01/2026]',1.85,1.91,0.79,0.68,0.00,0.00,0.25,1.25,5.16,5.44,2.14,1.96,0.00,0.00,0.76,5.23,6.98,8.03,2.34,2.33,0.00,0.00,1.09,15.28,2.30,2.18,0.76,0.87,0.00,0.00,0.74,6.56,0.15,0.14,0.10,0.06,0.00,0.00,0.08,0.99,0
'[13:15:24.687 21/01/2026]',1.83,1.89,0.77,0.66,0.00,0.00,0.24,1.26,5.23,5.53,2.16,1.97,0.00,0.00,0.77,5.19,7.01,8.06,2.31,2.33,0.00,0.00,1.11,15.15,2.20,2.10,0.73,0.83,0.00,0.00,0.71,6.73,0.16,0.14,0.10,0.07,0.00,0.00,0.08,0.98,0
'[13:15:24.704 21/01/2026]',1.72,1.87,0.73,0.64,0.00,0.00,0.24,1.27,5.27,5.61,2.17,1.99,0.00,0.00,0.77,5.15,6.95,8.10,2.29,2.34,0.00,0.00,1.13,15.02,2.07,2.03,0.73,0.81,0.00,0.00,0.70,6.89,0.18,0.15,0.11,0.07,0.00,0.00,0.07,0.98,0
'[13:15:24.720 21/01/2026]',1.61,1.75,0.70,0.61,0.00,0.00,0.23,1.30,5.30,5.65,2.17,2.00,0.00,0.00,0.78,5.09,6.89,8.01,2.27,2.36,0.00,0.00,1.15,14.90,1.94,1.91,0.74,0.82,0.00,0.00,0.69,7.04,0.19,0.17,0.11,0.08,0.00,0.00,0.07,1.03,0
'[13:15:24.737 21/01/2026]',1.63,1.64,0.70,0.57,0.00,0.00,0.22,1.33,5.43,5.68,2.23,2.00,0.00,0.00,0.77,5.03,6.79,7.94,2.23,2.37,0.00,0.00,1.16,14.79,1.94,1.88,0.77,0.84,0.00,0.00,0.68,7.18,0.19,0.20,0.10,0.08,0.00,0.00,0.07,1.08,0
'[13:15:24.754 21/01/2026]',1.64,1.65,0.70,0.58,0.00,0.00,0.21,1.41,5.56,5.78,2.28,2.04,0.00,0.00,0.76,4.98,6.70,7.79,2.22,2.36,0.00,0.00,1.17,14.63,1.94,2.00,0.80,0.87,0.00,0.00,0.68,7.25,0.19,0.20,0.10,0.08,0.00,0.00,0.07,1.06,0
'[13:15:24.770 21/01/2026]',1.63,1.66,0.69,0.59,0.00,0.00,0.22,1.49,5.61,5.88,2.30,2.08,0.00,0.00,0.73,4.94,6.51,7.65,2.17,2.36,0.00,0.00,1.19,14.49,2.03,2.10,0.85,0.90,0.00,0.00,0.68,7.32,0.21,0.20,0.10,0.08,0.00,0.00,0.07,1.05,0
