timestamp,phase,label,ecological_modality,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
46871.3988943,idle,idle,,47415.91358010398,41072.093236775036,107514.22215917724,99708.17720329383,78815.43377862015,120096.39595047479,80231.0235805337,135853.64271537765
46871.3935674,idle,idle,,27847.833675667393,24133.970326074777,62965.93785898632,58398.576358551734,46022.81334118805,70197.03298110956,47013.070233569895,79211.06259187675
46871.413567400006,idle,idle,,17747.991715144635,15402.645606376656,39915.562692466796,37021.88808649843,29026.790453689566,44341.24697239166,29839.486730186607,49798.09611866252
46871.408222900005,idle,idle,,8078.173570075135,7030.758057629659,18065.956853831234,16755.633629938893,13112.362475810267,20011.824748029023,13531.045368050496,22363.401514384594
46871.42822290001,idle,idle,,-190.40006537088917,-156.2924160887841,-442.79235826489895,-422.5959948272942,-312.62577925699964,-508.8471512266976,-332.28847415521716,-610.1095871411203
46871.487552900006,idle,idle,,-6514.4777468031025,-5661.3256344307565,-14622.7897785303,-13574.046772484158,-10636.918585838233,-16237.111421335216,-10941.047996167938,-18225.998229682948
46871.50755290001,idle,idle,,-11045.14957675151,-9591.10106483152,-24899.110067293223,-23094.143453176417,-18204.710300729657,-27724.83978198641,-18611.751745326328,-31231.34128002646
46871.50062770001,idle,idle,,-14218.447778739552,-12324.459821704286,-32158.728871887673,-29824.168684147935,-23563.629952743224,-35882.55182562475,-24015.545065486116,-40530.121902910236
46871.52062770001,idle,idle,,-16394.145158155814,-14208.042537466094,-37099.76561997373,-34417.950675833796,-27162.105253334183,-41400.749350151586,-27706.627451911336,-46761.78580465004
46871.58804150001,idle,idle,,-17713.04425627138,-15361.887474595042,-40008.57419179646,-37102.91276295068,-29221.818309825212,-44560.43009157238,-29876.69044516263,-50242.48050625905
46871.575579000004,idle,idle,,-18126.671318558456,-15728.15714709729,-40861.22690868423,-37896.74552642421,-29819.939371268305,-45479.419358576786,-30532.664724097503,-51210.076387714165
46871.59557900001,idle,idle,,-17716.658342834267,-15373.060000074825,-39951.828300318455,-37058.29560522315,-29190.358061565672,-44491.18238542172,-29855.927794938638,-50117.58333964404
46871.5961478,idle,idle,,-16738.11006804408,-14515.775380682588,-37793.197262088885,-35058.10813928223,-27641.86622203916,-42129.6624519519,-28231.099272352807,-47501.04906679006
46871.61614780001,idle,idle,,-15403.573903818407,-13358.173534956717,-34793.03266679625,-32288.046154307303,-25454.33885383386,-38810.650759620374,-25999.295449856007,-43772.816978158386
46871.6831207,idle,idle,,-13800.134721338887,-11969.292397781739,-31170.399268661244,-28897.79218718785,-22758.226965405116,-34716.728190742484,-23268.608611979904,-39119.72882910029
46871.7031207,idle,idle,,-11938.340862293186,-10360.216508465783,-26924.208742149804,-24971.13387478655,-19647.282458727317,-29972.740179057695,-20117.77354850966,-33729.75740691647
46871.700374800006,idle,idle,,-9862.144488382824,-8561.40590666841,-22223.70246533705,-20621.848310717323,-16236.929408915434,-24755.952904370053,-16620.645909144132,-27857.422114975172
46871.72037480001,idle,idle,,-7689.818813966228,-6674.126222224113,-17370.429226105676,-16107.362705081994,-12700.40966806232,-19353.027478957854,-12981.71863555968,-21803.964982452817
46871.71806200001,idle,idle,,-5559.958069990151,-4819.83875312934,-12551.384372599481,-11646.012711900408,-9180.470994780779,-14003.78417735368,-9382.047045735691,-15789.210608002651
46871.7721327,idle,idle,,-3498.027413996772,-3034.7094258451766,-7897.413662192465,-7319.507200328081,-5763.431927495015,-8793.381952999525,-5902.142110596849,-9904.114144333027
46871.79213270001,idle,idle,,-1515.608540261552,-1317.7049648302939,-3388.3055344737813,-3150.0786512235436,-2469.546189125881,-3767.712830755588,-2550.9090817061456,-4215.336485803792
46871.7847333,idle,idle,,384.3756607413572,323.08081001681273,890.3774827393903,816.8350713237184,652.6379355893264,994.5990038722495,643.0341202181585,1151.8648431762906
46871.80473330001,idle,idle,,2127.6359878901044,1846.365312319323,4809.456776066184,4466.209200032103,3519.779206032834,5368.390902589534,3593.642438359777,6063.614389601138
46871.8740438,idle,idle,,3684.8850290623022,3199.0041166555507,8298.029097366989,7707.998522738176,6071.133441713612,9253.362276300355,6213.398779481841,10427.675936202919
46871.894043800006,idle,idle,,5029.7358868396,4362.8219918361765,11355.067308190206,10518.841979872039,8286.975922803891,12634.265365570089,8472.67096081077,14245.24045859665
46871.8877641,idle,idle,,6169.112380623619,5353.841447714942,13910.403691955473,12929.250415043223,10201.360609167628,15535.778933284268,10413.232257159847,17531.96414974307
46871.907764100004,idle,idle,,7116.5188394417155,6171.938784157619,16073.054327997355,14917.929326954058,11768.936860506148,17930.015162755357,12013.274187000246,20237.223425744163
46871.90130990001,idle,idle,,7875.93646417423,6822.557192902273,17773.704597505795,16485.75875654369,12999.79587979731,19811.628275820334,13283.209271793254,22347.32310640666
46871.963334500004,idle,idle,,8420.97025878609,7305.043993448684,19000.42868348096,17630.051711278076,13889.32666437951,21171.548605371892,14203.190860229282,23861.239177651125
46871.98333450001,idle,idle,,8748.573791257533,7589.826073886543,19759.89187134798,18324.879039242373,14437.73530880174,22009.004598181033,14759.12419815685,24814.197013869536
46871.9772231,idle,idle,,8891.147220934992,7713.4089634730035,20113.455582314724,18649.64824225384,14702.425216613325,22417.670674273762,15022.871298370988,25284.739493191533
46871.99722310001,idle,idle,,8890.743052087077,7709.486048954272,20112.167392303036,18647.480599820377,14695.848955414203,22409.236652375042,15011.346593846505,25282.01707499007
46871.9902135,idle,idle,,8736.382482015122,7574.066221540386,19761.440092667915,18315.49857284034,14433.98927579363,22009.823953215084,14746.42287478229,24827.794594301246
46872.010213500005,idle,idle,,8442.634924853139,7323.456730270592,19084.5197563801,17697.721626211795,13934.556101171436,21259.110995653347,14253.085569677774,23961.163818369354
46872.075657,idle,idle,,8044.028813613322,6980.84781055368,18155.313973562046,16835.473299320794,13254.514868726741,20216.31718631782,13562.902175429539,22775.78754161194
46872.095657000005,idle,idle,,7521.581885268621,6528.4264117147195,16978.619829192998,15739.642632230521,12402.863194562204,18906.37273878903,12682.847788683066,21308.461556004193
46872.085669600005,idle,idle,,6915.00987740816,5999.627737080399,15614.711676395227,14468.99820156058,11410.371268146606,17383.67044767075,11656.399477319512,19606.17175131718
46872.0832077,idle,idle,,6234.940685288165,5410.777152631635,14075.429919244509,13054.282465119415,10291.919806689093,15681.35000977138,10516.138337607155,17683.477130629584
46872.103207700005,idle,idle,,5521.195643967844,4792.517573827004,12440.59988176625,11548.777286483357,9087.928759680844,13861.31010225636,9300.745739780572,15607.029385827576
46872.1627948,idle,idle,,4764.224619899726,4136.724845712271,10729.00424756381,9955.999444851437,7830.099269194759,11946.74019134519,8021.267095206285,13443.736874318902
46872.18279480001,idle,idle,,3992.8920108169955,3467.316618505889,8980.531071574476,8330.790057728962,6564.9139430271,9994.843718432083,6715.465135101726,11250.669712867031
46872.180152,idle,idle,,3198.3728961782167,2772.8590690534534,7183.59073676234,6675.496841871516,5264.507935345153,8020.601004116504,5379.471307627937,9035.189705503923
46872.200152000005,idle,idle,,2425.0129635137528,2105.24268121353,5447.5438509434725,5057.638788757827,3988.9536475360783,6073.897541276762,4074.3592733185524,6845.9773171803
46872.201031000004,idle,idle,,1661.7019833199165,1446.3383191296082,3742.091226334274,3477.9862025692173,2729.307238925639,4168.177948893344,2803.1614767350084,4688.013655594857
46872.22103100001,idle,idle,,948.2970204677456,820.4182130451951,2115.6642386608232,1968.0077953098273,1541.3289030263024,2356.4868368357124,1589.8589827787202,2632.832423330836
