subject,phase,n_windows,mean_ratio,median_ratio,mean_logratio,mean_logratio_norm
1,baseline_eyes_closed,89,4.70868911652898,1.9731551599753605,0.6602761628242705,-1.5336736932192319
1,baseline_eyes_open,89,29.018324201414302,7.5940245971516545,2.1939498560435022,-1.2474416007024232e-16
1,high_cognitive_load,178,1.792701853599164,1.160549155332356,0.17288578511830127,-2.021064070925201
1,low_cognitive_load,179,5.270192451795795,1.8605349339753776,0.8095072511589422,-1.3844426048845602
2,baseline_eyes_closed,89,1.2330240797050638,0.7904486280939348,-0.16428911294223783,-1.0682893551821828
2,baseline_eyes_open,89,4.02979586373731,2.6319789559688007,0.904000242239945,9.7300444854789e-17
2,low_cognitive_load,179,5.009769287858062,1.2208026017047617,0.3242509941118889,-0.5797492481280561
3,baseline_eyes_closed,89,0.21968395419909234,0.11213487073487532,-2.075456762764572,-0.5075582800806201
3,baseline_eyes_open,88,0.3251291175420055,0.22441363836149206,-1.5678984826839517,7.065055611250996e-17
3,high_cognitive_load,179,0.3617414112490777,0.1716895480543736,-1.7300363707086166,-0.16213788802466464
3,low_cognitive_load,179,0.24742103970943377,0.15472615441581616,-1.867416415517172,-0.2995179328332202
4,baseline_eyes_closed,89,8.54677470742916,4.9780389343660145,1.5579779129259816,0.9159105681359533
4,baseline_eyes_open,88,3.653415958682828,1.9840812987976526,0.6420673447900284,2.5232341468753557e-17
4,high_cognitive_load,179,7.951095031492366,4.645413446804434,1.5205676669667305,0.8785003221767023
4,low_cognitive_load,179,12.06053345158584,7.661553380799132,1.9992685144383073,1.3572011696482789
clau2,baseline_eyes_closed,89,0.2373519843988593,0.16336362851939135,-1.7846353817825613,-0.9163632656143764
clau2,baseline_eyes_open,89,0.6726765861225507,0.4130926877439926,-0.8682721161681851,-5.114510562879935e-17
clau2,high_cognitive_load,179,0.5718675916292395,0.4101550306145903,-0.8637092627539932,0.004562853414191927
clau2,low_cognitive_load,179,0.683886537436516,0.429872120113526,-0.8354026145967316,0.03286950157145349
heberto,high_cognitive_load,179,0.22184062366353416,0.10161458849117536,-2.1806196739502943,
heberto,low_cognitive_load,179,0.1103553058598172,0.07108611153724025,-2.5903732279245855,
jonhy,baseline_eyes_closed,89,0.2193983351095522,0.1598330294347507,-1.9516267139861727,-1.2734481959436785
jonhy,baseline_eyes_open,89,0.8291137955670866,0.5014762855268288,-0.6781785180424943,9.979532805619384e-18
jonhy,high_cognitive_load,178,1.383370048736391,0.9655174346166253,-0.08042409979283945,0.5977544182496548
jonhy,low_cognitive_load,179,0.6424940814716938,0.35524872432366145,-0.9431786428331803,-0.26500012479068613
michelle,baseline_eyes_closed,89,0.03439057867036933,0.02111398507532466,-3.856216660970006,-2.976929710054677
michelle,baseline_eyes_open,89,0.6180902450076636,0.4425146139343212,-0.8792869509153293,-1.2100183526813504e-16
michelle,high_cognitive_load,179,0.47905435902711274,0.14190193348268357,-1.8125605774471747,-0.9332736265318456
michelle,low_cognitive_load,179,0.34728686132882336,0.18743094563140925,-1.733489117006298,-0.8542021660909689
