subject,phase,n_windows,mean_ratio,median_ratio,mean_logratio,mean_logratio_norm
1,baseline_eyes_closed,89,0.9828926907430483,0.6911336342968958,-0.3648234541521095,-1.4090590540706651
1,baseline_eyes_open,89,4.22421679685218,3.1129391166103573,1.0442355999185557,1.0727997766040839e-16
1,high_cognitive_load,178,1.4447362515422875,1.305462360063944,0.25129491649623314,-0.7929406834223225
1,low_cognitive_load,179,1.7794404426969899,1.440542693286487,0.34306247830270725,-0.7011731216158485
2,baseline_eyes_closed,89,1.306882460214306,0.9929708807152015,0.076124697883555,-1.027255577346888
2,baseline_eyes_open,89,3.920878190558795,2.7959857370013936,1.1033802752304431,-1.5218787528569562e-16
2,low_cognitive_load,179,3.3617859511981267,2.4190437434322942,0.9570933464235,-0.14628692880694316
3,baseline_eyes_closed,89,0.8241926106677976,0.4642481741458941,-0.679867343915188,-0.9701998330056968
3,baseline_eyes_open,88,2.2109907070119488,1.2862936192219026,0.2903324890905089,2.901719268906659e-17
3,high_cognitive_load,179,1.9953638427887688,1.3239996482130088,0.36021602280127213,0.06988353371076325
3,low_cognitive_load,179,1.1817372993313235,0.950781112267714,-0.07497992522194898,-0.3653124143124579
4,baseline_eyes_closed,89,5.284594125669466,3.7839897403057,1.2656938326014442,0.34046585633782966
4,baseline_eyes_open,88,3.947405654769182,2.5098082343999755,0.9252279762636146,-1.766263902812749e-17
4,high_cognitive_load,179,4.9067015588043095,3.379371088584527,1.2133540429631189,0.28812606669950425
4,low_cognitive_load,179,6.2562072489918314,4.291887163760164,1.482099526144594,0.5568715498809794
clau2,baseline_eyes_closed,89,0.26406794455533167,0.22150646860219328,-1.530162631531426,-0.8913207635108342
clau2,baseline_eyes_open,89,0.7562654407213638,0.5559832099555592,-0.638841868020592,3.742324802107269e-18
clau2,high_cognitive_load,179,0.6316213586248102,0.5126702406227518,-0.6327966715710174,0.006045196449574532
clau2,low_cognitive_load,179,0.6636579868404865,0.46045811987733576,-0.7253923766377243,-0.08655050861713236
heberto,baseline_eyes_closed,89,2.1450979545359794,0.6558097705933231,-0.33117711230579255,-0.27092050608087087
heberto,baseline_eyes_open,89,2.2924731403866785,0.9076324703429651,-0.060256606224921724,-2.494883201404846e-17
heberto,high_cognitive_load,179,0.7417455884711537,0.5805387744144166,-0.5527557533756466,-0.49249914715072496
heberto,low_cognitive_load,179,0.8315809518331535,0.5737402804310688,-0.5288554120165284,-0.46859880579160673
jonhy,baseline_eyes_closed,89,0.5353583768622151,0.42293505802324877,-0.8652768051088384,-1.0927186002742952
jonhy,baseline_eyes_open,89,1.5179700190348278,1.2093043973968405,0.22744179516545687,2.432511121369725e-17
jonhy,high_cognitive_load,178,3.9709887492628644,2.1123749151018103,0.7593349086194201,0.5318931134539633
jonhy,low_cognitive_load,179,1.4659640589691731,1.146029012795582,0.13910329131494184,-0.088338503850515
michelle,baseline_eyes_closed,89,0.025227618520188087,0.017056890017171093,-4.002485127487923,-2.909101867398492
michelle,baseline_eyes_open,89,0.4443719999978839,0.3118007838648005,-1.0933832600894318,1.0478509445900354e-16
michelle,high_cognitive_load,179,0.2618496746376907,0.15496068138849933,-1.788272264480239,-0.6948890043908074
michelle,low_cognitive_load,179,0.2688136247260678,0.14788344373076895,-1.8635132451631424,-0.7701299850737108
