session,phase,mean_ratio,n_windows,baseline_ratio,normalized_ratio,relative_change_pct
Dani-Laberinto,pre,9.211978320996675,16,0.160921006988608,57.245343497314884,5624.534349731488
Dani-Laberinto,seg,3.102729038506716,709,0.160921006988608,19.28106899509003,1828.1068995090034
Edwin-Laberinto,pre,3.4578538677372874,13,5.482621498584849,0.6306935229123174,-36.93064770876826
Edwin-Laberinto,seg,4.705427568031598,568,5.482621498584849,0.858244102615171,-14.175589738482895
Eli-Laberinto,pre,1.2952413399494827,18,0.3843197989718644,3.3702175724865677,237.02175724865677
Eli-Laberinto,seg,1.5642554001411695,952,0.3843197989718644,4.070192075260964,307.0192075260964
Jeromio-Laberinto,pre,4.6711378437189355,34,1.0612231810492043,4.401654550271603,340.1654550271603
Jeromio-Laberinto,seg,2.727990077390334,1036,1.0612231810492043,2.5706092046474516,157.06092046474518
Joss-Laberinto,pre,7.509995170457376,16,1.4614713016788374,5.1386538769734385,413.86538769734386
Joss-Laberinto,seg,5.5886326355025755,868,1.4614713016788374,3.8239769943362827,282.39769943362825
Rafa-Laberinto,pre,0.5001362561949818,7,11.82604170227984,0.042291095261279596,-95.77089047387204
Rafa-Laberinto,seg,0.45968030800657894,573,11.82604170227984,0.038870174787051626,-96.11298252129484
