session,phase,mean_ratio,n_windows,baseline_ratio,normalized_ratio,relative_change_pct
Dani-CanineQuest,pre,12.79211918454996,102,0.7085556246311766,18.053796681394804,1705.3796681394804
Dani-CanineQuest,seg,5.562215855161813,311,0.7085556246311766,7.85007649619196,685.0076496191961
Dani-CanineQuestgamepad,pre,1.4951080229011338,11,0.7085556246311766,2.1100785470151058,111.00785470151057
Dani-CanineQuestgamepad,seg,1.3237728976207892,236,0.7085556246311766,1.8682695494935215,86.82695494935217
Dani-CanineQuestkeyboard,pre,0.7778194733028161,240,0.7085556246311766,1.0977535796257256,9.775357962572564
Edwin-CanineQuest,pre,7.559722435586818,90,0.89243155640152,8.47092685300067,747.0926853000669
Edwin-CanineQuest,seg,2.2441854137390838,311,0.89243155640152,2.5146863057914843,151.46863057914842
Edwin-CanineQuestgamepad,pre,0.9621502905775816,242,0.89243155640152,1.0781222197668388,7.812221976683882
Edwin-Caninequestkeyboard,pre,1.397804100261329,214,0.89243155640152,1.5662871737722746,56.62871737722745
Eli-Caninequestgamepad,pre,1.3431623977215288,259,0.3843197989718644,3.494908150230012,249.4908150230012
Eli-CanineQuestHaptico,pre,0.2439436231648411,1,0.3843197989718644,0.6347412332579305,-36.52587667420696
Eli-CanineQuestHaptico,seg,1.208650808686342,374,0.3843197989718644,3.1449090364840293,214.4909036484029
Eli-Caninequestkeyboard,pre,1.1457203565997482,11,0.3843197989718644,2.9811640193005644,198.11640193005644
Eli-Caninequestkeyboard,seg,1.566236401122871,322,0.3843197989718644,4.075346639212657,307.53466392126563
Jeronimo-CanineQuest,pre,2.987715798993328,100,1.0612231810492043,2.8153510518300675,181.53510518300675
Jeronimo-CanineQuest,seg,2.26744730832538,307,1.0612231810492043,2.136635675526436,113.6635675526436
Jeronimo-caninequestgamepad,pre,1.194603843195389,282,1.0612231810492043,1.1256857789464367,12.568577894643663
Jeronimo-Keyboard,pre,1.2120882320649513,322,1.0612231810492043,1.1421614733920442,14.21614733920442
Joss-Caninequest,pre,8.928857385962356,94,5.163847520511412,1.7291094189934697,72.91094189934695
Joss-Caninequest,seg,3.6575854849821,298,5.163847520511412,0.7083062523542257,-29.169374764577423
Joss-Caninequestkeyboard,pre,1.6889903909172357,574,5.163847520511412,0.3270798342143849,-67.29201657856152
Joss-Caniquestgamepad,pre,3.628496479885376,367,5.163847520511412,0.7026730486275126,-29.732695137248747
