subject,dataset,baseline_eyes_open_mean,baseline_eyes_open_n_windows,baseline_eyes_open_fz_art_pct,baseline_eyes_open_pz_art_pct,baseline_eyes_closed_mean,baseline_eyes_closed_n_windows,baseline_eyes_closed_fz_art_pct,baseline_eyes_closed_pz_art_pct,low_cognitive_load_mean,low_cognitive_load_n_windows,low_cognitive_load_fz_art_pct,low_cognitive_load_pz_art_pct,high_cognitive_load_mean,high_cognitive_load_n_windows,high_cognitive_load_fz_art_pct,high_cognitive_load_pz_art_pct
1,fz_pz,9.909446539852272,33,9.688888888888888,1.4444444444444444,8.493360183506477,34,6.036395916555703,1.5090989791389258,2.170808610729198,71,4.320302087960906,1.6548200799644603,0.5359135389428417,69,2.4224913879319923,1.4001555728414268
3,fz_pz,0.5072752158838144,34,6.936416184971098,10.404624277456648,0.4053797353278746,35,1.665926254997779,5.819635717458907,0.2023613420811617,70,4.133333333333334,9.188888888888888,0.13193939986211,69,4.511111111111111,9.955555555555556
4,fz_pz,2.976349531632415,34,4.045343409646589,4.312069348744165,3.066425415182714,35,6.622222222222222,6.755555555555556,5.377287136859394,71,9.164630082203956,9.064652299489005,5.327313896853049,71,6.777777777777778,5.6
heberto,fz_pz,0.3117081195538231,35,18.288888888888888,33.28888888888889,0.5534025923288161,32,14.333333333333334,33.333333333333336,0.1045366431079917,59,6.9,16.455555555555556,0.4330462330717454,64,7.133333333333334,10.066666666666666
michelle,fz_pz,0.290981426745952,35,0.7746790615316512,1.0181496237273129,0.7361571249156499,35,0.5316792202038104,0.310146211785556,0.7648695859121966,71,0.6973655080805845,1.062652202789462,0.7559103295709716,71,0.630391506303915,1.094890510948905
jonhy,fz_pz,1.3165956257247515,35,1.6437139049311418,1.5770768547312306,1.1934158446704466,35,0.6838738142510479,0.8382969335980587,2.1449567152810998,71,2.135900841080124,1.99203187250996,1.7333925243551536,70,5.29418307196085,4.726949171393616
1,region,0.4464832699685305,35,4.266666666666667,4.266666666666667,0.5733454933714027,35,2.33022636484687,2.33022636484687,0.4526313335471801,71,5.064415815193248,5.064415815193248,0.5667396796058091,70,1.9557728636515168,1.9557728636515168
2,region,0.5848858780429277,35,5.977777777777778,5.977777777777778,0.480771130666373,35,1.0444444444444445,1.0444444444444445,0.3993788899384674,71,3.3666666666666667,3.3666666666666667,3.7838217552535567,70,25.48060895655073,35.703967107456386
3,region,0.6090962513198794,34,7.492218763895065,7.492218763895065,0.9177535262609812,35,3.4429142603287426,3.4429142603287426,0.721316564133849,71,6.177777777777778,6.177777777777778,0.3596703450997031,71,4.011111111111111,4.011111111111111
4,region,0.6497171178119627,34,3.956434763280729,3.956434763280729,0.4328166015871448,35,7.044444444444444,7.044444444444444,0.6662251869985643,71,9.453454787824928,9.453454787824928,0.6381878240902901,71,6.211111111111111,6.211111111111111
heberto,region,1.0638573374115423,35,19.444444444444443,19.444444444444443,1.0619315333970296,35,21.08888888888889,21.08888888888889,0.661899915742719,71,13.811111111111112,13.811111111111112,0.814230633652564,71,6.966666666666667,6.966666666666667
