'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:47:03.172 20/01/2026]',0.36,0.27,0.22,0.19,0.00,0.00,0.17,0.13,2.73,1.89,2.09,1.35,0.00,0.00,0.92,0.85,3.11,1.95,2.73,2.67,0.00,0.00,1.81,1.86,1.79,1.11,1.08,1.08,0.00,0.00,0.95,0.75,0.18,0.07,0.10,0.06,0.00,0.00,0.05,0.09,0
'[12:47:03.212 20/01/2026]',0.37,0.27,0.22,0.19,0.00,0.00,0.19,0.13,2.88,1.96,2.17,1.44,0.00,0.00,0.90,0.83,3.11,1.94,2.75,2.70,0.00,0.00,1.80,1.92,1.87,1.13,1.13,1.12,0.00,0.00,0.97,0.73,0.18,0.06,0.09,0.05,0.00,0.00,0.05,0.09,0
'[12:47:03.246 20/01/2026]',0.38,0.28,0.21,0.19,0.00,0.00,0.19,0.14,3.03,2.02,2.24,1.51,0.00,0.00,0.89,0.82,3.11,1.93,2.77,2.72,0.00,0.00,1.79,1.96,1.94,1.15,1.17,1.16,0.00,0.00,0.99,0.71,0.19,0.06,0.09,0.05,0.00,0.00,0.05,0.08,0
'[12:47:03.283 20/01/2026]',0.35,0.29,0.21,0.19,0.00,0.00,0.20,0.16,3.15,2.09,2.29,1.58,0.00,0.00,0.94,0.80,3.08,1.92,2.77,2.74,0.00,0.00,1.78,2.00,2.00,1.17,1.20,1.19,0.00,0.00,1.02,0.68,0.19,0.06,0.09,0.05,0.00,0.00,0.05,0.08,0
'[12:47:03.322 20/01/2026]',0.35,0.27,0.20,0.19,0.00,0.00,0.19,0.18,3.25,2.13,2.34,1.64,0.00,0.00,1.00,0.84,3.04,1.89,2.76,2.72,0.00,0.00,1.79,1.99,2.04,1.19,1.22,1.21,0.00,0.00,1.04,0.69,0.20,0.06,0.09,0.05,0.00,0.00,0.06,0.08,0
'[12:47:03.346 20/01/2026]',0.37,0.27,0.21,0.19,0.00,0.00,0.18,0.18,3.33,2.17,2.36,1.68,0.00,0.00,1.06,0.90,2.98,1.86,2.73,2.70,0.00,0.00,1.80,1.98,2.07,1.21,1.23,1.21,0.00,0.00,1.05,0.72,0.19,0.06,0.09,0.06,0.00,0.00,0.06,0.09,0
'[12:47:03.351 20/01/2026]',0.38,0.28,0.22,0.21,0.00,0.00,0.19,0.19,3.38,2.20,2.36,1.69,0.00,0.00,1.13,0.99,2.92,1.81,2.69,2.65,0.00,0.00,1.83,1.94,2.08,1.21,1.27,1.20,0.00,0.00,1.03,0.77,0.19,0.06,0.09,0.06,0.00,0.00,0.06,0.09,0
'[12:47:03.355 20/01/2026]',0.39,0.29,0.22,0.21,0.00,0.00,0.20,0.18,3.42,2.21,2.35,1.69,0.00,0.00,1.15,1.08,2.84,1.76,2.63,2.58,0.00,0.00,1.85,1.89,2.10,1.20,1.30,1.17,0.00,0.00,0.98,0.84,0.19,0.06,0.09,0.06,0.00,0.00,0.06,0.08,0
