'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:13:08.850 20/01/2026]',2.22,1.63,1.35,1.85,0.00,0.00,1.05,1.27,5.84,6.12,4.60,12.31,0.00,0.00,2.42,2.82,14.65,4.80,3.31,10.28,0.00,0.00,3.04,5.42,22.67,2.89,1.96,6.50,0.00,0.00,2.08,2.66,0.54,0.20,0.17,0.21,0.00,0.00,0.12,0.16,0
'[13:13:08.860 20/01/2026]',2.26,1.66,1.31,1.80,0.00,0.00,1.05,1.26,5.64,6.12,4.69,12.56,0.00,0.00,2.37,2.73,14.26,4.71,3.27,10.38,0.00,0.00,3.06,5.52,21.92,2.82,1.85,6.43,0.00,0.00,2.15,2.69,0.55,0.23,0.16,0.21,0.00,0.00,0.12,0.16,0
'[13:13:08.878 20/01/2026]',2.30,1.64,1.28,1.83,0.00,0.00,1.04,1.27,5.71,6.15,4.77,12.71,0.00,0.00,2.33,2.65,13.89,4.71,3.23,10.53,0.00,0.00,3.08,5.63,21.23,2.67,1.96,6.39,0.00,0.00,2.22,2.70,0.55,0.23,0.16,0.22,0.00,0.00,0.11,0.16,0
'[13:13:08.894 20/01/2026]',2.34,1.63,1.25,1.87,0.00,0.00,1.04,1.28,5.99,6.18,4.85,12.86,0.00,0.00,2.29,2.58,13.56,4.70,3.19,10.66,0.00,0.00,3.09,5.73,20.58,2.65,2.07,6.36,0.00,0.00,2.29,2.71,0.57,0.22,0.15,0.23,0.00,0.00,0.11,0.16,0
'[13:13:08.911 20/01/2026]',2.37,1.62,1.22,1.91,0.00,0.00,1.04,1.28,6.24,6.21,4.92,12.99,0.00,0.00,2.25,2.52,13.35,4.70,3.16,10.78,0.00,0.00,3.11,5.83,19.99,2.78,2.16,6.33,0.00,0.00,2.35,2.72,0.58,0.22,0.15,0.24,0.00,0.00,0.11,0.16,0
'[13:13:08.928 20/01/2026]',2.27,1.61,1.20,1.94,0.00,0.00,1.03,1.29,6.56,6.23,4.97,13.12,0.00,0.00,2.23,2.58,13.12,4.69,3.13,10.89,0.00,0.00,3.11,5.91,20.06,2.91,2.25,6.30,0.00,0.00,2.40,2.73,0.57,0.22,0.14,0.25,0.00,0.00,0.10,0.16,0
'[13:13:08.945 20/01/2026]',2.18,1.56,1.17,1.95,0.00,0.00,1.01,1.28,6.87,6.22,5.02,13.17,0.00,0.00,2.26,2.65,13.03,4.71,3.11,11.01,0.00,0.00,3.11,5.97,20.08,3.01,2.33,6.33,0.00,0.00,2.47,2.74,0.55,0.22,0.14,0.26,0.00,0.00,0.10,0.16,0
'[13:13:08.960 20/01/2026]',2.05,1.52,1.15,1.98,0.00,0.00,0.99,1.27,7.13,6.22,5.07,13.14,0.00,0.00,2.31,2.69,12.98,4.76,3.10,11.16,0.00,0.00,3.11,6.02,20.08,3.08,2.41,6.44,0.00,0.00,2.54,2.72,0.52,0.21,0.13,0.26,0.00,0.00,0.10,0.17,0
