'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:15:00.000 21/01/2026]',-19.95293,-17.35336,-7.254767,-5.934623,4.610755E-10,4.610755E-10,-1.017514,-1.766125
'[17:15:00.004 21/01/2026]',-5.305669,-22.68475,-3.720253,-9.298214,4.610755E-10,4.610755E-10,-3.491669,-4.873575
'[17:15:00.012 21/01/2026]',52.74526,53.32185,22.79921,22.74953,4.610755E-10,4.610755E-10,3.940451,5.08624
'[17:15:00.020 21/01/2026]',1.174247,19.10053,1.309188,8.073585,4.610755E-10,4.610755E-10,4.025512,4.25019
'[17:15:00.028 21/01/2026]',-28.72797,-21.8417,-10.5252,-9.037061,4.610755E-10,4.610755E-10,2.771727,2.177329
'[17:15:00.036 21/01/2026]',2.632251,-11.89907,-0.7408393,-4.846383,4.610755E-10,4.610755E-10,-7.420696,-5.452086
'[17:15:00.044 21/01/2026]',9.216109,0.0238367,3.011687,1.176518,4.610755E-10,4.610755E-10,-1.581249,-1.76244
'[17:15:00.052 21/01/2026]',-3.319351,10.88413,1.544974,4.718812,4.610755E-10,4.610755E-10,7.749612,4.047669
'[17:15:00.060 21/01/2026]',-3.692568,-3.629324,-0.6576725,0.3881774,4.610755E-10,4.610755E-10,-2.022899,1.180314
'[17:15:00.068 21/01/2026]',-1.411787,-9.059937,-3.979497,-5.851221,4.610755E-10,4.610755E-10,-2.984613,-2.130011
'[17:15:00.076 21/01/2026]',2.840317,5.366963,2.129565,2.400945,4.610755E-10,4.610755E-10,-0.2251545,0.2536755
'[17:15:00.084 21/01/2026]',-0.3239419,0.4896257,0.3206885,1.474233,4.610755E-10,4.610755E-10,2.314521,0.2987822
'[17:15:00.092 21/01/2026]',-1.034676,-1.208026,0.3921889,-1.102701,4.610755E-10,4.610755E-10,-0.09843535,0.2050463
'[17:15:00.100 21/01/2026]',-0.3522426,-3.121061,-3.107795,-3.582119,4.610755E-10,4.610755E-10,-3.424334,-1.254916
'[17:15:00.108 21/01/2026]',-0.1372236,-0.6439983,-0.4534762,1.806299,4.610755E-10,4.610755E-10,1.191009,-0.3578876
'[17:15:00.116 21/01/2026]',1.605967,5.671304,3.998885,3.831349,4.610755E-10,4.610755E-10,1.844027,2.332558
'[17:15:00.124 21/01/2026]',-0.2871202,-4.023722,-0.4754845,-0.8785654,4.610755E-10,4.610755E-10,2.627384,1.831087
'[17:15:00.132 21/01/2026]',-1.348918,-12.07093,-1.21938,-2.970459,4.610755E-10,4.610755E-10,-5.108439,-4.581388
'[17:15:00.140 21/01/2026]',-1.348918,-12.07093,-1.21938,-2.970459,4.610755E-10,4.610755E-10,-5.108439,-4.581388
