'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[10:48:00.000 21/01/2026]',-100292.7,-182184.1,-123655.5,-5658.567,-375000,-375000,-146176.8,-117386.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.004 21/01/2026]',-100197.1,-181972,-123635.6,-5627.856,-375000,-375000,-146294.5,-117491.7,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.008 21/01/2026]',-100242.1,-182053.7,-123685.7,-5729.422,-375000,-375000,-146361.6,-117472.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.012 21/01/2026]',-100338.4,-182280.4,-123686.6,-5741.716,-375000,-375000,-146226,-117369.2,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.016 21/01/2026]',-100278.7,-182206.1,-123634.3,-5654.052,-375000,-375000,-146171.2,-117383.5,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.020 21/01/2026]',-100160.5,-181970.6,-123629.5,-5605.057,-375000,-375000,-146239.2,-117449.4,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.024 21/01/2026]',-100159.4,-181971.8,-123662.5,-5688.027,-375000,-375000,-146337.6,-117453,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.028 21/01/2026]',-100296.5,-182225.5,-123676.8,-5738.185,-375000,-375000,-146222.6,-117362.6,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.032 21/01/2026]',-100281.3,-182211.1,-123632.4,-5661.071,-375000,-375000,-146164.6,-117367.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.036 21/01/2026]',-100292.7,-182184.1,-123655.5,-5658.567,-375000,-375000,-146176.8,-117386.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.040 21/01/2026]',-100197.1,-181972,-123635.6,-5627.856,-375000,-375000,-146294.5,-117491.7,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.044 21/01/2026]',-100242.1,-182053.7,-123685.7,-5729.422,-375000,-375000,-146361.6,-117472.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.048 21/01/2026]',-100338.4,-182280.4,-123686.6,-5741.716,-375000,-375000,-146226,-117369.2,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.052 21/01/2026]',-100278.7,-182206.1,-123634.3,-5654.052,-375000,-375000,-146171.2,-117383.5,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.056 21/01/2026]',-100160.5,-181970.6,-123629.5,-5605.057,-375000,-375000,-146239.2,-117449.4,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.060 21/01/2026]',-100159.4,-181971.8,-123662.5,-5688.027,-375000,-375000,-146337.6,-117453,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.064 21/01/2026]',-100296.5,-182225.5,-123676.8,-5738.185,-375000,-375000,-146222.6,-117362.6,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.068 21/01/2026]',-100281.3,-182211.1,-123632.4,-5661.071,-375000,-375000,-146164.6,-117367.3,0.03,-0.02,0.89,-4,0,-2,27,0
'[10:48:00.072 21/01/2026]',-100177.9,-182005.4,-123612.9,-5606.756,-375000,-375000,-146226.3,-117454.5,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.076 21/01/2026]',-100147.2,-181933.3,-123649.4,-5671.174,-375000,-375000,-146357,-117484.4,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.080 21/01/2026]',-100251.5,-182182.4,-123676.8,-5735.279,-375000,-375000,-146247.9,-117379.1,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.084 21/01/2026]',-100247.4,-182210.5,-123632.1,-5651.594,-375000,-375000,-146156.1,-117349.6,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.088 21/01/2026]',-100141.9,-182011.7,-123586.1,-5576.983,-375000,-375000,-146181.8,-117421,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.092 21/01/2026]',-100110.2,-181887.5,-123612.5,-5622.894,-375000,-375000,-146332.5,-117484.7,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.096 21/01/2026]',-100234.5,-182123.2,-123655.3,-5718.694,-375000,-375000,-146258.6,-117389,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.100 21/01/2026]',-100258.1,-182203.7,-123629.8,-5657.941,-375000,-375000,-146152,-117339.7,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.104 21/01/2026]',-100166.2,-182036.5,-123606.3,-5591.021,-375000,-375000,-146161.2,-117409.6,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.108 21/01/2026]',-100085.7,-181866.7,-123609.3,-5604.029,-375000,-375000,-146308.3,-117485.2,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.112 21/01/2026]',-100193.3,-182077,-123659.1,-5716.28,-375000,-375000,-146286.4,-117417.8,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.116 21/01/2026]',-100254.9,-182219.8,-123632.7,-5676.494,-375000,-375000,-146174.7,-117364.4,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.120 21/01/2026]',-100165.9,-182067.4,-123577.7,-5584.896,-375000,-375000,-146151.9,-117404.4,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.124 21/01/2026]',-100058.1,-181862.1,-123588.9,-5577.609,-375000,-375000,-146281.3,-117477.9,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.128 21/01/2026]',-100135.5,-182008.5,-123644.3,-5689.949,-375000,-375000,-146297.6,-117423.2,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.132 21/01/2026]',-100236.9,-182200,-123635.8,-5679.891,-375000,-375000,-146173.1,-117350.9,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.136 21/01/2026]',-100170.9,-182098.7,-123600.9,-5603.493,-375000,-375000,-146143.8,-117386.6,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.140 21/01/2026]',-100051.3,-181880.2,-123605.5,-5581.364,-375000,-375000,-146259.9,-117474.9,0.02,0.00,0.88,-4,0,-2,27,0
'[10:48:00.144 21/01/2026]',-100119.8,-181968.7,-123664.9,-5697.683,-375000,-375000,-146336.1,-117459.2,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.148 21/01/2026]',-100242.4,-182190.4,-123641.8,-5696.431,-375000,-375000,-146197.5,-117361.9,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.152 21/01/2026]',-100202.1,-182118.2,-123582.3,-5600.542,-375000,-375000,-146143,-117371.6,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.156 21/01/2026]',-100099.5,-181901.8,-123586.6,-5562.991,-375000,-375000,-146234.5,-117462.8,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.160 21/01/2026]',-100095.5,-181896.9,-123619.4,-5650.789,-375000,-375000,-146337.1,-117468.4,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.164 21/01/2026]',-100208.6,-182146.7,-123631.9,-5694.151,-375000,-375000,-146205.1,-117365,0.03,0.00,0.88,-4,0,-2,27,0
'[10:48:00.168 21/01/2026]',-100198.1,-182139.1,-123599.3,-5613.596,-375000,-375000,-146140.3,-117369.6,0.03,0.00,0.88,-4,0,-2,27,0
