'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[19:38:00.000 20/01/2026]',0.1277089,-5.713205,-0.7237236,1.219505,4.610755E-10,4.610755E-10,-3.519672,-1.684481
'[19:38:00.008 20/01/2026]',29.8209,17.56801,40.2613,35.47425,4.610755E-10,4.610755E-10,38.50405,27.85637
'[19:38:00.016 20/01/2026]',-17.14203,-10.13011,-30.62082,-33.99299,4.610755E-10,4.610755E-10,-29.49897,-18.87906
'[19:38:00.024 20/01/2026]',-17.14203,-10.13011,-30.62082,-33.99299,4.610755E-10,4.610755E-10,-29.49897,-18.87906
'[19:38:00.032 20/01/2026]',-21.63152,-1.712601,-25.99589,-14.6305,4.610755E-10,4.610755E-10,-21.40241,-19.94246
'[19:38:00.040 20/01/2026]',19.07302,11.42107,38.65002,36.74483,4.610755E-10,4.610755E-10,35.43236,28.29917
'[19:38:00.048 20/01/2026]',19.07302,11.42107,38.65002,36.74483,4.610755E-10,4.610755E-10,35.43236,28.29917
'[19:38:00.056 20/01/2026]',19.07302,11.42107,38.65002,36.74483,4.610755E-10,4.610755E-10,35.43236,28.29917
'[19:38:00.064 20/01/2026]',19.07302,11.42107,38.65002,36.74483,4.610755E-10,4.610755E-10,35.43236,28.29917
'[19:38:00.072 20/01/2026]',-0.3532669,-13.75628,-8.626101,-14.55233,4.610755E-10,4.610755E-10,-7.04497,-7.61235
'[19:38:00.080 20/01/2026]',8.453298,20.04399,8.320154,12.01484,4.610755E-10,4.610755E-10,11.0035,10.95591
'[19:38:00.088 20/01/2026]',8.453298,20.04399,8.320154,12.01484,4.610755E-10,4.610755E-10,11.0035,10.95591
'[19:38:00.096 20/01/2026]',8.453298,20.04399,8.320154,12.01484,4.610755E-10,4.610755E-10,11.0035,10.95591
'[19:38:00.104 20/01/2026]',8.453298,20.04399,8.320154,12.01484,4.610755E-10,4.610755E-10,11.0035,10.95591
'[19:38:00.112 20/01/2026]',-11.12554,-9.884469,-13.25113,-12.16193,4.610755E-10,4.610755E-10,-19.08614,-10.71209
'[19:38:00.120 20/01/2026]',1.630953,-4.421049,5.136621,5.878966,4.610755E-10,4.610755E-10,11.78135,1.315008
'[19:38:00.128 20/01/2026]',7.035953,10.42047,8.751894,5.279575,4.610755E-10,4.610755E-10,4.547977,7.426138
'[19:38:00.136 20/01/2026]',7.035953,10.42047,8.751894,5.279575,4.610755E-10,4.610755E-10,4.547977,7.426138
