'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:38:00.000 20/01/2026]',-104985.3,-185025.1,-110295.3,-131225.3,-375000,-375000,-146748.1,-117899.3,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.004 20/01/2026]',-105550.6,-186134.6,-108741.9,-128419.8,-375000,-375000,-145974.9,-118800.9,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.008 20/01/2026]',-107452.5,-188645.7,-107601.1,-126848.4,-375000,-375000,-146197.4,-121080.6,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.012 20/01/2026]',-106995.3,-187547.1,-109561.4,-130442.4,-375000,-375000,-147291.5,-120206.7,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.016 20/01/2026]',-105109.2,-185174.7,-110407,-131513,-375000,-375000,-146896.8,-118007.2,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.020 20/01/2026]',-105265.4,-185787.3,-108987.1,-128880,-375000,-375000,-146018.3,-118453.7,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.024 20/01/2026]',-107129.6,-188314.4,-107520,-126688.3,-375000,-375000,-145992.9,-120754.2,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.028 20/01/2026]',-107226,-187929.2,-109065.6,-129694.2,-375000,-375000,-147106,-120568.3,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.032 20/01/2026]',-105243.2,-185336.5,-110438.2,-131709.9,-375000,-375000,-147019.8,-118175.4,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.036 20/01/2026]',-105045.1,-185525.4,-109250.8,-129358.4,-375000,-375000,-146093,-118183.6,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.040 20/01/2026]',-106802.8,-188012.9,-107610.6,-126784.7,-375000,-375000,-145894.3,-120402.7,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.044 20/01/2026]',-107481.1,-188431.1,-108665.7,-128997.9,-375000,-375000,-146966.6,-120920,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.048 20/01/2026]',-105531.3,-185694.1,-110477.8,-131845.9,-375000,-375000,-147198.6,-118481.3,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.052 20/01/2026]',-104928.3,-185302.9,-109564.4,-129908.9,-375000,-375000,-146265.6,-118012.5,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.056 20/01/2026]',-106474.1,-187570.3,-107835.1,-127083.3,-375000,-375000,-145891.8,-120028.2,0.03,0.00,0.88,-4,0,-2,48,0
'[13:38:00.060 20/01/2026]',-107605.9,-188702.7,-108272.4,-128296.2,-375000,-375000,-146800,-121185.8,0.03,0.00,0.88,-4,0,-2,48,0
