'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:15:00.000 20/01/2026]',16.66054,7.528002,-2.834734,-2.936586,1.341672E-11,1.341672E-11,-4.710326,-10.65074
'[18:15:00.004 20/01/2026]',16.66054,7.528002,-2.834734,-2.936586,1.341672E-11,1.341672E-11,-4.710326,-10.65074
'[18:15:00.008 20/01/2026]',2.51896,-13.2222,-8.949883,-6.325937,1.341672E-11,1.341672E-11,-10.25422,-10.74122
'[18:15:00.012 20/01/2026]',-8.001066,-10.9066,-5.189517,-7.844898,1.341672E-11,1.341672E-11,-7.070281,-9.144939
'[18:15:00.016 20/01/2026]',16.64575,-5.115023,8.437056,1.136021,1.341672E-11,1.341672E-11,14.23809,11.28238
'[18:15:00.020 20/01/2026]',16.64575,-5.115023,8.437056,1.136021,1.341672E-11,1.341672E-11,14.23809,11.28238
'[18:15:00.024 20/01/2026]',16.64575,-5.115023,8.437056,1.136021,1.341672E-11,1.341672E-11,14.23809,11.28238
'[18:15:00.028 20/01/2026]',16.64575,-5.115023,8.437056,1.136021,1.341672E-11,1.341672E-11,14.23809,11.28238
'[18:15:00.032 20/01/2026]',3.571301,-16.57085,-7.492635,-1.072496,1.341672E-11,1.341672E-11,-8.896899,-6.915243
'[18:15:00.036 20/01/2026]',-0.08735811,0.9910316,5.599659,2.429701,1.341672E-11,1.341672E-11,2.306377,-9.537401
'[18:15:00.040 20/01/2026]',-0.08735811,0.9910316,5.599659,2.429701,1.341672E-11,1.341672E-11,2.306377,-9.537401
'[18:15:00.044 20/01/2026]',-0.08735811,0.9910316,5.599659,2.429701,1.341672E-11,1.341672E-11,2.306377,-9.537401
'[18:15:00.048 20/01/2026]',-0.08735811,0.9910316,5.599659,2.429701,1.341672E-11,1.341672E-11,2.306377,-9.537401
'[18:15:00.052 20/01/2026]',-0.08735811,0.9910316,5.599659,2.429701,1.341672E-11,1.341672E-11,2.306377,-9.537401
'[18:15:00.056 20/01/2026]',12.63576,10.26822,12.00172,19.09627,1.341672E-11,1.341672E-11,26.13166,32.19924
'[18:15:00.060 20/01/2026]',8.868504,5.275716,5.458814,7.088531,1.341672E-11,1.341672E-11,-2.355897,3.102628
'[18:15:00.064 20/01/2026]',2.360208,4.07358,-2.775467,0.7138018,1.341672E-11,1.341672E-11,-6.035019,-5.436059
'[18:15:00.068 20/01/2026]',2.360208,4.07358,-2.775467,0.7138018,1.341672E-11,1.341672E-11,-6.035019,-5.436059
'[18:15:00.072 20/01/2026]',2.360208,4.07358,-2.775467,0.7138018,1.341672E-11,1.341672E-11,-6.035019,-5.436059
'[18:15:00.076 20/01/2026]',5.755617,-4.766158,1.801932,1.078884,1.341672E-11,1.341672E-11,2.909227,-8.521663
'[18:15:00.080 20/01/2026]',2.347678,6.828217,4.524405,2.909531,1.341672E-11,1.341672E-11,7.029648,12.21711
'[18:15:00.084 20/01/2026]',2.347678,6.828217,4.524405,2.909531,1.341672E-11,1.341672E-11,7.029648,12.21711
'[18:15:00.088 20/01/2026]',2.347678,6.828217,4.524405,2.909531,1.341672E-11,1.341672E-11,7.029648,12.21711
'[18:15:00.092 20/01/2026]',2.347678,6.828217,4.524405,2.909531,1.341672E-11,1.341672E-11,7.029648,12.21711
'[18:15:00.096 20/01/2026]',2.347678,6.828217,4.524405,2.909531,1.341672E-11,1.341672E-11,7.029648,12.21711
'[18:15:00.100 20/01/2026]',-6.539482,-12.19175,-0.6940426,-2.682765,1.341672E-11,1.341672E-11,3.120409,0.5360104
'[18:15:00.104 20/01/2026]',-3.918732,-12.59801,9.753123,10.01804,1.341672E-11,1.341672E-11,5.030283,3.385371
'[18:15:00.108 20/01/2026]',2.738038,2.924191,5.033324,18.82165,1.341672E-11,1.341672E-11,10.70574,30.24843
'[18:15:00.112 20/01/2026]',2.738038,2.924191,5.033324,18.82165,1.341672E-11,1.341672E-11,10.70574,30.24843
'[18:15:00.116 20/01/2026]',2.738038,2.924191,5.033324,18.82165,1.341672E-11,1.341672E-11,10.70574,30.24843
'[18:15:00.120 20/01/2026]',2.738038,2.924191,5.033324,18.82165,1.341672E-11,1.341672E-11,10.70574,30.24843
'[18:15:00.124 20/01/2026]',-6.091608,-1.330918,-13.09803,-11.02659,1.341672E-11,1.341672E-11,-1.4745,-12.56622
'[18:15:00.128 20/01/2026]',-4.166056,-10.23859,0.7202057,-4.781649,1.341672E-11,1.341672E-11,4.337647,13.18121
'[18:15:00.132 20/01/2026]',2.701117,14.66812,-1.502115,-4.32568,1.341672E-11,1.341672E-11,-2.123162,-18.03126
'[18:15:00.136 20/01/2026]',2.701117,14.66812,-1.502115,-4.32568,1.341672E-11,1.341672E-11,-2.123162,-18.03126
'[18:15:00.140 20/01/2026]',2.701117,14.66812,-1.502115,-4.32568,1.341672E-11,1.341672E-11,-2.123162,-18.03126
'[18:15:00.144 20/01/2026]',2.701117,14.66812,-1.502115,-4.32568,1.341672E-11,1.341672E-11,-2.123162,-18.03126
'[18:15:00.148 20/01/2026]',22.38735,13.33333,5.668705,-6.741688,1.341672E-11,1.341672E-11,-6.466389,3.131279
'[18:15:00.152 20/01/2026]',-3.098352,-3.935403,1.580865,7.163485,1.341672E-11,1.341672E-11,5.979886,11.07464
'[18:15:00.156 20/01/2026]',-11.0724,-18.87418,-4.509576,-1.133068,1.341672E-11,1.341672E-11,5.346764,11.5364
'[18:15:00.160 20/01/2026]',-11.0724,-18.87418,-4.509576,-1.133068,1.341672E-11,1.341672E-11,5.346764,11.5364
'[18:15:00.164 20/01/2026]',-11.0724,-18.87418,-4.509576,-1.133068,1.341672E-11,1.341672E-11,5.346764,11.5364
'[18:15:00.168 20/01/2026]',-11.0724,-18.87418,-4.509576,-1.133068,1.341672E-11,1.341672E-11,5.346764,11.5364
'[18:15:00.172 20/01/2026]',-3.185944,-1.537299,-5.699143,-7.680642,1.341672E-11,1.341672E-11,-7.466698,-15.04761
'[18:15:00.176 20/01/2026]',-0.07130332,-5.573584,-3.593802,-8.587957,1.341672E-11,1.341672E-11,-3.873128,1.575388
'[18:15:00.180 20/01/2026]',-0.07130332,-5.573584,-3.593802,-8.587957,1.341672E-11,1.341672E-11,-3.873128,1.575388
'[18:15:00.184 20/01/2026]',-0.07130332,-5.573584,-3.593802,-8.587957,1.341672E-11,1.341672E-11,-3.873128,1.575388
