'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[14:17:00.000 20/01/2026]',-111277.7,-161152,-90613.52,-102225.1,-375000,-375000,-195122,-123841,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.004 20/01/2026]',-111624.9,-161572.5,-91016.16,-102323.6,-375000,-375000,-193190.8,-124237.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.008 20/01/2026]',-111879,-161788.3,-91231.46,-102690.4,-375000,-375000,-193311.1,-124494.7,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.012 20/01/2026]',-111470.9,-161304.2,-90775.35,-102565.9,-375000,-375000,-195460.4,-124031.7,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.016 20/01/2026]',-111261.8,-161124.9,-90608.2,-102239.2,-375000,-375000,-195302.3,-123819.1,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.020 20/01/2026]',-111546.1,-161472.6,-90954.92,-102275.4,-375000,-375000,-193433.7,-124148.5,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.024 20/01/2026]',-111853.6,-161763.9,-91261.63,-102641.4,-375000,-375000,-192984,-124509.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.028 20/01/2026]',-111521.8,-161323.5,-90869.98,-102638.1,-375000,-375000,-195220.9,-124137.4,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.032 20/01/2026]',-111236.4,-161070.2,-90604.4,-102291.3,-375000,-375000,-195561.8,-123827,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.036 20/01/2026]',-111485.3,-161417,-90890.59,-102261.8,-375000,-375000,-193840.7,-124085.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.040 20/01/2026]',-111903.1,-161859.6,-91285.15,-102610.6,-375000,-375000,-192850.1,-124513.9,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.044 20/01/2026]',-111683,-161557.5,-90981.97,-102717,-375000,-375000,-194902.6,-124245.8,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.048 20/01/2026]',-111314,-161196.7,-90611.6,-102351.6,-375000,-375000,-195677.9,-123845.8,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.052 20/01/2026]',-111459.5,-161412.5,-90806.46,-102240.5,-375000,-375000,-194127.6,-124010.9,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.056 20/01/2026]',-111885,-161883.8,-91255.91,-102552.8,-375000,-375000,-192752.6,-124481.7,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.060 20/01/2026]',-111776.5,-161696.3,-91068.16,-102760.7,-375000,-375000,-194521.9,-124334,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.064 20/01/2026]',-111347,-161242.4,-90643.52,-102415.7,-375000,-375000,-195763.1,-123871.8,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.068 20/01/2026]',-111383.1,-161342.7,-90742.31,-102223.9,-375000,-375000,-194442.8,-123944.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.072 20/01/2026]',-111816.1,-161821.1,-91203.07,-102483.1,-375000,-375000,-192802.1,-124421.7,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.076 20/01/2026]',-111835.5,-161771.2,-91145.98,-102777,-375000,-375000,-194155.3,-124421.7,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.080 20/01/2026]',-111384.5,-161268.9,-90661.66,-102467.4,-375000,-375000,-195769.9,-123915.4,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.084 20/01/2026]',-111350.5,-161278.9,-90675.08,-102218.4,-375000,-375000,-194789.7,-123886.6,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.088 20/01/2026]',-111758.8,-161750.9,-91133.96,-102413.4,-375000,-375000,-192937.8,-124344.9,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.092 20/01/2026]',-111899.5,-161857.8,-91234.09,-102773,-375000,-375000,-193684.2,-124494.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.096 20/01/2026]',-111446.5,-161353.2,-90751.79,-102557.9,-375000,-375000,-195653.3,-124002.8,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.100 20/01/2026]',-111319.5,-161263.1,-90659.88,-102269,-375000,-375000,-195118.1,-123877.3,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.104 20/01/2026]',-111677.4,-161682.2,-91067.89,-102372.7,-375000,-375000,-193203.4,-124271.9,0.03,0.00,0.88,-4,0,-2,39,0
'[14:17:00.108 20/01/2026]',-111920.1,-161903.6,-91271.96,-102741,-375000,-375000,-193331,-124525,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.112 20/01/2026]',-111516.9,-161428.9,-90821.8,-102623,-375000,-375000,-195489.4,-124075.9,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.116 20/01/2026]',-111293.2,-161234.6,-90633.64,-102282.1,-375000,-375000,-195330.1,-123852.2,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.120 20/01/2026]',-111569.3,-161588,-90968.83,-102308.9,-375000,-375000,-193445.8,-124177.3,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.124 20/01/2026]',-111901.8,-161919.3,-91280.77,-102686.7,-375000,-375000,-193026.3,-124535.3,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.128 20/01/2026]',-111576.8,-161507.5,-90902.13,-102678.8,-375000,-375000,-195244.3,-124155.5,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.132 20/01/2026]',-111270.7,-161216,-90632.7,-102311.3,-375000,-375000,-195525.1,-123843,0.05,0.00,0.89,-4,0,-2,39,0
'[14:17:00.136 20/01/2026]',-111502.3,-161497.3,-90901.91,-102269.9,-375000,-375000,-193774,-124099.3,0.05,0.00,0.89,-4,0,-2,39,0
