'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:41:01.822 20/01/2026]',4.64,4.35,4.56,2.93,0.00,0.00,4.62,4.37,10.41,9.73,10.96,8.09,0.01,0.00,11.10,10.69,11.07,9.98,11.17,9.07,0.01,0.00,9.95,10.21,7.87,8.02,8.93,6.29,0.01,0.00,8.74,8.49,0.26,0.20,0.22,0.32,0.00,0.00,0.21,0.21,0
'[12:41:01.832 20/01/2026]',4.72,4.49,4.67,2.98,0.00,0.00,4.76,4.55,10.69,10.03,11.24,8.69,0.01,0.00,11.33,10.93,11.27,10.42,11.39,9.43,0.01,0.00,10.07,10.36,8.01,8.17,9.10,6.21,0.01,0.00,8.92,8.70,0.24,0.20,0.21,0.30,0.00,0.00,0.21,0.21,0
'[12:41:01.850 20/01/2026]',4.81,4.59,4.78,2.98,0.00,0.00,4.87,4.69,10.91,10.27,11.48,9.18,0.01,0.00,11.53,11.11,11.55,10.81,11.60,10.08,0.01,0.00,10.20,10.53,8.09,8.29,9.23,6.13,0.01,0.00,9.10,8.87,0.24,0.19,0.20,0.30,0.00,0.00,0.20,0.21,0
'[12:41:01.866 20/01/2026]',4.90,4.68,4.87,2.95,0.00,0.00,4.98,4.81,11.12,10.48,11.71,9.61,0.01,0.00,11.72,11.26,11.93,11.18,11.80,10.74,0.01,0.00,10.38,10.70,8.17,8.38,9.36,6.10,0.01,0.00,9.26,9.04,0.24,0.18,0.19,0.30,0.00,0.00,0.19,0.20,0
'[12:41:01.884 20/01/2026]',4.97,4.77,4.96,2.93,0.00,0.00,5.08,4.92,11.31,10.67,11.92,10.01,0.01,0.00,11.89,11.41,12.28,11.52,11.98,11.37,0.01,0.00,10.67,10.86,8.24,8.46,9.48,6.08,0.01,0.00,9.41,9.19,0.23,0.17,0.18,0.30,0.00,0.00,0.19,0.19,0
'[12:41:01.900 20/01/2026]',5.06,4.86,5.07,3.04,0.00,0.00,5.16,5.02,11.51,10.84,12.14,10.38,0.01,0.00,12.04,11.54,12.63,11.84,12.20,11.95,0.01,0.00,10.92,11.03,8.30,8.54,9.57,6.05,0.01,0.00,9.56,9.34,0.23,0.17,0.18,0.29,0.00,0.00,0.18,0.18,0
'[12:41:01.916 20/01/2026]',5.14,4.94,5.16,3.10,0.00,0.00,5.24,5.11,11.69,11.01,12.34,10.67,0.00,0.00,12.18,11.65,12.96,12.14,12.53,12.53,0.01,0.00,11.16,11.29,8.35,8.61,9.65,6.08,0.01,0.00,9.70,9.48,0.24,0.16,0.18,0.27,0.00,0.00,0.17,0.17,0
'[12:41:01.934 20/01/2026]',5.26,5.02,5.24,3.16,0.00,0.00,5.30,5.20,11.86,11.16,12.54,10.95,0.00,0.00,12.31,11.76,13.27,12.42,12.84,13.07,0.01,0.00,11.37,11.53,8.43,8.67,9.71,6.18,0.01,0.00,9.82,9.61,0.25,0.16,0.17,0.26,0.00,0.00,0.18,0.17,0
