'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:41:00.000 20/01/2026]',4.625356,18.49753,19.5569,38.68275,4.818111E-10,4.610755E-10,27.56427,22.84929
'[18:41:00.004 20/01/2026]',4.780176,-6.818014,-5.963888,-44.95755,4.283235E-10,4.610755E-10,-22.86671,-18.11602
'[18:41:00.008 20/01/2026]',18.27777,8.997917,-3.184109,-8.156235,4.979309E-10,4.610755E-10,-9.678869,-5.337426
'[18:41:00.012 20/01/2026]',18.27777,8.997917,-3.184109,-8.156235,4.979309E-10,4.610755E-10,-9.678869,-5.337426
'[18:41:00.016 20/01/2026]',18.27777,8.997917,-3.184109,-8.156235,4.979309E-10,4.610755E-10,-9.678869,-5.337426
'[18:41:00.020 20/01/2026]',-30.37604,-11.17214,-3.693514,16.04127,4.771333E-10,4.610755E-10,16.4476,9.627582
'[18:41:00.024 20/01/2026]',-30.37604,-11.17214,-3.693514,16.04127,4.771333E-10,4.610755E-10,16.4476,9.627582
'[18:41:00.028 20/01/2026]',-52.24739,-55.40691,-48.55293,-36.06623,4.852831E-10,4.610755E-10,-57.34381,-54.79344
'[18:41:00.032 20/01/2026]',-52.24739,-55.40691,-48.55293,-36.06623,4.852831E-10,4.610755E-10,-57.34381,-54.79344
'[18:41:00.036 20/01/2026]',77.67846,69.57827,62.69246,52.90136,4.624469E-10,4.610755E-10,63.3266,56.90059
'[18:41:00.040 20/01/2026]',181.8009,189.1694,185.9014,186.5385,4.357529E-10,4.610755E-10,185.8115,190.3709
'[18:41:00.044 20/01/2026]',181.8009,189.1694,185.9014,186.5385,4.357529E-10,4.610755E-10,185.8115,190.3709
'[18:41:00.048 20/01/2026]',181.8009,189.1694,185.9014,186.5385,4.357529E-10,4.610755E-10,185.8115,190.3709
'[18:41:00.052 20/01/2026]',-190.5591,-189.6082,-184.0459,-141.731,4.377771E-10,4.610755E-10,-183.4624,-174.8247
'[18:41:00.056 20/01/2026]',-190.5591,-189.6082,-184.0459,-141.731,4.377771E-10,4.610755E-10,-183.4624,-174.8247
'[18:41:00.060 20/01/2026]',-30.37817,-33.35283,-32.74973,-59.20626,4.743873E-10,4.610755E-10,-29.98074,-40.66431
'[18:41:00.064 20/01/2026]',-30.37817,-33.35283,-32.74973,-59.20626,4.743873E-10,4.610755E-10,-29.98074,-40.66431
'[18:41:00.068 20/01/2026]',78.99063,78.36887,78.03764,50.06407,4.397765E-10,4.610755E-10,73.24938,71.19902
'[18:41:00.072 20/01/2026]',78.99063,78.36887,78.03764,50.06407,4.397765E-10,4.610755E-10,73.24938,71.19902
'[18:41:00.076 20/01/2026]',78.99063,78.36887,78.03764,50.06407,4.397765E-10,4.610755E-10,73.24938,71.19902
'[18:41:00.080 20/01/2026]',-9.814423,-5.577121,-11.26083,19.89659,4.456951E-10,4.610755E-10,-5.051644,2.069412
'[18:41:00.084 20/01/2026]',-9.814423,-5.577121,-11.26083,19.89659,4.456951E-10,4.610755E-10,-5.051644,2.069412
'[18:41:00.088 20/01/2026]',-39.72676,-37.07542,-30.43237,-10.60508,4.582241E-10,4.610755E-10,-34.74807,-34.52182
'[18:41:00.092 20/01/2026]',4.59022,-6.374136,-2.459367,-34.63131,4.215271E-10,4.610755E-10,-3.287855,-12.0551
'[18:41:00.096 20/01/2026]',4.59022,-6.374136,-2.459367,-34.63131,4.215271E-10,4.610755E-10,-3.287855,-12.0551
'[18:41:00.100 20/01/2026]',4.59022,-6.374136,-2.459367,-34.63131,4.215271E-10,4.610755E-10,-3.287855,-12.0551
'[18:41:00.104 20/01/2026]',4.59022,-6.374136,-2.459367,-34.63131,4.215271E-10,4.610755E-10,-3.287855,-12.0551
'[18:41:00.108 20/01/2026]',4.59022,-6.374136,-2.459367,-34.63131,4.215271E-10,4.610755E-10,-3.287855,-12.0551
'[18:41:00.112 20/01/2026]',10.1396,23.50036,18.55317,20.04169,4.393641E-10,4.610755E-10,19.62417,24.46864
'[18:41:00.116 20/01/2026]',10.1396,23.50036,18.55317,20.04169,4.393641E-10,4.610755E-10,19.62417,24.46864
