'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:53:00.885 21/01/2026]',0.21,0.22,0.23,0.20,0.00,0.00,0.26,1.21,2.18,1.38,1.25,1.32,0.00,0.00,0.50,10.54,1.59,1.48,1.54,1.48,0.00,0.00,1.55,16.71,1.41,1.06,1.23,1.55,0.00,0.00,1.07,8.98,0.08,0.08,0.15,0.08,0.00,0.00,0.09,0.32,0
'[11:53:00.920 21/01/2026]',0.21,0.22,0.21,0.19,0.00,0.00,0.26,1.17,2.15,1.34,1.22,1.29,0.00,0.00,0.49,10.16,1.53,1.47,1.51,1.47,0.00,0.00,1.52,16.73,1.38,1.05,1.28,1.55,0.00,0.00,1.11,8.75,0.09,0.08,0.14,0.08,0.00,0.00,0.09,0.31,0
'[11:53:00.953 21/01/2026]',0.23,0.21,0.21,0.18,0.00,0.00,0.25,1.19,2.12,1.29,1.19,1.26,0.00,0.00,0.49,9.80,1.55,1.47,1.48,1.47,0.00,0.00,1.48,16.68,1.37,1.04,1.33,1.55,0.00,0.00,1.15,8.43,0.09,0.07,0.13,0.07,0.00,0.00,0.09,0.30,0
'[11:53:00.986 21/01/2026]',0.23,0.21,0.21,0.18,0.00,0.00,0.25,1.17,2.07,1.24,1.16,1.22,0.00,0.00,0.49,9.37,1.59,1.47,1.45,1.46,0.00,0.00,1.45,16.66,1.39,1.04,1.37,1.56,0.00,0.00,1.19,8.03,0.08,0.07,0.13,0.07,0.00,0.00,0.09,0.31,0
'[11:53:01.018 21/01/2026]',0.23,0.21,0.21,0.18,0.00,0.00,0.25,1.19,2.01,1.18,1.13,1.17,0.00,0.00,0.49,8.97,1.61,1.47,1.41,1.45,0.00,0.00,1.43,16.61,1.42,1.06,1.41,1.57,0.00,0.00,1.22,7.66,0.08,0.07,0.12,0.07,0.00,0.00,0.08,0.30,0
'[11:53:01.050 21/01/2026]',0.23,0.20,0.21,0.18,0.00,0.00,0.24,1.16,1.95,1.12,1.08,1.13,0.00,0.00,0.49,8.52,1.61,1.47,1.34,1.44,0.00,0.00,1.42,16.54,1.43,1.08,1.42,1.58,0.00,0.00,1.23,7.37,0.08,0.07,0.12,0.07,0.00,0.00,0.08,0.29,0
'[11:53:01.082 21/01/2026]',0.22,0.19,0.21,0.19,0.00,0.00,0.23,1.14,1.87,1.05,1.01,1.06,0.00,0.00,0.48,8.09,1.59,1.46,1.27,1.40,0.00,0.00,1.42,16.46,1.44,1.09,1.42,1.57,0.00,0.00,1.24,7.12,0.08,0.07,0.12,0.06,0.00,0.00,0.08,0.29,0
'[11:53:01.112 21/01/2026]',0.22,0.18,0.20,0.18,0.00,0.00,0.22,1.10,1.77,0.98,0.96,1.00,0.00,0.00,0.48,7.67,1.56,1.45,1.19,1.34,0.00,0.00,1.42,16.30,1.43,1.09,1.40,1.55,0.00,0.00,1.25,6.89,0.09,0.07,0.11,0.06,0.00,0.00,0.08,0.29,0
