'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:08:50.273 20/01/2026]',0.84,0.50,0.27,0.46,0.00,0.00,0.31,0.56,3.02,1.70,1.09,1.36,0.00,0.00,0.99,1.56,5.85,2.82,2.25,4.02,0.00,0.00,1.74,4.32,3.84,1.64,1.93,4.89,0.00,0.00,1.36,3.98,0.18,0.10,0.06,0.08,0.00,0.00,0.06,0.10,0
'[13:08:50.343 20/01/2026]',0.88,0.51,0.26,0.45,0.00,0.00,0.29,0.53,3.12,1.83,1.10,1.38,0.00,0.00,0.93,1.58,5.83,3.09,2.34,4.01,0.00,0.00,1.64,4.18,3.93,1.78,1.96,4.89,0.00,0.00,1.43,3.98,0.18,0.11,0.06,0.08,0.00,0.00,0.06,0.09,0
'[13:08:50.409 20/01/2026]',0.89,0.49,0.26,0.46,0.00,0.00,0.28,0.53,3.24,1.96,1.11,1.39,0.00,0.00,0.87,1.56,5.81,3.36,2.43,4.02,0.00,0.00,1.54,4.01,4.01,1.89,1.97,4.91,0.00,0.00,1.48,3.99,0.18,0.10,0.06,0.09,0.00,0.00,0.05,0.09,0
'[13:08:50.475 20/01/2026]',0.89,0.48,0.27,0.48,0.00,0.00,0.29,0.53,3.35,2.08,1.10,1.41,0.00,0.00,0.84,1.53,5.80,3.62,2.53,4.05,0.00,0.00,1.43,3.85,4.07,1.97,1.97,4.91,0.00,0.00,1.53,3.98,0.17,0.10,0.06,0.10,0.00,0.00,0.06,0.10,0
'[13:08:50.540 20/01/2026]',0.91,0.48,0.27,0.52,0.00,0.00,0.29,0.57,3.44,2.18,1.10,1.42,0.00,0.00,0.82,1.44,5.77,3.86,2.63,4.14,0.00,0.00,1.53,3.75,4.14,2.04,1.95,4.86,0.00,0.00,1.58,3.90,0.17,0.09,0.06,0.10,0.00,0.00,0.06,0.10,0
'[13:08:50.606 20/01/2026]',0.89,0.47,0.26,0.50,0.00,0.00,0.29,0.55,3.49,2.27,1.11,1.37,0.00,0.00,0.82,1.38,5.73,4.09,2.73,4.25,0.00,0.00,1.64,3.76,4.23,2.09,1.94,4.77,0.00,0.00,1.64,3.77,0.16,0.09,0.06,0.11,0.00,0.00,0.06,0.11,0
'[13:08:50.672 20/01/2026]',0.88,0.47,0.26,0.48,0.00,0.00,0.27,0.52,3.55,2.36,1.12,1.33,0.00,0.00,0.83,1.34,5.69,4.30,2.82,4.35,0.00,0.00,1.74,3.88,4.32,2.14,1.92,4.63,0.00,0.00,1.72,3.61,0.16,0.09,0.06,0.12,0.00,0.00,0.06,0.12,0
'[13:08:50.735 20/01/2026]',0.90,0.46,0.25,0.48,0.00,0.00,0.26,0.50,3.59,2.45,1.12,1.36,0.00,0.00,0.84,1.33,5.63,4.47,2.90,4.45,0.00,0.00,1.84,4.01,4.38,2.17,1.89,4.47,0.00,0.00,1.80,3.45,0.15,0.09,0.06,0.13,0.00,0.00,0.06,0.12,0
