'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:08:00.000 20/01/2026]',-121620,-177508,-90204.8,-122673.9,-375000,-375000,-146982.3,-139932.5,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.004 20/01/2026]',-121710.5,-177488.5,-90185.13,-122765.6,-375000,-375000,-147005.8,-140007.4,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.008 20/01/2026]',-121719.2,-177514.2,-90207.84,-122710.3,-375000,-375000,-146989,-139978.2,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.012 20/01/2026]',-121612.9,-177522.9,-90222.77,-122580.4,-375000,-375000,-146949.3,-139880.9,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.016 20/01/2026]',-121611.4,-177497,-90202.52,-122635.6,-375000,-375000,-146978.5,-139914.2,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.020 20/01/2026]',-121710.8,-177456.2,-90181.2,-122756.9,-375000,-375000,-147018.9,-140011.3,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.024 20/01/2026]',-121730.9,-177486.9,-90191.03,-122709.7,-375000,-375000,-146981,-139970.5,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.028 20/01/2026]',-121613.6,-177505.1,-90190.49,-122547.2,-375000,-375000,-146901.7,-139831.9,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.032 20/01/2026]',-121575.6,-177483.4,-90168.72,-122558.6,-375000,-375000,-146911,-139830.7,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.036 20/01/2026]',-121620,-177508,-90204.8,-122673.9,-375000,-375000,-146982.3,-139932.5,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.040 20/01/2026]',-121710.5,-177488.5,-90185.13,-122765.6,-375000,-375000,-147005.8,-140007.4,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.044 20/01/2026]',-121719.2,-177514.2,-90207.84,-122710.3,-375000,-375000,-146989,-139978.2,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.048 20/01/2026]',-121612.9,-177522.9,-90222.77,-122580.4,-375000,-375000,-146949.3,-139880.9,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.052 20/01/2026]',-121611.4,-177497,-90202.52,-122635.6,-375000,-375000,-146978.5,-139914.2,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.056 20/01/2026]',-121710.8,-177456.2,-90181.2,-122756.9,-375000,-375000,-147018.9,-140011.3,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.060 20/01/2026]',-121730.9,-177486.9,-90191.03,-122709.7,-375000,-375000,-146981,-139970.5,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.064 20/01/2026]',-121613.6,-177505.1,-90190.49,-122547.2,-375000,-375000,-146901.7,-139831.9,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.068 20/01/2026]',-121575.6,-177483.4,-90168.72,-122558.6,-375000,-375000,-146911,-139830.7,0.05,0.02,0.89,-4,0,-2,51,0
'[13:08:00.072 20/01/2026]',-121718.5,-177472.1,-90158.84,-122729,-375000,-375000,-146982,-139969.4,0.05,0.00,0.88,-4,0,-2,51,0
'[13:08:00.076 20/01/2026]',-121745.5,-177462.4,-90155.94,-122707.2,-375000,-375000,-146964.1,-139962,0.05,0.00,0.88,-4,0,-2,51,0
'[13:08:00.080 20/01/2026]',-121651.2,-177486.7,-90177.44,-122575.9,-375000,-375000,-146913.5,-139859.3,0.05,0.00,0.88,-4,0,-2,51,0
