'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:39:00.000 21/01/2026]',-104185.2,-164698.5,-83465.79,18093.96,-375000,-375000,-139095.7,-118219.3,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.004 21/01/2026]',-104184.3,-164706.9,-83473.8,18089.31,-375000,-375000,-139100.8,-118224.6,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.008 21/01/2026]',-104183.7,-164709.3,-83484.97,18095.26,-375000,-375000,-139098.8,-118222,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.012 21/01/2026]',-104199.4,-164713.9,-83482.87,18101.96,-375000,-375000,-139095.4,-118223.4,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.016 21/01/2026]',-104205.9,-164715.5,-83480.27,18078.18,-375000,-375000,-139105.2,-118232.2,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.020 21/01/2026]',-104205.7,-164715.4,-83475,18070.54,-375000,-375000,-139107.6,-118233.5,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.024 21/01/2026]',-104213.4,-164722.8,-83482.24,18086.99,-375000,-375000,-139112,-118236.1,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.028 21/01/2026]',-104210.4,-164721.4,-83487.52,18090.79,-375000,-375000,-139107.5,-118233.9,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.032 21/01/2026]',-104208.9,-164725,-83489.09,18072.95,-375000,-375000,-139115.2,-118243.9,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.036 21/01/2026]',-104212.1,-164728.7,-83488.14,18067.54,-375000,-375000,-139111.5,-118239,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.040 21/01/2026]',-104222.5,-164734.4,-83499.72,18074.92,-375000,-375000,-139118.5,-118243.9,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.044 21/01/2026]',-104230,-164738.1,-83510.98,18084.62,-375000,-375000,-139120.2,-118247.9,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.048 21/01/2026]',-104230.2,-164739.8,-83515.32,18056.1,-375000,-375000,-139135.3,-118263.3,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.052 21/01/2026]',-104227.7,-164738.9,-83508.17,18043.13,-375000,-375000,-139142.1,-118267.3,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.056 21/01/2026]',-104242.9,-164744.4,-83518.27,18048.32,-375000,-375000,-139146.1,-118269.7,0.03,0.00,0.88,-4,0,-2,38,0
'[12:39:00.060 21/01/2026]',-104237.3,-164745.6,-83524.4,18065.48,-375000,-375000,-139139.6,-118267.1,0.03,0.00,0.88,-4,0,-2,38,0
