'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:42:14.089 21/01/2026]',0.16,0.27,0.12,0.14,0.00,0.00,0.07,0.07,0.89,1.05,0.44,0.73,0.00,0.00,0.51,0.39,1.65,1.76,1.05,0.68,0.00,0.00,0.88,0.67,0.61,0.94,0.51,0.51,0.00,0.00,0.71,0.60,0.06,0.05,0.03,0.03,0.00,0.00,0.03,0.03,0
'[12:42:14.118 21/01/2026]',0.17,0.27,0.11,0.14,0.00,0.00,0.07,0.07,0.87,0.99,0.41,0.70,0.00,0.00,0.49,0.37,1.62,1.74,1.02,0.64,0.00,0.00,0.86,0.69,0.62,0.95,0.53,0.55,0.00,0.00,0.71,0.59,0.06,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.142 21/01/2026]',0.17,0.26,0.11,0.13,0.00,0.00,0.07,0.07,0.86,0.97,0.38,0.67,0.00,0.00,0.48,0.35,1.59,1.71,0.99,0.61,0.00,0.00,0.83,0.71,0.63,0.97,0.54,0.58,0.00,0.00,0.73,0.60,0.06,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.169 21/01/2026]',0.18,0.26,0.12,0.13,0.00,0.00,0.07,0.06,0.85,0.94,0.36,0.64,0.00,0.00,0.47,0.34,1.57,1.69,0.95,0.59,0.00,0.00,0.81,0.73,0.63,0.98,0.56,0.61,0.00,0.00,0.75,0.62,0.05,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.196 21/01/2026]',0.19,0.26,0.12,0.13,0.00,0.00,0.07,0.07,0.81,0.93,0.35,0.61,0.00,0.00,0.46,0.32,1.56,1.66,0.91,0.61,0.00,0.00,0.78,0.75,0.66,1.00,0.59,0.64,0.00,0.00,0.77,0.64,0.06,0.04,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.230 21/01/2026]',0.21,0.27,0.14,0.13,0.00,0.00,0.07,0.06,0.82,0.90,0.35,0.59,0.00,0.00,0.46,0.31,1.56,1.64,0.87,0.63,0.00,0.00,0.76,0.76,0.68,1.03,0.63,0.68,0.00,0.00,0.79,0.67,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.256 21/01/2026]',0.21,0.30,0.14,0.15,0.00,0.00,0.07,0.07,0.85,0.89,0.37,0.57,0.00,0.00,0.47,0.31,1.58,1.61,0.81,0.64,0.00,0.00,0.73,0.77,0.69,1.08,0.67,0.71,0.00,0.00,0.82,0.70,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[12:42:14.282 21/01/2026]',0.21,0.30,0.15,0.15,0.00,0.00,0.07,0.07,0.89,0.86,0.39,0.58,0.00,0.00,0.48,0.32,1.60,1.60,0.77,0.64,0.00,0.00,0.69,0.78,0.71,1.13,0.70,0.75,0.00,0.00,0.84,0.72,0.05,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
