'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:42:00.000 21/01/2026]',-3.232314,0.03422141,1.167581,0.7610597,4.610755E-10,4.610755E-10,-0.8917515,1.218768
'[18:42:00.008 21/01/2026]',-3.232314,0.03422141,1.167581,0.7610597,4.610755E-10,4.610755E-10,-0.8917515,1.218768
'[18:42:00.016 21/01/2026]',-3.232314,0.03422141,1.167581,0.7610597,4.610755E-10,4.610755E-10,-0.8917515,1.218768
'[18:42:00.024 21/01/2026]',-3.689712,-7.152543,-4.326114,-2.73317,4.610755E-10,4.610755E-10,0.63691,-1.667907
'[18:42:00.032 21/01/2026]',11.90863,13.11171,6.94172,6.927134,4.610755E-10,4.610755E-10,1.260611,0.6016974
'[18:42:00.040 21/01/2026]',-1.611915,-1.965908,0.1254826,-1.232671,4.610755E-10,4.610755E-10,1.695122,3.806721
'[18:42:00.048 21/01/2026]',-8.089449,-8.479692,-4.530076,-5.564754,4.610755E-10,4.610755E-10,-4.176575,-6.436777
'[18:42:00.056 21/01/2026]',1.811059,4.508811,0.4277427,1.784837,4.610755E-10,4.610755E-10,0.9646235,3.899079
'[18:42:00.064 21/01/2026]',1.811059,4.508811,0.4277427,1.784837,4.610755E-10,4.610755E-10,0.9646235,3.899079
'[18:42:00.072 21/01/2026]',4.702475,2.171813,3.688567,4.333966,4.610755E-10,4.610755E-10,2.183548,-1.071915
'[18:42:00.080 21/01/2026]',-0.2010012,-0.9985549,-1.496704,-1.485016,4.610755E-10,4.610755E-10,-0.511692,0.6880611
'[18:42:00.088 21/01/2026]',-4.808004,-1.920505,-2.059237,-5.299585,4.610755E-10,4.610755E-10,-3.965979,-2.32385
'[18:42:00.096 21/01/2026]',-4.808004,-1.920505,-2.059237,-5.299585,4.610755E-10,4.610755E-10,-3.965979,-2.32385
'[18:42:00.104 21/01/2026]',2.47557,0.6921954,2.811443,6.020306,4.610755E-10,4.610755E-10,5.133824,2.062573
'[18:42:00.112 21/01/2026]',1.299534,2.204608,-1.48335,-2.040649,4.610755E-10,4.610755E-10,-1.373927,0.4798988
'[18:42:00.120 21/01/2026]',1.299534,2.204608,-1.48335,-2.040649,4.610755E-10,4.610755E-10,-1.373927,0.4798988
'[18:42:00.128 21/01/2026]',1.299534,2.204608,-1.48335,-2.040649,4.610755E-10,4.610755E-10,-1.373927,0.4798988
'[18:42:00.136 21/01/2026]',-3.341057,-3.470143,0.1833909,-0.4751321,4.610755E-10,4.610755E-10,-2.315972,-2.899678
'[18:42:00.144 21/01/2026]',-0.6264806,1.227701,-1.414119,-1.963306,4.610755E-10,4.610755E-10,0.4419187,0.8260435
'[18:42:00.152 21/01/2026]',6.78129,3.689972,3.449194,5.660321,4.610755E-10,4.610755E-10,2.972471,2.998828
'[18:42:00.160 21/01/2026]',-4.209417,-5.486486,-0.347848,-2.84174,4.610755E-10,4.610755E-10,0.09984386,-1.659121
'[18:42:00.168 21/01/2026]',-3.865696,0.8763969,-2.504885,-1.688222,4.610755E-10,4.610755E-10,-3.15238,-1.559813
'[18:42:00.176 21/01/2026]',4.06706,4.206496,1.400537,2.486439,4.610755E-10,4.610755E-10,2.129833,2.91038
'[18:42:00.184 21/01/2026]',0.3445687,-5.318584,-1.063444,-3.271995,4.610755E-10,4.610755E-10,-1.86857,-4.090402
'[18:42:00.192 21/01/2026]',0.3445687,-5.318584,-1.063444,-3.271995,4.610755E-10,4.610755E-10,-1.86857,-4.090402
'[18:42:00.200 21/01/2026]',-4.557053,1.190777,0.7096715,2.495935,4.610755E-10,4.610755E-10,2.392308,4.636528
'[18:42:00.208 21/01/2026]',-4.557053,1.190777,0.7096715,2.495935,4.610755E-10,4.610755E-10,2.392308,4.636528
'[18:42:00.216 21/01/2026]',-4.557053,1.190777,0.7096715,2.495935,4.610755E-10,4.610755E-10,2.392308,4.636528
'[18:42:00.224 21/01/2026]',4.43422,1.232083,0.2330186,0.4654811,4.610755E-10,4.610755E-10,-2.97001,-3.423702
'[18:42:00.232 21/01/2026]',4.43422,1.232083,0.2330186,0.4654811,4.610755E-10,4.610755E-10,-2.97001,-3.423702
'[18:42:00.240 21/01/2026]',-3.481131,-4.755643,-3.301196,-5.764888,4.610755E-10,4.610755E-10,-2.178038,-3.470512
'[18:42:00.248 21/01/2026]',-3.481131,-4.755643,-3.301196,-5.764888,4.610755E-10,4.610755E-10,-2.178038,-3.470512
'[18:42:00.256 21/01/2026]',-3.481131,-4.755643,-3.301196,-5.764888,4.610755E-10,4.610755E-10,-2.178038,-3.470512
'[18:42:00.264 21/01/2026]',-3.481131,-4.755643,-3.301196,-5.764888,4.610755E-10,4.610755E-10,-2.178038,-3.470512
'[18:42:00.272 21/01/2026]',1.820766,7.710776,3.012669,5.502312,4.610755E-10,4.610755E-10,5.051576,6.116545
'[18:42:00.280 21/01/2026]',0.4104269,-3.138538,1.515605,2.444854,4.610755E-10,4.610755E-10,1.042362,1.078742
'[18:42:00.288 21/01/2026]',0.4104269,-3.138538,1.515605,2.444854,4.610755E-10,4.610755E-10,1.042362,1.078742
'[18:42:00.296 21/01/2026]',-2.258353,-0.9655231,-3.124181,-4.880446,4.610755E-10,4.610755E-10,-3.158594,-2.749389
'[18:42:00.304 21/01/2026]',-2.258353,-0.9655231,-3.124181,-4.880446,4.610755E-10,4.610755E-10,-3.158594,-2.749389
'[18:42:00.312 21/01/2026]',1.95012,0.4973135,0.3133023,0.2725132,4.610755E-10,4.610755E-10,-3.135298,-4.289877
'[18:42:00.320 21/01/2026]',1.95012,0.4973135,0.3133023,0.2725132,4.610755E-10,4.610755E-10,-3.135298,-4.289877
'[18:42:00.328 21/01/2026]',-0.7885171,0.121088,1.426911,1.811248,4.610755E-10,4.610755E-10,4.070315,4.940714
'[18:42:00.336 21/01/2026]',-0.7885171,0.121088,1.426911,1.811248,4.610755E-10,4.610755E-10,4.070315,4.940714
'[18:42:00.344 21/01/2026]',2.317262,2.546803,1.620377,1.802645,4.610755E-10,4.610755E-10,1.760319,0.6275061
'[18:42:00.352 21/01/2026]',2.317262,2.546803,1.620377,1.802645,4.610755E-10,4.610755E-10,1.760319,0.6275061
'[18:42:00.360 21/01/2026]',2.317262,2.546803,1.620377,1.802645,4.610755E-10,4.610755E-10,1.760319,0.6275061
'[18:42:00.368 21/01/2026]',2.317262,2.546803,1.620377,1.802645,4.610755E-10,4.610755E-10,1.760319,0.6275061
'[18:42:00.376 21/01/2026]',-2.5271,-2.413422,-2.978433,-2.892026,4.610755E-10,4.610755E-10,-3.336797,-2.215399
'[18:42:00.384 21/01/2026]',-1.217115,-3.428855,-0.9376175,-2.246029,4.610755E-10,4.610755E-10,-0.9017581,-0.1149934
'[18:42:00.392 21/01/2026]',-1.217115,-3.428855,-0.9376175,-2.246029,4.610755E-10,4.610755E-10,-0.9017581,-0.1149934
'[18:42:00.400 21/01/2026]',5.642823,6.452114,5.271575,6.257457,4.610755E-10,4.610755E-10,2.880944,1.405468
'[18:42:00.408 21/01/2026]',5.642823,6.452114,5.271575,6.257457,4.610755E-10,4.610755E-10,2.880944,1.405468
'[18:42:00.416 21/01/2026]',-3.332145,-1.970196,-3.661929,-1.488912,4.610755E-10,4.610755E-10,2.121957,2.119725
'[18:42:00.424 21/01/2026]',-3.332145,-1.970196,-3.661929,-1.488912,4.610755E-10,4.610755E-10,2.121957,2.119725
'[18:42:00.432 21/01/2026]',-3.332145,-1.970196,-3.661929,-1.488912,4.610755E-10,4.610755E-10,2.121957,2.119725
'[18:42:00.440 21/01/2026]',-3.332145,-1.970196,-3.661929,-1.488912,4.610755E-10,4.610755E-10,2.121957,2.119725
'[18:42:00.448 21/01/2026]',-1.453323,-0.7882139,1.278744,-1.670615,4.610755E-10,4.610755E-10,-4.145133,-3.344826
'[18:42:00.456 21/01/2026]',1.288109,-1.262814,-1.291894,-0.189951,4.610755E-10,4.610755E-10,-0.04613097,-0.3210892
'[18:42:00.464 21/01/2026]',1.288109,-1.262814,-1.291894,-0.189951,4.610755E-10,4.610755E-10,-0.04613097,-0.3210892
