'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:23:21.682 21/01/2026]',0.12,0.19,0.10,0.12,0.00,0.00,0.10,0.12,0.95,1.19,0.87,0.89,0.00,0.00,0.57,0.38,1.22,1.56,1.13,1.05,0.00,0.00,0.94,0.91,0.75,1.16,0.49,0.61,0.00,0.00,0.66,0.57,0.04,0.06,0.03,0.03,0.00,0.00,0.03,0.03,0
'[11:23:21.696 21/01/2026]',0.11,0.18,0.10,0.11,0.00,0.00,0.10,0.12,0.95,1.18,0.87,0.89,0.00,0.00,0.57,0.37,1.23,1.56,1.14,1.06,0.00,0.00,0.94,0.91,0.76,1.15,0.50,0.61,0.00,0.00,0.66,0.56,0.04,0.06,0.03,0.03,0.00,0.00,0.03,0.03,0
'[11:23:21.712 21/01/2026]',0.11,0.17,0.10,0.11,0.00,0.00,0.10,0.12,0.95,1.18,0.87,0.89,0.00,0.00,0.58,0.37,1.24,1.55,1.14,1.06,0.00,0.00,0.93,0.92,0.76,1.14,0.51,0.62,0.00,0.00,0.66,0.56,0.04,0.06,0.03,0.03,0.00,0.00,0.03,0.03,0
'[11:23:21.728 21/01/2026]',0.11,0.16,0.10,0.11,0.00,0.00,0.10,0.12,0.95,1.17,0.86,0.88,0.00,0.00,0.58,0.36,1.25,1.55,1.15,1.07,0.00,0.00,0.92,0.92,0.76,1.13,0.51,0.62,0.00,0.00,0.67,0.56,0.04,0.06,0.03,0.03,0.00,0.00,0.02,0.03,0
'[11:23:21.744 21/01/2026]',0.10,0.15,0.10,0.10,0.00,0.00,0.10,0.11,0.95,1.17,0.86,0.88,0.00,0.00,0.59,0.36,1.25,1.55,1.15,1.08,0.00,0.00,0.91,0.92,0.77,1.13,0.52,0.62,0.00,0.00,0.67,0.56,0.04,0.06,0.03,0.03,0.00,0.00,0.02,0.03,0
'[11:23:21.761 21/01/2026]',0.10,0.15,0.10,0.10,0.00,0.00,0.10,0.11,0.95,1.16,0.86,0.88,0.00,0.00,0.59,0.36,1.26,1.55,1.15,1.09,0.00,0.00,0.91,0.93,0.77,1.12,0.53,0.62,0.00,0.00,0.66,0.56,0.04,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[11:23:21.778 21/01/2026]',0.10,0.15,0.10,0.10,0.00,0.00,0.10,0.10,0.96,1.16,0.86,0.88,0.00,0.00,0.60,0.36,1.27,1.55,1.16,1.09,0.00,0.00,0.90,0.93,0.77,1.12,0.54,0.62,0.00,0.00,0.66,0.56,0.04,0.05,0.03,0.03,0.00,0.00,0.02,0.03,0
'[11:23:21.795 21/01/2026]',0.10,0.14,0.10,0.10,0.00,0.00,0.10,0.10,0.96,1.15,0.86,0.88,0.00,0.00,0.61,0.36,1.27,1.55,1.16,1.10,0.00,0.00,0.89,0.93,0.78,1.12,0.55,0.62,0.00,0.00,0.66,0.56,0.04,0.05,0.03,0.02,0.00,0.00,0.02,0.03,0
