'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[11:34:00.000 21/01/2026]',-105236.5,-171844,-115567.8,21593.8,-375000,-375000,-147945.1,-127799.4,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.004 21/01/2026]',-106725,-174314.2,-117021.9,20275.76,-375000,-375000,-149221.1,-128884.1,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.008 21/01/2026]',-105115.6,-172675.7,-115343.1,22142.8,-375000,-375000,-147766.8,-127242.1,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.012 21/01/2026]',-103462.8,-170068.2,-113712.7,23663.17,-375000,-375000,-146347,-125975,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.016 21/01/2026]',-104851.2,-171332.5,-115178.9,21992.02,-375000,-375000,-147599.8,-127454,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.020 21/01/2026]',-106665.8,-174112.7,-116978.8,20276.47,-375000,-375000,-149177,-128893.5,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.024 21/01/2026]',-105496.3,-173178.8,-115727,21744.27,-375000,-375000,-148103.7,-127581.8,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.028 21/01/2026]',-103558.4,-170307.8,-113797.1,23620.96,-375000,-375000,-146426.2,-126012,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.032 21/01/2026]',-104447.2,-170822,-114760.7,22409.81,-375000,-375000,-147256,-127113.3,0.03,-0.02,0.86,-4,0,-2,37,0
'[11:34:00.036 21/01/2026]',-105236.5,-171844,-115567.8,21593.8,-375000,-375000,-147945.1,-127799.4,0.03,-0.02,0.86,-4,0,-2,37,0
