'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[13:33:35.415 20/01/2026]',0.99,0.75,0.79,0.78,0.00,0.00,0.68,0.49,8.58,7.01,4.93,5.09,0.00,0.00,3.84,3.08,5.62,5.56,8.24,8.49,0.00,0.00,7.58,5.65,3.49,2.37,2.22,2.19,0.00,0.00,1.75,1.15,0.19,0.17,0.23,0.20,0.00,0.00,0.21,0.14,0
'[13:33:35.453 20/01/2026]',0.95,0.72,0.84,0.81,0.00,0.00,0.73,0.51,8.27,6.73,4.68,4.82,0.00,0.00,3.70,2.95,5.79,5.73,8.51,8.76,0.00,0.00,7.85,5.86,3.59,2.48,2.36,2.33,0.00,0.00,1.88,1.27,0.19,0.18,0.24,0.22,0.00,0.00,0.22,0.16,0
'[13:33:35.475 20/01/2026]',0.92,0.72,0.88,0.84,0.00,0.00,0.77,0.56,7.98,6.44,4.45,4.55,0.00,0.00,3.57,2.87,5.94,5.87,8.76,9.03,0.00,0.00,8.09,6.06,3.69,2.57,2.49,2.47,0.00,0.00,2.00,1.34,0.19,0.18,0.25,0.24,0.00,0.00,0.23,0.16,0
'[13:33:35.500 20/01/2026]',0.98,0.72,0.93,0.87,0.00,0.00,0.83,0.60,7.59,6.18,4.30,4.31,0.00,0.00,3.54,2.79,6.05,6.00,8.97,9.29,0.00,0.00,8.29,6.25,3.71,2.65,2.57,2.60,0.00,0.00,2.06,1.43,0.18,0.18,0.24,0.26,0.00,0.00,0.22,0.16,0
'[13:33:35.522 20/01/2026]',0.98,0.77,0.90,0.94,0.00,0.00,0.80,0.64,7.26,5.81,4.15,4.19,0.00,0.00,3.49,2.77,6.14,6.08,9.18,9.48,0.00,0.00,8.50,6.42,3.70,2.68,2.67,2.67,0.00,0.00,2.13,1.49,0.19,0.18,0.25,0.25,0.00,0.00,0.23,0.16,0
'[13:33:35.543 20/01/2026]',1.03,0.77,0.96,0.93,0.00,0.00,0.85,0.61,6.92,5.50,4.09,4.09,0.00,0.00,3.51,2.72,6.16,6.15,9.32,9.67,0.00,0.00,8.63,6.61,3.65,2.70,2.70,2.75,0.00,0.00,2.13,1.56,0.19,0.19,0.24,0.25,0.00,0.00,0.22,0.17,0
'[13:33:35.564 20/01/2026]',1.08,0.81,1.01,0.98,0.00,0.00,0.90,0.65,6.60,5.21,4.04,4.07,0.00,0.00,3.54,2.75,6.18,6.16,9.44,9.80,0.00,0.00,8.75,6.72,3.61,2.66,2.72,2.77,0.00,0.00,2.13,1.56,0.18,0.19,0.23,0.25,0.00,0.00,0.22,0.17,0
'[13:33:35.584 20/01/2026]',1.12,0.86,1.05,1.02,0.00,0.00,0.95,0.69,6.31,4.94,3.99,4.04,0.00,0.00,3.56,2.77,6.20,6.16,9.55,9.92,0.00,0.00,8.86,6.82,3.57,2.62,2.74,2.79,0.00,0.00,2.13,1.57,0.18,0.18,0.23,0.24,0.00,0.00,0.21,0.16,0
