'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[13:02:00.000 21/01/2026]',-131842.7,-213615.9,-121269.1,-36768.04,-375000,-375000,-177519.4,-148221.3,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.004 21/01/2026]',-131761.6,-213524.6,-121170.6,-36758.87,-375000,-375000,-177930.9,-148354.8,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.008 21/01/2026]',-131718.8,-213485.1,-121136,-36705.14,-375000,-375000,-177902.3,-148320.6,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.012 21/01/2026]',-131797.8,-213583.8,-121240.3,-36717.57,-375000,-375000,-177531.8,-148202.9,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.016 21/01/2026]',-131851.2,-213630.3,-121288.5,-36769.38,-375000,-375000,-177471,-148199.3,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.020 21/01/2026]',-131772.8,-213541.9,-121183,-36761.42,-375000,-375000,-177876.7,-148334.8,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.024 21/01/2026]',-131704.2,-213462.3,-121107.4,-36692.93,-375000,-375000,-177935.7,-148327.5,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.028 21/01/2026]',-131778.3,-213549.4,-121212.3,-36703.62,-375000,-375000,-177594.7,-148219.3,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.032 21/01/2026]',-131850.6,-213626.8,-121293,-36765.31,-375000,-375000,-177447.2,-148192.4,0.03,0.00,0.89,-4,0,-2,28,0
'[13:02:00.036 21/01/2026]',-131799.7,-213548.7,-121218.6,-36773.85,-375000,-375000,-177820.6,-148321.4,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.040 21/01/2026]',-131726.8,-213468.7,-121125.3,-36722.08,-375000,-375000,-177981.4,-148355.2,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.044 21/01/2026]',-131772,-213536.2,-121197.9,-36711.58,-375000,-375000,-177671.8,-148254.4,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.048 21/01/2026]',-131851.1,-213617.5,-121287.7,-36762.45,-375000,-375000,-177438.7,-148197.3,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.052 21/01/2026]',-131816.7,-213577.6,-121247.5,-36784.8,-375000,-375000,-177751.2,-148307.3,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.056 21/01/2026]',-131727.8,-213482.1,-121147.3,-36725.66,-375000,-375000,-177975.8,-148354.2,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.060 21/01/2026]',-131749.2,-213511.1,-121182.2,-36694.28,-375000,-375000,-177717.5,-148256.2,0.02,0.00,0.88,-4,0,-2,28,0
'[13:02:00.064 21/01/2026]',-131840.2,-213615.6,-121282.2,-36753.69,-375000,-375000,-177449.5,-148191.1,0.02,0.00,0.88,-4,0,-2,28,0
