'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:58:00.000 21/01/2026]',-128515.2,-206870.2,-117505.9,-34439.88,-375000,-375000,-172865.9,-144734.7,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.004 21/01/2026]',-128556.8,-206908.4,-117556.4,-34461.38,-375000,-375000,-172680.6,-144600.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.008 21/01/2026]',-128560.1,-206918.9,-117562,-34486.95,-375000,-375000,-172839.8,-144764.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.012 21/01/2026]',-128513.5,-206869.3,-117506.2,-34470.73,-375000,-375000,-173035.4,-144894.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.016 21/01/2026]',-128512.1,-206867.8,-117506.4,-34450.92,-375000,-375000,-172910.2,-144776.9,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.020 21/01/2026]',-128562.3,-206923.9,-117566,-34477.3,-375000,-375000,-172708.1,-144635.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.024 21/01/2026]',-128568.4,-206930.8,-117574.3,-34491.69,-375000,-375000,-172794.8,-144747.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.028 21/01/2026]',-128509.6,-206860.5,-117501,-34460.89,-375000,-375000,-173000.1,-144888.4,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.032 21/01/2026]',-128488.1,-206834,-117476.6,-34422.76,-375000,-375000,-172908.5,-144785.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.036 21/01/2026]',-128515.2,-206870.2,-117505.9,-34439.88,-375000,-375000,-172865.9,-144734.7,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.040 21/01/2026]',-128556.8,-206908.4,-117556.4,-34461.38,-375000,-375000,-172680.6,-144600.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.044 21/01/2026]',-128560.1,-206918.9,-117562,-34486.95,-375000,-375000,-172839.8,-144764.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.048 21/01/2026]',-128513.5,-206869.3,-117506.2,-34470.73,-375000,-375000,-173035.4,-144894.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.052 21/01/2026]',-128512.1,-206867.8,-117506.4,-34450.92,-375000,-375000,-172910.2,-144776.9,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.056 21/01/2026]',-128562.3,-206923.9,-117566,-34477.3,-375000,-375000,-172708.1,-144635.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.060 21/01/2026]',-128568.4,-206930.8,-117574.3,-34491.69,-375000,-375000,-172794.8,-144747.6,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.064 21/01/2026]',-128509.6,-206860.5,-117501,-34460.89,-375000,-375000,-173000.1,-144888.4,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.068 21/01/2026]',-128488.1,-206834,-117476.6,-34422.76,-375000,-375000,-172908.5,-144785.8,0.03,-0.02,0.88,-4,0,-2,34,0
'[12:58:00.072 21/01/2026]',-128538.9,-206890.7,-117537.5,-34448.46,-375000,-375000,-172690.8,-144613.1,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.076 21/01/2026]',-128557.6,-206916.1,-117556.9,-34473.59,-375000,-375000,-172715.2,-144676.8,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.080 21/01/2026]',-128520.1,-206869.6,-117506.3,-34471.35,-375000,-375000,-172965.4,-144864.1,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.084 21/01/2026]',-128496,-206833.6,-117478.6,-34440.46,-375000,-375000,-172946.9,-144810.1,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.088 21/01/2026]',-128552.1,-206904.1,-117548,-34471.57,-375000,-375000,-172754.4,-144657,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.092 21/01/2026]',-128572.1,-206928.9,-117573.9,-34490.04,-375000,-375000,-172719.6,-144664.2,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.096 21/01/2026]',-128530.1,-206875,-117522,-34475.91,-375000,-375000,-172952.1,-144836.1,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.100 21/01/2026]',-128489.1,-206827.4,-117472.3,-34436.53,-375000,-375000,-172979,-144809.6,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.104 21/01/2026]',-128512.9,-206853.2,-117499.3,-34431.3,-375000,-375000,-172762.5,-144627.7,0.02,0.00,0.89,-4,0,-2,34,0
'[12:58:00.108 21/01/2026]',-128555,-206900.3,-117541.4,-34463.66,-375000,-375000,-172679.3,-144584.8,0.03,0.00,0.89,-4,0,-2,34,0
'[12:58:00.112 21/01/2026]',-128526.5,-206870.7,-117513.9,-34471.48,-375000,-375000,-172921.9,-144794.8,0.03,0.00,0.89,-4,0,-2,34,0
'[12:58:00.116 21/01/2026]',-128466.5,-206803.3,-117449.8,-34430.13,-375000,-375000,-173012,-144820.3,0.03,0.00,0.89,-4,0,-2,34,0
'[12:58:00.120 21/01/2026]',-128506.1,-206847.4,-117495.3,-34449.36,-375000,-375000,-172849.3,-144672.2,0.03,0.00,0.89,-4,0,-2,34,0
