'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[12:10:46.018 21/01/2026]',1.16,0.74,0.74,0.58,0.00,0.00,0.23,0.26,5.71,4.26,2.23,2.66,0.00,0.00,2.34,2.98,3.85,7.19,2.32,3.36,0.00,0.00,2.76,2.73,1.34,1.97,0.87,2.58,0.00,0.00,1.33,1.16,0.10,0.11,0.07,0.08,0.00,0.00,0.07,0.09,0
'[12:10:46.079 21/01/2026]',1.15,0.74,0.74,0.58,0.00,0.00,0.23,0.27,5.73,4.32,2.20,2.70,0.00,0.00,2.26,2.90,3.96,7.46,2.40,3.39,0.00,0.00,2.69,2.64,1.34,1.96,0.89,2.62,0.00,0.00,1.33,1.19,0.10,0.11,0.07,0.07,0.00,0.00,0.07,0.09,0
'[12:10:46.142 21/01/2026]',1.15,0.75,0.73,0.58,0.00,0.00,0.23,0.26,5.73,4.36,2.17,2.73,0.00,0.00,2.18,2.80,4.06,7.69,2.46,3.43,0.00,0.00,2.61,2.53,1.33,1.94,0.91,2.65,0.00,0.00,1.31,1.21,0.10,0.11,0.07,0.08,0.00,0.00,0.07,0.08,0
'[12:10:46.186 21/01/2026]',1.17,0.73,0.73,0.58,0.00,0.00,0.24,0.26,5.72,4.39,2.15,2.76,0.00,0.00,2.08,2.69,4.17,7.88,2.52,3.45,0.00,0.00,2.53,2.42,1.31,1.90,0.93,2.67,0.00,0.00,1.27,1.22,0.10,0.11,0.07,0.07,0.00,0.00,0.07,0.08,0
'[12:10:46.191 21/01/2026]',1.17,0.70,0.73,0.59,0.00,0.00,0.23,0.26,5.71,4.50,2.13,2.78,0.00,0.00,1.98,2.57,4.28,8.05,2.57,3.47,0.00,0.00,2.47,2.32,1.27,1.86,0.95,2.69,0.00,0.00,1.22,1.20,0.10,0.11,0.07,0.07,0.00,0.00,0.07,0.08,0
'[12:10:46.206 21/01/2026]',1.18,0.67,0.73,0.58,0.00,0.00,0.23,0.25,5.71,4.60,2.12,2.78,0.00,0.00,1.90,2.46,4.38,8.21,2.62,3.51,0.00,0.00,2.42,2.24,1.22,1.83,0.95,2.69,0.00,0.00,1.18,1.17,0.10,0.10,0.07,0.06,0.00,0.00,0.07,0.08,0
'[12:10:46.223 21/01/2026]',1.20,0.68,0.74,0.59,0.00,0.00,0.23,0.25,5.72,4.74,2.12,2.81,0.00,0.00,1.83,2.37,4.47,8.37,2.65,3.55,0.00,0.00,2.37,2.16,1.17,1.81,0.94,2.67,0.00,0.00,1.12,1.15,0.10,0.11,0.07,0.06,0.00,0.00,0.07,0.08,0
'[12:10:46.240 21/01/2026]',1.22,0.70,0.74,0.60,0.00,0.00,0.22,0.25,5.75,4.88,2.13,2.84,0.00,0.00,1.76,2.28,4.56,8.53,2.66,3.58,0.00,0.00,2.31,2.08,1.11,1.77,0.92,2.65,0.00,0.00,1.08,1.11,0.09,0.11,0.07,0.06,0.00,0.00,0.07,0.08,0
