'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:10:00.000 21/01/2026]',-140050,-205353.6,-110450.6,-9021.343,-375000,-375000,-153495,-124394.1,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.004 21/01/2026]',-139943.7,-205521.1,-110502.9,-9047.404,-375000,-375000,-153478.9,-124361.8,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.008 21/01/2026]',-139902.1,-205445,-110485.4,-8981.422,-375000,-375000,-153449.3,-124335,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.012 21/01/2026]',-140034.9,-205264.2,-110435.2,-8947.761,-375000,-375000,-153460.6,-124365.4,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.016 21/01/2026]',-140074.9,-205309.6,-110442.9,-9007.082,-375000,-375000,-153479.7,-124386,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.020 21/01/2026]',-139968,-205517.7,-110508,-9046.958,-375000,-375000,-153468.3,-124353,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.024 21/01/2026]',-139943.3,-205490.4,-110517.9,-9002.344,-375000,-375000,-153449.8,-124328.1,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.028 21/01/2026]',-140036.5,-205289.5,-110452.9,-8950.175,-375000,-375000,-153460.5,-124356.3,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.032 21/01/2026]',-140059.7,-205273.6,-110416.8,-8991.078,-375000,-375000,-153476.2,-124388.5,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.036 21/01/2026]',-140050,-205353.6,-110450.6,-9021.343,-375000,-375000,-153495,-124394.1,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.040 21/01/2026]',-139943.7,-205521.1,-110502.9,-9047.404,-375000,-375000,-153478.9,-124361.8,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.044 21/01/2026]',-139902.1,-205445,-110485.4,-8981.422,-375000,-375000,-153449.3,-124335,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.048 21/01/2026]',-140034.9,-205264.2,-110435.2,-8947.761,-375000,-375000,-153460.6,-124365.4,0.02,0.00,0.89,-4,0,-2,19,0
'[12:10:00.052 21/01/2026]',-140074.9,-205309.6,-110442.9,-9007.082,-375000,-375000,-153479.7,-124386,0.02,0.00,0.89,-4,0,-2,19,0
