'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:10:00.000 21/01/2026]',-1.460773,0.7354575,-5.263568,-4.507458,4.610755E-10,4.610755E-10,-2.772045,-2.270332
'[18:10:00.004 21/01/2026]',0.968399,-1.540631,2.178661,3.922325,4.610755E-10,4.610755E-10,3.667785,2.114781
'[18:10:00.012 21/01/2026]',-2.171858,-4.411328,0.9209322,-0.6378067,4.610755E-10,4.610755E-10,1.808843,2.063848
'[18:10:00.020 21/01/2026]',-2.818479,2.614096,-3.53637,-7.205784,4.610755E-10,4.610755E-10,-6.082344,-4.04059
'[18:10:00.028 21/01/2026]',-1.802079,-8.321365,-1.273994,2.145451,4.610755E-10,4.610755E-10,1.238385,-1.475683
'[18:10:00.036 21/01/2026]',17.43313,24.54317,9.856899,7.739088,4.610755E-10,4.610755E-10,3.31648,4.158321
'[18:10:00.044 21/01/2026]',-11.60244,-9.460063,-7.853841,-2.423758,4.610755E-10,4.610755E-10,-1.916578,-2.214652
'[18:10:00.052 21/01/2026]',-4.730925,-12.65078,-1.327434,-0.7360029,4.610755E-10,4.610755E-10,1.46394,1.639275
'[18:10:00.060 21/01/2026]',8.015192,1.421386,5.447945,0.854004,4.610755E-10,4.610755E-10,-2.22938,-1.461705
'[18:10:00.068 21/01/2026]',-0.0180837,10.20218,-4.247739,-4.682759,4.610755E-10,4.610755E-10,2.442076,1.304626
'[18:10:00.076 21/01/2026]',-4.444572,-1.396803,-0.8224454,4.255686,4.610755E-10,4.610755E-10,-1.72218,0.514744
'[18:10:00.084 21/01/2026]',3.100867,-9.158815,1.888754,2.350036,4.610755E-10,4.610755E-10,-2.099283,-3.931496
'[18:10:00.092 21/01/2026]',-2.151365,-2.31022,-1.513271,-6.122395,4.610755E-10,4.610755E-10,4.580204,1.00318
'[18:10:00.100 21/01/2026]',-2.081594,19.57533,6.014886,4.689503,4.610755E-10,4.610755E-10,-1.410869,2.289295
'[18:10:00.108 21/01/2026]',5.086594,-10.00687,-6.825423,-2.216335,4.610755E-10,4.610755E-10,-0.9335147,0.4821957
'[18:10:00.116 21/01/2026]',-1.787054,-8.487417,3.094286,-2.984674,4.610755E-10,4.610755E-10,-0.8039171,-4.350288
'[18:10:00.124 21/01/2026]',2.618147,12.60821,2.973702,7.920745,4.610755E-10,4.610755E-10,3.710181,5.250295
'[18:10:00.132 21/01/2026]',-0.7147259,5.617654,-5.66004,-4.845243,4.610755E-10,4.610755E-10,-4.143439,-3.652637
'[18:10:00.140 21/01/2026]',-1.918135,-18.40851,3.590576,-0.8142569,4.610755E-10,4.610755E-10,4.125726,3.033288
'[18:10:00.148 21/01/2026]',3.549619,0.4051443,-2.25968,-0.3932437,4.610755E-10,4.610755E-10,-3.223674,-3.147182
'[18:10:00.156 21/01/2026]',-2.126972,9.443628,-0.8872082,2.580517,4.610755E-10,4.610755E-10,-0.02818396,1.374627
'[18:10:00.164 21/01/2026]',-2.126972,9.443628,-0.8872082,2.580517,4.610755E-10,4.610755E-10,-0.02818396,1.374627
'[18:10:00.172 21/01/2026]',-2.126972,9.443628,-0.8872082,2.580517,4.610755E-10,4.610755E-10,-0.02818396,1.374627
'[18:10:00.180 21/01/2026]',-2.126972,9.443628,-0.8872082,2.580517,4.610755E-10,4.610755E-10,-0.02818396,1.374627
'[18:10:00.188 21/01/2026]',0.7226619,3.140788,2.090679,-0.614759,4.610755E-10,4.610755E-10,0.2855784,-1.155441
'[18:10:00.196 21/01/2026]',1.014164,-7.72542,-3.412569,-3.47037,4.610755E-10,4.610755E-10,2.207608,3.343517
'[18:10:00.204 21/01/2026]',-2.930526,-2.169173,4.176577,5.3583,4.610755E-10,4.610755E-10,-1.441756,-2.966047
'[18:10:00.212 21/01/2026]',-2.644466,3.647755,2.527297,-1.535269,4.610755E-10,4.610755E-10,-1.2484,0.4270589
'[18:10:00.220 21/01/2026]',-2.644466,3.647755,2.527297,-1.535269,4.610755E-10,4.610755E-10,-1.2484,0.4270589
'[18:10:00.228 21/01/2026]',5.715822,3.419725,-2.743824,-2.247942,4.610755E-10,4.610755E-10,0.3854832,0.6121905
'[18:10:00.236 21/01/2026]',-3.097346,-1.621734,-2.554677,0.1617085,4.610755E-10,4.610755E-10,-1.145297,-2.642595
'[18:10:00.244 21/01/2026]',-3.097346,-1.621734,-2.554677,0.1617085,4.610755E-10,4.610755E-10,-1.145297,-2.642595
'[18:10:00.252 21/01/2026]',2.250976,3.836244,3.927555,4.128879,4.610755E-10,4.610755E-10,2.931007,3.137738
'[18:10:00.260 21/01/2026]',2.250976,3.836244,3.927555,4.128879,4.610755E-10,4.610755E-10,2.931007,3.137738
'[18:10:00.268 21/01/2026]',-3.139578,-9.888774,-0.58246,-3.550126,4.610755E-10,4.610755E-10,-1.570107,-2.399436
'[18:10:00.276 21/01/2026]',0.412308,4.197948,-1.91996,0.7985659,4.610755E-10,4.610755E-10,0.3524431,2.566999
'[18:10:00.284 21/01/2026]',0.412308,4.197948,-1.91996,0.7985659,4.610755E-10,4.610755E-10,0.3524431,2.566999
'[18:10:00.292 21/01/2026]',0.412308,4.197948,-1.91996,0.7985659,4.610755E-10,4.610755E-10,0.3524431,2.566999
'[18:10:00.300 21/01/2026]',1.519909,2.142168,1.675666,1.880114,4.610755E-10,4.610755E-10,1.494623,1.454766
'[18:10:00.308 21/01/2026]',1.519909,2.142168,1.675666,1.880114,4.610755E-10,4.610755E-10,1.494623,1.454766
'[18:10:00.316 21/01/2026]',1.811729,1.457118,-0.660296,-0.508359,4.610755E-10,4.610755E-10,-1.792092,-4.449376
'[18:10:00.324 21/01/2026]',1.811729,1.457118,-0.660296,-0.508359,4.610755E-10,4.610755E-10,-1.792092,-4.449376
'[18:10:00.332 21/01/2026]',-1.927789,-3.578329,-0.7007503,-1.901227,4.610755E-10,4.610755E-10,0.292175,1.965674
'[18:10:00.340 21/01/2026]',-1.927789,-3.578329,-0.7007503,-1.901227,4.610755E-10,4.610755E-10,0.292175,1.965674
'[18:10:00.348 21/01/2026]',-0.3622022,2.724757,1.562828,2.434577,4.610755E-10,4.610755E-10,1.433046,3.787225
'[18:10:00.356 21/01/2026]',-0.3622022,2.724757,1.562828,2.434577,4.610755E-10,4.610755E-10,1.433046,3.787225
'[18:10:00.364 21/01/2026]',1.344141,-0.5440145,1.002184,0.06291573,4.610755E-10,4.610755E-10,1.115898,-1.540023
'[18:10:00.372 21/01/2026]',1.344141,-0.5440145,1.002184,0.06291573,4.610755E-10,4.610755E-10,1.115898,-1.540023
'[18:10:00.380 21/01/2026]',-1.214918,2.579914,4.118036,0.6148103,4.610755E-10,4.610755E-10,-0.3059683,0.6220711
'[18:10:00.388 21/01/2026]',-1.214918,2.579914,4.118036,0.6148103,4.610755E-10,4.610755E-10,-0.3059683,0.6220711
'[18:10:00.396 21/01/2026]',-1.214918,2.579914,4.118036,0.6148103,4.610755E-10,4.610755E-10,-0.3059683,0.6220711
'[18:10:00.404 21/01/2026]',2.31655,-4.002902,-7.478348,-1.500486,4.610755E-10,4.610755E-10,-1.771483,-2.381376
'[18:10:00.412 21/01/2026]',2.31655,-4.002902,-7.478348,-1.500486,4.610755E-10,4.610755E-10,-1.771483,-2.381376
'[18:10:00.420 21/01/2026]',-1.010474,2.93289,3.349519,3.475626,4.610755E-10,4.610755E-10,1.586811,2.033731
'[18:10:00.428 21/01/2026]',-1.010474,2.93289,3.349519,3.475626,4.610755E-10,4.610755E-10,1.586811,2.033731
'[18:10:00.436 21/01/2026]',-0.6923124,-1.06042,-0.7100795,-3.008834,4.610755E-10,4.610755E-10,2.164708,2.29355
'[18:10:00.444 21/01/2026]',-0.6923124,-1.06042,-0.7100795,-3.008834,4.610755E-10,4.610755E-10,2.164708,2.29355
'[18:10:00.452 21/01/2026]',1.656744,-0.571454,-1.490941,-0.9091321,4.610755E-10,4.610755E-10,-2.626079,-3.34793
'[18:10:00.460 21/01/2026]',1.656744,-0.571454,-1.490941,-0.9091321,4.610755E-10,4.610755E-10,-2.626079,-3.34793
'[18:10:00.468 21/01/2026]',-2.503326,3.054107,3.934389,1.71398,4.610755E-10,4.610755E-10,-1.472658,-0.2818128
'[18:10:00.476 21/01/2026]',-2.503326,3.054107,3.934389,1.71398,4.610755E-10,4.610755E-10,-1.472658,-0.2818128
'[18:10:00.484 21/01/2026]',-2.111038,-7.859674,-2.596491,-0.3795475,4.610755E-10,4.610755E-10,-0.4326275,-1.024861
'[18:10:00.492 21/01/2026]',7.31922,9.881896,4.275175,5.35308,4.610755E-10,4.610755E-10,8.273202,8.645477
'[18:10:00.500 21/01/2026]',-8.432778,-4.437747,-6.104117,-8.109539,4.610755E-10,4.610755E-10,-8.753772,-10.08956
'[18:10:00.508 21/01/2026]',4.138283,-0.07674853,0.09952651,-0.3125423,4.610755E-10,4.610755E-10,3.115909,4.347796
'[18:10:00.516 21/01/2026]',4.436708,2.744437,4.65022,8.956332,4.610755E-10,4.610755E-10,3.584749,6.33999
'[18:10:00.524 21/01/2026]',-5.917088,-4.562679,-4.876318,-7.057894,4.610755E-10,4.610755E-10,-7.322299,-11.16288
'[18:10:00.532 21/01/2026]',-0.9683777,1.00497,2.447766,-0.220754,4.610755E-10,4.610755E-10,3.728162,4.871851
'[18:10:00.540 21/01/2026]',6.457821,5.51125,2.468614,6.537374,4.610755E-10,4.610755E-10,3.903224,5.36216
'[18:10:00.548 21/01/2026]',-6.860167,-6.478283,-5.890872,-6.123384,4.610755E-10,4.610755E-10,-6.682728,-6.921111
'[18:10:00.556 21/01/2026]',3.432458,1.840204,4.286113,0.3578199,4.610755E-10,4.610755E-10,3.107544,0.7727801
'[18:10:00.564 21/01/2026]',0.78528,4.91161,-0.4571853,4.734364,4.610755E-10,4.610755E-10,2.196704,4.004941
'[18:10:00.572 21/01/2026]',-4.622063,-7.644502,-2.187924,-5.390379,4.610755E-10,4.610755E-10,-3.881079,-3.906715
'[18:10:00.580 21/01/2026]',4.124944,7.71572,1.249909,5.127676,4.610755E-10,4.610755E-10,-0.8973205,2.576201
'[18:10:00.588 21/01/2026]',-5.688792,-10.68737,-0.7291005,1.002728,4.610755E-10,4.610755E-10,-4.549328,-4.751743
'[18:10:00.596 21/01/2026]',-18.87589,-19.79633,-0.7435908,-0.0388936,4.610755E-10,4.610755E-10,6.759282,7.033873
'[18:10:00.604 21/01/2026]',20.76131,-3.927014,-21.72504,-24.7676,4.610755E-10,4.610755E-10,2.675174,-0.4747804
'[18:10:00.612 21/01/2026]',49.83179,78.13399,-166.7478,-7.562382,4.610755E-10,4.610755E-10,0.9443355,-6.424543
'[18:10:00.620 21/01/2026]',-61.7362,-33.75728,12.94185,77.1731,4.610755E-10,4.610755E-10,-45.60143,-9.450053
'[18:10:00.628 21/01/2026]',12.17125,-13.00349,642.1006,-59.86181,4.610755E-10,4.610755E-10,102.772,40.86077
'[18:10:00.636 21/01/2026]',25.35994,-0.4160447,-435.2321,-109.2625,4.610755E-10,4.610755E-10,-38.31648,-22.17657
'[18:10:00.644 21/01/2026]',-54.38046,-12.70486,-194.2943,73.80666,4.610755E-10,4.610755E-10,-104.7547,-65.67449
