'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','AccX','AccY','AccZ','GyroX','GyroY','GyroZ','Battery','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]','uV','uV','uV','uV','uV','uV','uV','uV','G','G','G','Deg/s','Deg/s','Deg/s','%','Button'
'[12:06:00.000 21/01/2026]',-136355.8,-199731.5,-112692.6,-12916.13,-375000,-375000,-148594.9,-118601.5,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.004 21/01/2026]',-136288.4,-199697.6,-112559.2,-12855.34,-375000,-375000,-148523.9,-118544.9,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.008 21/01/2026]',-136342.4,-199733.5,-112663.7,-12907.55,-375000,-375000,-148588.7,-118582.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.012 21/01/2026]',-136413.2,-199785.3,-112819.3,-12992.89,-375000,-375000,-148668.8,-118640,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.016 21/01/2026]',-136364.5,-199751.5,-112714.3,-12927.04,-375000,-375000,-148605.3,-118600.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.020 21/01/2026]',-136281.9,-199672.7,-112542.9,-12840.67,-375000,-375000,-148513.9,-118532.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.024 21/01/2026]',-136313.3,-199696.8,-112628.9,-12881.67,-375000,-375000,-148560.8,-118555.3,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.028 21/01/2026]',-136415.2,-199782.7,-112805.7,-12979.7,-375000,-375000,-148656.2,-118621.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.032 21/01/2026]',-136385.5,-199776.8,-112757.6,-12952.75,-375000,-375000,-148634.2,-118618.2,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.036 21/01/2026]',-136355.8,-199731.5,-112692.6,-12916.13,-375000,-375000,-148594.9,-118601.5,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.040 21/01/2026]',-136288.4,-199697.6,-112559.2,-12855.34,-375000,-375000,-148523.9,-118544.9,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.044 21/01/2026]',-136342.4,-199733.5,-112663.7,-12907.55,-375000,-375000,-148588.7,-118582.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.048 21/01/2026]',-136413.2,-199785.3,-112819.3,-12992.89,-375000,-375000,-148668.8,-118640,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.052 21/01/2026]',-136364.5,-199751.5,-112714.3,-12927.04,-375000,-375000,-148605.3,-118600.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.056 21/01/2026]',-136281.9,-199672.7,-112542.9,-12840.67,-375000,-375000,-148513.9,-118532.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.060 21/01/2026]',-136313.3,-199696.8,-112628.9,-12881.67,-375000,-375000,-148560.8,-118555.3,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.064 21/01/2026]',-136415.2,-199782.7,-112805.7,-12979.7,-375000,-375000,-148656.2,-118621.8,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.068 21/01/2026]',-136385.5,-199776.8,-112757.6,-12952.75,-375000,-375000,-148634.2,-118618.2,0.03,0.00,0.88,-4,0,-2,26,0
'[12:06:00.072 21/01/2026]',-136270.7,-199696.7,-112537.6,-12855.07,-375000,-375000,-148527.8,-118544.5,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.076 21/01/2026]',-136314.6,-199698.4,-112609.8,-12870.18,-375000,-375000,-148541.4,-118539.3,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.080 21/01/2026]',-136412.6,-199767.3,-112804.5,-12962.85,-375000,-375000,-148636.5,-118606.7,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.084 21/01/2026]',-136424.8,-199774.3,-112784,-12961.82,-375000,-375000,-148640.5,-118621.6,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.088 21/01/2026]',-136327.2,-199719,-112592.2,-12881.49,-375000,-375000,-148554.2,-118569.9,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.092 21/01/2026]',-136297.3,-199703.4,-112597.2,-12865.62,-375000,-375000,-148538.4,-118543.9,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.096 21/01/2026]',-136377.8,-199762,-112779.9,-12944.16,-375000,-375000,-148614.2,-118584.2,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.100 21/01/2026]',-136394.9,-199771.3,-112804.6,-12949.88,-375000,-375000,-148624.8,-118599.6,0.03,-0.02,0.88,-4,0,-2,26,0
'[12:06:00.104 21/01/2026]',-136301.1,-199708.5,-112618.9,-12863.03,-375000,-375000,-148545.9,-118558.8,0.03,-0.02,0.88,-4,0,-2,26,0
