'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Fp1','Fp2','F3','Fz','F4','P3','Pz','P4','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[14:14:12.716 20/01/2026]',0.50,0.38,0.29,0.24,0.00,0.00,0.63,0.24,1.41,1.40,0.95,0.54,0.00,0.00,2.45,0.55,3.36,3.03,3.37,3.59,0.00,0.00,4.46,4.18,2.62,2.83,2.68,2.41,0.00,0.00,2.15,3.61,0.14,0.12,0.18,0.12,0.00,0.00,0.32,0.29,0
'[14:14:12.730 20/01/2026]',0.48,0.37,0.29,0.24,0.00,0.00,0.62,0.24,1.34,1.31,0.94,0.55,0.00,0.00,2.40,0.52,3.35,3.03,3.37,3.58,0.00,0.00,4.36,4.18,2.54,2.76,2.60,2.33,0.00,0.00,2.04,3.52,0.14,0.12,0.18,0.13,0.00,0.00,0.31,0.28,0
'[14:14:12.748 20/01/2026]',0.46,0.37,0.28,0.24,0.00,0.00,0.60,0.25,1.26,1.23,0.93,0.57,0.00,0.00,2.33,0.50,3.32,3.03,3.36,3.58,0.00,0.00,4.25,4.19,2.44,2.69,2.49,2.25,0.00,0.00,1.95,3.44,0.14,0.12,0.17,0.13,0.00,0.00,0.31,0.28,0
'[14:14:12.763 20/01/2026]',0.44,0.35,0.28,0.24,0.00,0.00,0.58,0.25,1.19,1.17,0.90,0.58,0.00,0.00,2.25,0.49,3.29,3.02,3.35,3.56,0.00,0.00,4.15,4.19,2.33,2.60,2.37,2.16,0.00,0.00,1.87,3.33,0.13,0.12,0.17,0.12,0.00,0.00,0.30,0.28,0
'[14:14:12.781 20/01/2026]',0.45,0.34,0.26,0.24,0.00,0.00,0.56,0.26,1.14,1.13,0.86,0.57,0.00,0.00,2.19,0.51,3.21,3.01,3.33,3.53,0.00,0.00,4.06,4.19,2.26,2.50,2.26,2.06,0.00,0.00,1.80,3.20,0.14,0.12,0.17,0.12,0.00,0.00,0.29,0.28,0
'[14:14:12.797 20/01/2026]',0.45,0.41,0.24,0.26,0.00,0.00,0.55,0.25,1.09,1.13,0.83,0.59,0.00,0.00,2.14,0.53,3.13,2.90,3.31,3.46,0.00,0.00,3.98,4.16,2.18,2.44,2.15,1.99,0.00,0.00,1.74,3.08,0.15,0.14,0.17,0.13,0.00,0.00,0.28,0.29,0
'[14:14:12.814 20/01/2026]',0.46,0.49,0.23,0.27,0.00,0.00,0.52,0.24,1.08,1.13,0.79,0.61,0.00,0.00,2.09,0.55,3.05,2.80,3.28,3.40,0.00,0.00,3.92,4.14,2.12,2.39,2.04,1.93,0.00,0.00,1.70,2.96,0.15,0.16,0.16,0.14,0.00,0.00,0.27,0.30,0
'[14:14:12.830 20/01/2026]',0.48,0.58,0.21,0.29,0.00,0.00,0.49,0.25,1.06,1.18,0.76,0.64,0.00,0.00,2.04,0.58,2.97,2.70,3.26,3.33,0.00,0.00,3.86,4.12,2.07,2.35,1.94,1.87,0.00,0.00,1.65,2.83,0.15,0.17,0.16,0.13,0.00,0.00,0.26,0.29,0
